handler	command	case_id	depth	scope	status	proof	c_site	notes
do_strike	strike	strike.no-skill	D1	command	oracle-green	mortal-batch4	new_cmds.c:1446-1448	An unlearned caller sees C's exact "Yeah, right." after the declaration-list number(1,101) draw (R1/R2/R3).
do_strike	strike	strike.no-target	D2	command	oracle-green-multiseed	strike-depth@1,2,3	new_cmds.c:1441-1449	A bare strike with no opponent is "Strike who?"; a named target that resolves to nobody is "They don't seem to be here."; both consume the shared percent draw.
do_strike	strike	strike.self	D2	command	oracle-green-multiseed	strike-depth@1,2,3	new_cmds.c:1454-1460	The self target emits "You beat yourself about the face and neck." to the actor and the $n slaps $mself act to the room, then returns before damage() and WAIT_STATE.
do_strike	strike	strike.mounted	D2	command	unit-green	TestCmdStrike_BlocksMountedBeforeRoll	new_cmds.c:1466-1470	The mount refusal precedes the roll and WAIT_STATE, so a resolvable target still sees only "Dismount first!".
do_strike	strike	strike.miss	D5	state	oracle-green-multiseed	strike-depth@1,2,3	new_cmds.c:1499-1502; fight.c:1023-1092; lib/misc/messages:1079-1092	The forced skill-1 arm proves set-155 miss_msg, zero-damage combat enrollment, and the unconditional three-pulse wait.
do_strike	strike	strike.hit	D5	state	oracle-green-multiseed	strike-success-depth@1,2,3	new_cmds.c:1494-1498; fight.c:1023-1092; lib/misc/messages:1079-1092	Damage flows through damage() at the C boundary; percent 100/101 still refuses by design, which is why the miss arm is carried by the deterministic skill-1 vehicle.
do_strike	strike	strike.killing-blow	D5	state	oracle-green-multiseed	strike-kill-depth@1,2,3	new_cmds.c:1494-1498; fight.c:1484-1534,1638-1660	A 1-HP trainee drives POS_DEAD before skill_message: set-155 die_msg, XP before the death cry, and no invented corpse announcement.
do_strike	strike	strike.percent-draw	D5	state	unit-green	TestCmdStrike_DrawsPercentBeforeSkillGate	new_cmds.c:1435-1446	C evaluates number(1,101) in do_strike's declaration list before one_argument and the GET_SKILL gate, so every invocation consumes one shared draw; the port drew nothing on that path.
do_strike	strike	strike.damage-formula	D4	state	unit-green	TestDoStrike_HitContract	new_cmds.c:1495	Successful damage is the C integer conversion of GET_LEVEL(ch)*.65 with improve_skill deferred past the message dice.
do_strike	strike	strike.sleeping-prob	D4	state	unit-green	TestDoStrike_SleepingVictimRaisesProbTo100	new_cmds.c:1474-1475	A victim at or below POS_SLEEPING raises prob to 100, flipping a percent the awake skill value would refuse.
do_strike	strike	strike.skill-message-contract	D4	state	unit-green	TestDoStrike_MissRoutesThroughSkillMessage	new_cmds.c:1494-1502; fight.c:1023-1092	Both arms carry set 155 through the damage() boundary and emit no invented literal combat string.
do_strike	strike	strike.color-framing	D4	state	unit-green	TestSkillMessageColorFramingAtCMP	fight.c:1049-1057,1080-1088; screen.h:44-46	At C_CMP skill_message writes CCYEL/CCNRM around the attacker line and CCRED/CCNRM around the victim line; default oracle normalization strips ANSI, so this is unit-covered.
do_strike	strike	strike.charm-refusal	D2	command	excluded	-	new_cmds.c:1461-1464	C's AFF_CHARM/master arm needs a charmed player with a master; charm in this tree is mob-only and the port has no player master link, so the branch is unreachable from the command surface.
