handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	shake	shake.entry-gate	D1	command	unit-green	TestShakeRegistrationUsesCEntryGateAndRecord	interpreter.c:691; act.social.c:102-112; lib/misc/socials:665-673	The registered C row is POS_RESTING with no command minimum; the social record preserves level 0, hide 5, the default zero override, and all eight authored messages (R1/R2/R5e).
do_action	shake	shake.position-gate	D1	command	delegated	fade.position-gate	interpreter.c:691; comm.c:910-947	The shared POS_RESTING command rejection is owned by the existing social position-gate vehicle (R5b/R5c).
do_action	shake	shake.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT refusal runs before target parsing and is owned by the social boundary (R5b/R5c).
do_action	shake	shake.no-argument	D2	audience	oracle-green-multiseed	shake-depth@1,2,3,5,8	act.social.c:119-130; lib/misc/socials:665-673	No argument emits the exact actor and ordinary room shake messages across the deterministic seed matrix (R1/R3/R5e).
do_action	shake	shake.target-success	D3	audience	oracle-green-multiseed	shake-depth@1,2,3,5,8	act.social.c:141-151; lib/misc/socials:665-673	A visible target receives the exact actor and victim shake messages, and the distinct observer receives the TO_NOTVICT room line (R1/R3/R5e).
do_action	shake	shake.target-audience	D3	audience	oracle-green-multiseed	shake-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:665-673	The unhidden social reaches the distinct observer only through TO_NOTVICT while actor and victim receive their dedicated records (R1/R3/R5e).
do_action	shake	shake.argument-first-token	D2	command	oracle-green-multiseed	shake-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:665-673	C one_argument skips the leading fill word and ignores trailing words before visible target lookup (R1/R2/R3/R5e).
do_action	shake	shake.mob-target	D3	audience	oracle-green-multiseed	shake-depth@1,2,3,5,8	handler.c:1276-1300; lib/misc/socials:665-673	The generic mob is resolved through its authored keyword namelist and follows the same target social path (R1/R2/R3/R5e).
do_action	shake	shake.self-target	D2	audience	oracle-green-multiseed	shake-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:665-673	The named self target emits the exact authored char_auto and others_auto shake messages (R1/R3/R5e).
do_action	shake	shake.target-not-found	D1	command	oracle-green-multiseed	shake-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:665-673	An unresolved visible-room target emits the exact shake-specific direct-send refusal (R1/R3/R5e).
do_action	shake	shake.sleeping-target	D1	audience	oracle-green-multiseed	shake-depth@1,2,3,5,8	act.social.c:140-143; lib/misc/socials:665-673	A sleeping target fails the authored POS_RESTING victim-position gate and receives only C's canonical actor failure line (R1/R3/R5e).
