handler	command	case_id	depth	scope	status	proof	c_site	notes
do_qcomm	qecho	qecho.entry-gate	D1	command	unit-green	TestQechoRegistrationUsesCEntryGate	interpreter.c:627; comm.c:910-947; act.comm.c:1301-1305	The registered C row requires POS_DEAD and LVL_IMMORT; the focused test pins this command-surface gate (R2/R5e).
do_qcomm	qecho	qecho.position-gate	D1	command	delegated	purge.position-gate	interpreter.c:627; comm.c:910-947	The shared POS_DEAD dispatcher rejection is already proven by the purge gate boundary (R5b/R5c).
do_qcomm	qecho	qecho.quest-gate	D1	command	oracle-green-multiseed	qecho-depth@1,2,3,5,8	act.comm.c:1306-1310	A caller without PRF_QUEST is rejected before argument parsing with C's exact quest-participation message (R1/R2/R5e).
do_qcomm	qecho	qecho.noshout-gate	D1	command	oracle-green-multiseed	qecho-depth@1,2,3,5,8	act.comm.c:1311-1314	PLR_NOSHOUT blocks the quest channel with C's shared You cannot quest-say! response (R1/R2/R5e).
do_qcomm	qecho	qecho.empty	D1	command	oracle-green-multiseed	qecho-depth@1,2,3,5,8	act.comm.c:1316-1323	An empty argument reaches CMD_NAME capitalization and C's exact Qecho? chide (R1/R3/R5e).
do_qcomm	qecho	qecho.broadcast	D3	audience	oracle-green-multiseed	qecho-depth@1,2,3,5,8	act.comm.c:1330-1359	A non-empty qecho reaches the actor and every other questing descriptor, while the non-questing peer receives nothing; the sleeping questing peer arm is included (R1/R3/R5e).
do_qcomm	qecho	qecho.spacing	D2	command	oracle-green-multiseed	qecho-depth@1,2,3,5,8	act.comm.c:1325-1339; interpreter.c:1265-1283	C consumes the post-command remainder and preserves internal and trailing spaces; Go uses the transport raw-argument path (R1/R2/R5e).
do_qcomm	qecho	qecho.ansi-controls	D2	command	oracle-green-multiseed	qecho-depth@1,2,3,5,8	act.comm.c:1325-1339	delete_ansi_controls removes C color markers before act() capitalizes and emits the raw qecho (R1/R4/R5e).
do_qcomm	qecho	qecho.norepeat	D3	audience	oracle-green-multiseed	qecho-depth@1,2,3,5,8	act.comm.c:1325-1359	PRF_NOREPEAT changes only the actor's self copy to Okay.; questing recipients still receive the capitalized message (R1/R3/R5e).
do_qcomm	qecho	qecho.sleeping-recipient	D3	audience	oracle-green-multiseed	qecho-depth@1,2,3,5,8	act.comm.c:1342-1359	The TO_VICT|TO_SLEEP recipient path delivers qecho to a sleeping quest participant (R1/R3/R5e).
do_qcomm	qecho	qecho.writing-recipient	D3	audience	unit-green	TestQechoBroadcastSkipsWritingQuestPlayer	act.comm.c:1342-1345	A questing descriptor flagged PLR_WRITING is excluded from the qecho recipient loop, while a normal questing peer remains eligible (R1/R5e).
