# Generated by cmd/dp-census-coverage (make census-coverage). Do not edit by hand.
# Coverage of the C tree by one census dump (dp-oracle-diff --dump-oracle).
# columns: segment	file:line	sink	function	covered	scenarios	commands
# covered is yes|no|unverifiable; unverifiable means the segment's fixed text is
# shorter than the census floor, so no dump can prove or disprove it printed.
one-quarter full(waxing)	src/constants.c:3	table	-	no	-	-
(no fixed text at or above the floor)	src/constants.c:4	table	-	unverifiable	-	-
Goodbye, friend.. Come back soon!	src/sample.c:5	send_to_char	do_quit	yes	quit-probe	quit
(no fixed text at or above the floor)	src/sample.c:6	buffered:sprintf	do_quit	unverifiable	-	-
You have	src/sample.c:7	send_to_char	do_quit	yes	quit-probe	quit
gold pieces on hand.	src/sample.c:7	send_to_char	do_quit	yes	quit-probe	quit
You are hungry.	src/sample.c:8	send_to_char	do_quit	yes	quit-probe	quit
You are thirsty.	src/sample.c:8	send_to_char	do_quit	yes	quit-probe	quit
You have to type quit--no less, to quit!	src/sample.c:9	send_to_char	do_quit	no	-	-
has left the game.	src/sample.c:14	act	do_sneak	yes	quit-probe	look
