handler	command	case_id	depth	scope	status	proof	c_site	notes
do_follow	shadow	shadow.entry-gate	D1	command	unit-green	TestShadowRegistrationUsesCEntryGate	interpreter.c:687;comm.c:910-947	The registered C row permits every level at POS_STANDING and the focused test pins the command-surface gate (R1/R2/R5e).
do_follow	shadow	shadow.position-gate	D1	shared	delegated	flip.position-gate	interpreter.c:687;comm.c:910-947	The shared POS_STANDING dispatcher rejection is owned by the existing flip position-gate proof (R2/R5b/R5c).
do_follow	shadow	shadow.no-argument	D1	shared	delegated	follow.no-argument	act.movement.c:892-901	The quiet subcommand shares C one_argument and no-target prompt with ordinary follow, owned by follow (R1/R2/R5b/R5c).
do_follow	shadow	shadow.target-not-found	D1	shared	delegated	follow.target-not-found	act.movement.c:894-898	The visible-room target lookup and NOPERSON bytes are shared with do_follow, owned by follow (R1/R2/R5b/R5c).
do_follow	shadow	shadow.shared-relation-gates	D3	shared	delegated	follow.player-relation-state	act.movement.c:904-948;utils.c:365-498	Charm, self, circle, and leader-switch relation state is owned by the ordinary follow matrix; shadow adds only its quiet skill branch (R1/R5b/R5c).
do_follow	shadow	shadow.success-quiet-audience	D3	audience	oracle-green-multiseed	shadow-depth@1,2,3,5,8	act.movement.c:927-948;utils.c:463-476;comm.c:2392-2555	A successful shadow emits only the actor's You now follow line; leader and room receive no add_follower notices across the seed matrix (R1/R3/R5e).
do_follow	shadow	shadow.success-affect	D4	state	unit-green	TestDoFollowShadowSuccessAppliesQuietAffect	act.movement.c:927-945;handler.c:136-276	The success arm consumes the C roll and applies one level-duration SKILL_SHADOW record with APPLY_NONE/AFF_DODGE (R3/R4/R5e).
do_follow	shadow	shadow.failure-normal-audience	D3	audience	oracle-green-multiseed	shadow-failure-depth@1,2,3,5,8	act.movement.c:927-948;utils.c:480-498	A failed quiet roll falls through to ordinary add_follower and preserves actor, awake leader, and room bytes (R1/R3/R5e).
do_follow	shadow	shadow.failure-no-affect	D4	state	unit-green	TestDoFollowShadowFailureUsesOrdinaryFollowAudience	act.movement.c:927-948;handler.c:136-276	Failed shadow does not fabricate a shadow affect or AFF_DODGE state (R3/R4/R5e).
stop_follower	shadow	shadow.stop-shadowing	D3	audience	oracle-green-multiseed	shadow-depth@1,2,3,5,8	utils.c:397-420;act.movement.c:912-918	Shadow-aware self-stop clears the SKILL_SHADOW/AFF_DODGE state and emits only the actor stop byte, with no leader/room notices (R1/R3/R5e).
stop_follower	shadow	shadow.stop-shadowing-state	D4	state	unit-green	TestStopFollowerShadowClearsAffectAndSuppressesAudience	utils.c:400-420;handler.c:136-276	Focused state proof pins affect removal, relation cleanup, and absence of audience bytes (R3/R4/R5e).
do_follow	shadow	shadow.reshadow-replaces-affect	D4	state	unit-green	TestDoFollowShadowSwitchReplacesPriorAffect	act.movement.c:924-945;utils.c:397-420	A new successful shadow stops the old relation before replacing the prior skill affect, preserving one active C record (R3/R5e).
do_follow	shadow	shadow.skill-roll-draw	D5	rng	unit-green	TestDoFollowShadowConsumesSkillRollDraw	act.movement.c:927-929;random.c	The quiet path consumes exactly one number(0,101) before its branch, preserving C draw order even on failure (R3/R5e).
