handler	command	case_id	depth	scope	status	proof	c_site	notes
do_smackheads	smackheads	smackheads.entry-gate	D1	command	unit-green	TestSmackheadsRegistrationUsesCEntryGate	interpreter.c:711;new_cmds.c:975	The registered C row requires level 1 at POS_FIGHTING, and the focused registry test pins the authoritative gate under R1/R2/R5e.
do_smackheads	smackheads	smackheads.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:711;comm.c:910-947	The common POS_FIGHTING dispatcher rejection is owned by the existing fade position-gate proof under R2/R5b/R5c.
do_smackheads	smackheads	smackheads.no-skill	D1	command	oracle-green	smackheads-no-skill-depth@1	new_cmds.c:975-982	GET_SKILL zero emits the exact refusal before target lookup or RNG under R1/R5e.
do_smackheads	smackheads	smackheads.no-argument	D1	command	oracle-green-multiseed	smackheads-gates-depth@1,2,3,5,8	new_cmds.c:975-986;handler.c:1276-1300	Empty half_chop operands reach the C gangs-not-all-here branch; the unreachable later prompt is not invented under R1/R2/R3/R5e.
do_smackheads	smackheads	smackheads.missing-target	D1	command	oracle-green-multiseed	smackheads-gates-depth@1,2,3,5,8	new_cmds.c:983-986;handler.c:1276-1300	An unresolved visible-room operand emits the exact gangs-not-all-here bytes under R1/R3/R5e.
do_smackheads	smackheads	smackheads.same-target	D1	command	oracle-green-multiseed	smackheads-gates-depth@1,2,3,5,8	new_cmds.c:983-986	The pointer-identity rejection prevents smacking one victim twice under R1/R5e.
do_smackheads	smackheads	smackheads.self-target	D1	command	oracle-green-multiseed	smackheads-gates-depth@1,2,3,5,8	new_cmds.c:988-991;handler.c:1276-1285	The self-target branch emits the authored headbutt refusal after both lookups under R1/R3/R5e.
do_smackheads	smackheads	smackheads.wielded-gate	D1	command	oracle-green	smackheads-wielded-depth@1	new_cmds.c:1013-1016;handler.c:1328-1347	The carried 8037 sword reaches the bare-hand gate before mount, fighting, and RNG under R1/R3/R5e.
do_smackheads	smackheads	smackheads.mounted-gate	D1	command	oracle-green	smackheads-mounted-depth@1	new_cmds.c:1017-1020;utils.c:378-385	The valid mounted vehicle reaches Dismount first after lookup under R1/R5e.
do_smackheads	smackheads	smackheads.actor-fighting	D1	command	unit-green	TestDoSmackheads_GateOrderAndMessages	new_cmds.c:1021-1024	The actor busy gate precedes target fighting and RNG under R1/R5e.
do_smackheads	smackheads	smackheads.target-fighting	D1	command	unit-green	TestDoSmackheads_GateOrderAndMessages	new_cmds.c:1025-1028	The either-victim busy gate precedes peaceful and RNG under R1/R5e.
do_smackheads	smackheads	smackheads.peaceful-gate	D1	command	oracle-green	smackheads-peaceful-depth@1	new_cmds.c:1035-1037;structs.h:60	ROOM_PEACEFUL emits the exact refusal after visible target resolution under R1/R3/R5e.
do_smackheads	smackheads	smackheads.failure	D3	state	oracle-green-multiseed	smackheads-outcome-depth@1,2,3,5,8	new_cmds.c:1039-1058;fight.c:1370-1635	The AC-adjusted number(1,101) miss emits both authored acts and reaches ordered zero-damage/combat state under R1/R3/R5e.
do_smackheads	smackheads	smackheads.success	D3	state	oracle-green-multiseed	smackheads-outcome-depth@1,2,3,5,8	new_cmds.c:1059-1102;fight.c:1370-1718	The success arm emits both authored acts, applies 3*level to both victims, and preserves direct death/wound bytes under R1/R3/R5e.
do_smackheads	smackheads	smackheads.failure-audience	D3	audience	oracle-green-multiseed	smackheads-outcome-depth@1,2,3,5,8	comm.c:2392-2555	The actor and passive peer receive the distinct failure acts with C TO_ROOM topology under R1/R3/R5e.
do_smackheads	smackheads	smackheads.success-audience	D3	audience	oracle-green-multiseed	smackheads-outcome-depth@1,2,3,5,8	comm.c:2392-2555	The actor and peer receive the success act and ordered damage/death audience bytes without invented room text under R1/R3/R4/R5e.
do_smackheads	smackheads	smackheads.hit-result-contract	D4	state	unit-green	TestDoSmackheads_ResultContract	new_cmds.c:1059-1102	Success carries ordered targets, 3*level damage, direct damage skill, three-pulse actor/target waits, target stun, combat enrollment, and deferred improvement under R1/R3/R5e.
do_smackheads	smackheads	smackheads.miss-result-contract	D4	state	unit-green	TestDoSmackheads_ResultContract	new_cmds.c:1039-1058	Miss carries ordered targets, zero damage, three-pulse actor wait, combat enrollment, and pre-damage improvement without invented message sets under R1/R3/R4/R5e.
do_smackheads	smackheads	smackheads.damage-death-pipeline	D4	state	oracle-green-multiseed	smackheads-outcome-depth@1,2,3,5,8	fight.c:1370-1718	The dedicated SKILL_SMACKHEADS damage seam preserves both ordered damage calls, C death bytes, XP, and death cry under R1/R3/R5e.
do_smackheads	smackheads	smackheads.half-chop	D2	command	unit-green	TestDoSmackheads_ResultContract	interpreter.c:1265-1283;new_cmds.c:966-975	The command handler passes the first token and entire remainder to the two C lookups; the result contract pins ordered targets under R2/R5e.
