handler	command	case_id	depth	scope	status	proof	c_site	notes
do_send	send	send.entry-gate	D1	command	unit-green	TestSendRegistrationUsesCEntryGate	interpreter.c:681; comm.c:910-947	The registered C row is POS_SLEEPING with the LVL_GOD authorization gate, and the focused registration test pins both values (R2/R5e).
do_send	send	send.position-gate	D1	shared	delegated	group.position-gate	interpreter.c:681; comm.c:910-947	The shared POS_SLEEPING dispatcher rejection is owned by the group gate vehicle (R5b/R5c).
do_send	send	send.no-argument	D1	command	oracle-green-multiseed	send-depth@1,2,3,5,8	act.wizard.c:160-163	An empty argument reaches the exact Send what to who? response with its C line ending (R1/R2/R5e).
do_send	send	send.missing-target	D1	command	oracle-green-multiseed	send-depth@1,2,3,5,8	act.wizard.c:164-167; config.c:93	An unresolved visible-character lookup emits C's exact NOPERSON text and no recipient bytes (R1/R5e).
do_send	send	send.level-gate	D1	command	oracle-green-multiseed	send-gate-depth@1,2,3,5,8	interpreter.c:681; comm.c:910-947	A mortal cannot reach do_send and receives the C privilege rejection (R1/R2/R5e).
do_send	send	send.same-room	D2	audience	oracle-green-multiseed	send-depth@1,2,3,5,8	act.wizard.c:164-177; handler.c:1276-1300	A visible same-room player receives the body plus a separate CRLF, while the actor receives the exact confirmation (R1/R3/R5e).
do_send	send	send.empty-message	D2	audience	oracle-green-multiseed	send-depth@1,2,3,5,8	interpreter.c:1372-1379; act.wizard.c:164-177	A target token with no message is still valid: C sends only CRLF to the target and quotes an empty message to the actor (R1/R2/R5e).
do_send	send	send.target-abbreviation	D2	audience	oracle-green-multiseed	send-depth@1,2,3,5,8	handler.c:1276-1300	Room lookup uses C isname_with_abbrevs, so an abbreviated player name reaches the same success arm (R1/R2/R5e).
do_send	send	send.self-target	D3	audience	oracle-green-multiseed	send-depth@1,2,3,5,8	handler.c:1284-1285; act.wizard.c:168-177	Self resolves before the room scan; the actor receives the victim body first and the normal confirmation second (R1/R3/R5e).
do_send	send	send.global-player	D3	audience	oracle-green-multiseed	send-global-depth@1,2,3,5,8	handler.c:1303-1327	After the room pass misses, get_char_vis searches the global character list and delivers to a player in another room (R1/R3/R5e).
do_send	send	send.npc-target	D3	audience	oracle-green-multiseed	send-mob-depth@1,2,3,5,8	handler.c:1303-1327; act.wizard.c:164-177	An NPC is a valid global character target; send_to_char is silent for the mob, but the actor confirmation names its rendered short description (R1/R3/R5e).
do_send	send	send.spacing	D2	command	oracle-green-multiseed	send-depth@1,2,3,5,8	interpreter.c:1372-1379	C half_chop strips only the separator whitespace and preserves internal/trailing message whitespace; the raw transport path retains it (R1/R2/R5e).
do_send	send	send.normal-confirmation	D3	audience	oracle-green-multiseed	send-depth@1,2,3,5,8	act.wizard.c:168-177	Without PRF_NOREPEAT the actor receives the quoted message confirmation while the target receives the body (R1/R3/R5e).
do_send	send	send.norepeat	D3	audience	oracle-green-multiseed	send-depth@1,2,3,5,8	act.wizard.c:171-177	PRF_NOREPEAT changes only the actor confirmation to Sent.; the recipient still receives the raw body plus CRLF (R1/R3/R5e).
do_send	send	send.raw-and-audience-contract	D4	state	unit-green	TestSendTextMatchesCHalfChopAndAudiences	interpreter.c:1372-1379; act.wizard.c:164-177	The focused session test pins target-first delivery, raw spacing, empty-message CRLF, and exact normal confirmation bytes (R1/R3/R5e).
do_send	send	send.not-found-self-norepeat-contract	D4	state	unit-green	TestSendTextMatchesCNotFoundSelfAndNoRepeat	act.wizard.c:164-177; config.c:93	The focused session test pins NOPERSON, self delivery ordering, and the NOREPEAT actor branch (R1/R3/R5e).
