handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	tug	tug.entry-gate	D1	command	unit-green	TestTugRegistrationUsesCEntryGateAndRecord	interpreter.c:786; act.social.c:102-112; lib/misc/socials:1108-1116	The registered C row is POS_RESTING with no command minimum; the target-capable social record preserves level 1, hide 0, the default zero victim-position minimum, and all eight authored slots (R1/R2/R5e).
do_action	tug	tug.position-gate	D1	command	delegated	fade.position-gate	interpreter.c:786; comm.c:910-947	The shared POS_RESTING command rejection is owned by the existing social position-gate vehicle (R5b/R5c).
do_action	tug	tug.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT refusal runs before target resolution and is owned by the social boundary (R5b/R5c).
do_action	tug	tug.no-argument	D2	audience	oracle-green-multiseed	tug-depth@1,2,3,5,8	act.social.c:119-130; lib/misc/socials:1108-1116	The no-argument branch emits the exact actor and ordinary room messages across the deterministic seed matrix (R1/R3/R5e).
do_action	tug	tug.target-success	D2	audience	oracle-green-multiseed	tug-depth@1,2,3,5,8	act.social.c:131-151; lib/misc/socials:1108-1116	A visible player target emits the authored actor, room, and victim lines with the C substitution forms (R1/R3/R5e).
do_action	tug	tug.target-audience	D2	audience	oracle-green-multiseed	tug-depth@1,2,3,5,8	act.social.c:131-151; comm.c:2392-2555	The target branch reaches the shared TO_CHAR/TO_ROOM/TO_VICT audience split; the target sees the private line and the observer sees the room line (R1/R3/R5b/R5c).
do_action	tug	tug.argument-first-token	D2	command	oracle-green-multiseed	tug-depth@1,2,3,5,8	act.social.c:108-121	Only the first target token is resolved; trailing words do not alter the target branch (R1/R2/R3/R5e).
do_action	tug	tug.mob-target	D2	audience	oracle-green-multiseed	tug-depth@1,2,3,5,8	act.social.c:131-151; lib/misc/socials:1108-1116	A visible generic mob follows the same target-capable social path and authored audience substitutions (R1/R3/R5e).
do_action	tug	tug.self-target	D2	command	oracle-green-multiseed	tug-depth@1,2,3,5,8	act.social.c:131-151; lib/misc/socials:1108-1116	Named self-targeting uses the C self-target slots rather than the ordinary victim branch (R1/R2/R3/R5e).
do_action	tug	tug.target-not-found	D2	command	oracle-green-multiseed	tug-depth@1,2,3,5,8	act.social.c:108-130; lib/misc/socials:1108-1116	An unresolved name emits the authored not-found line (R1/R2/R3/R5e).
do_action	tug	tug.visibility	D3	shared	delegated	socials-depth	act.social.c:102-151; comm.c:2392-2555	Target and room delivery use the established social visibility vehicle (R5b/R5c).
do_action	tug	tug.sleeping-target	D2	audience	oracle-green-multiseed	tug-depth@1,2,3,5,8	act.social.c:131-151; lib/misc/socials:1108-1116	The victim-position gate is the default zero, so a sleeping visible target still enters the authored target branch; any shared sleeping-recipient suppression remains delegated (R1/R3/R5b/R5c).
