handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	love	love.entry-gate	D1	command	unit-green	TestLoveRegistrationUsesCEntryGate	interpreter.c:545; comm.c:910-947; act.social.c:102-151	The registered C row is POS_RESTING with no command minimum; the focused test pins the entry gate and all eight authored messages (R1/R2/R5e).
do_action	love	love.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:545; comm.c:910-947	The shared POS_RESTING dispatcher rejection is owned by the existing fade position-gate vehicle (R2/R5b/R5c).
do_action	love	love.no-argument	D2	audience	oracle-green-multiseed	love-depth@1,2,3,5,8	act.social.c:102-127; lib/misc/socials:470-478	No argument emits the exact actor and room pair across the seed matrix; the social has no RNG branch (R1/R3/R5e).
do_action	love	love.target-success	D3	audience	oracle-green-multiseed	love-depth@1,2,3,5,8	act.social.c:128-151; lib/misc/socials:470-478	A visible player target receives C's exact actor, room, and victim lines (R1/R3/R5e).
do_action	love	love.target-audience	D3	audience	oracle-green-multiseed	love-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555	Separate observer and target peers prove the TO_NOTVICT and TO_VICT topology and substitutions (R1/R3/R5e).
do_action	love	love.argument-first-token	D2	command	oracle-green-multiseed	love-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:113-116	C one_argument skips the leading fill word and ignores trailing words before target lookup (R1/R2/R3/R5e).
do_action	love	love.self-target	D2	audience	oracle-green-multiseed	love-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:470-478	A named self target emits the authored self actor and room lines (R1/R3/R5e).
do_action	love	love.target-not-found	D1	command	oracle-green-multiseed	love-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:470-478	An unresolved visible-room target emits the exact love-not-present refusal (R1/R3/R5e).
do_action	love	love.sleeping-target	D3	audience	oracle-green-multiseed	love-sleeping-depth@1,2,3,5,8	act.social.c:140-151; comm.c:2392-2555	The zero victim-position minimum admits a sleeping target; TO_SLEEP preserves the actor line while ordinary TO_VICT sends no sleeper bytes (R1/R3/R5e).
do_action	love	love.noshout	D1	shared	delegated	dance-noshout	act.social.c:102-118	The shared PLR_NOSHOUT emote refusal is owned by the existing dance social matrix (R1/R5b/R5c).
do_action	love	love.visibility	D3	shared	delegated	socials-depth	act.social.c:102-151; comm.c:2392-2555	The shared CAN_SEE and Act audience visibility behavior is owned by the existing social matrix (R1/R5b/R5c).
