handler	command	case_id	depth	scope	status	proof	c_site	notes
do_groinrip	groinrip	groinrip.no-descriptor	D5	command	excluded	-	new_cmds.c:2565-2567	The descriptorless !subcmd early return is unreachable from the registered player-command surface; player dispatch always supplies a descriptor and this branch emits no player-visible bytes (R2/R4/R5e).
do_groinrip	groinrip	groinrip.peaceful	D1	command	oracle-green	bite-groinrip-peaceful	new_cmds.c:2569-2572	The peaceful-room refusal runs before skill knowledge, target parsing, and all later branches; the shared vehicle reaches the exact player-facing line.
do_groinrip	groinrip	groinrip.no-skill	D1	command	oracle-green	groinrip-no-skill-depth	interpreter.c:478; new_cmds.c:2580-2583	A learned-skill miss is stopped after the peaceful gate and before mount or target lookup with C's martial-arts refusal.
do_groinrip	groinrip	groinrip.no-argument	D1	command	oracle-green	groinrip-depth	new_cmds.c:2585-2605	A skilled awake caller with neither an argument nor FIGHTING(ch) receives Groinrip who?.
do_groinrip	groinrip	groinrip.target-missing	D1	command	oracle-green	groinrip-depth	new_cmds.c:2590-2605	A missing named target falls back to the fighting pointer and otherwise reaches Groinrip who? without consuming the outcome roll.
do_groinrip	groinrip	groinrip.self-target	D1	command	oracle-green	groinrip-depth	new_cmds.c:2607-2610	A visible self target reaches No masochism allowed! after target resolution.
do_groinrip	groinrip	groinrip.one-argument	D1	command	oracle-green	groinrip-depth	new_cmds.c:2585-2605; interpreter.c:1265-1283	C one_argument consumes only the first target word; trailing words do not change the selected trainee.
do_groinrip	groinrip	groinrip.mounted-gate	D2	command	oracle-green	groinrip-mounted-depth	new_cmds.c:2585-2588	The mounted refusal is checked after the skill gate and before target lookup; the legal ride vehicle reaches Dismount first!.
do_groinrip	groinrip	groinrip.shopkeeper-gate	D2	command	oracle-green	groinrip-shopkeeper-depth	new_cmds.c:2612-2616; shop.c:1006-1023	An authored shopkeeper target reaches C's early Ha Ha. Don't think so. refusal before the sex and outcome gates.
do_groinrip	groinrip	groinrip.immortal-victim	D2	state	oracle-green	groinrip-immortal-depth	new_cmds.c:2618-2627	A mortal targeting a non-NPC at LVL_IMMORT receives both C actor lines and is thrown to POS_SITTING before any roll.
do_groinrip	groinrip	groinrip.nonmale-target	D2	command	oracle-green	groinrip-nonmale-depth	new_cmds.c:2629-2632	A visible female target reaches the sex gate and receives the exact no-groin refusal without an outcome draw.
do_groinrip	groinrip	groinrip.sleeping-target	D2	state	oracle-green	groinrip-sleeping-depth	new_cmds.c:2634-2640	A sleeping male target forces percent=0 and reaches the numbered damage/message path.
do_groinrip	groinrip	groinrip.fighting-fallback	D3	command	oracle-green	groinrip-fighting-fallback-depth	new_cmds.c:2590-2605	An empty argument uses C's existing FIGHTING(ch) pointer after the ordinary hit has established combat; the fallback reaches the set-174 miss arm.
do_groinrip	groinrip	groinrip.success-message-and-state	D3	state	oracle-green-multiseed	groinrip-outcome-depth@1,2,3,5,8	new_cmds.c:2636-2658; fight.c:1023-1092; lib/misc/messages:174	The legal skill-75 opener matches set-174 hit bytes, the target-as-act room audience, combat pulses, and wait behavior across five seeds.
do_groinrip	groinrip	groinrip.result-contract	D4	state	unit-green	TestDoGroinripDepthResultContract	new_cmds.c:2634-2658; fight.c:1336-1459	Focused proof pins forced sleeping-target success, level damage, set-174 in-damage routing, two-pulse wait, post-room improvement, the CRLF room split, the 1-in-11 puke request, and the percent draw.
do_groinrip	damage	groinrip.shared-damage-gates	D5	shared	delegated	combat-entry	fight.c:1336-1459	The groinrip damage() seam delegates common peaceful/newbie/shopkeeper/follower/death behavior to the verified combat-entry matrix (R5b/R5c).
