handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	tango	tango.entry-gate	D1	command	unit-green	TestTangoRegistrationUsesCEntryGateAndRecord	interpreter.c:759; act.social.c:102-112; lib/misc/socials:899-907	The registered C row is POS_STANDING with no command minimum; the target-capable social record preserves level 0, hide 8, the default zero victim-position minimum, and all eight authored slots (R1/R2/R5e).
do_action	tango	tango.position-gate	D1	command	delegated	fade.position-gate	interpreter.c:759; comm.c:910-947	The shared POS_STANDING command rejection is owned by the existing social position-gate vehicle (R5b/R5c).
do_action	tango	tango.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT refusal runs before target parsing and is owned by the social boundary (R5b/R5c).
do_action	tango	tango.no-argument	D2	command	oracle-green-multiseed	tango-depth@1,2,3,5,8	act.social.c:119-130; lib/misc/socials:899-907	No argument emits the exact authored actor and room slots across the deterministic seed matrix (R1/R3/R5e).
do_action	tango	tango.target-success	D3	audience	oracle-green-multiseed	tango-depth@1,2,3,5,8	act.social.c:141-151; lib/misc/socials:899-907	A visible target receives the exact actor and victim tango messages, and the distinct observer receives the TO_NOTVICT room line (R1/R3/R5e).
do_action	tango	tango.target-audience	D3	audience	oracle-green-multiseed	tango-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:899-907	The unhidden social reaches the distinct observer only through TO_NOTVICT while actor and victim receive their dedicated records (R1/R3/R5e).
do_action	tango	tango.argument-first-token	D2	command	oracle-green-multiseed	tango-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:899-907	C one_argument skips the leading fill word and ignores trailing words before visible target lookup (R1/R2/R3/R5e).
do_action	tango	tango.mob-target	D3	audience	oracle-green-multiseed	tango-depth@1,2,3,5,8	handler.c:1276-1300; lib/misc/socials:899-907	The generic mob is resolved through its authored keyword namelist and follows the same target social path (R1/R2/R3/R5e).
do_action	tango	tango.self-target	D2	audience	oracle-green-multiseed	tango-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:899-907	The named self target emits the exact authored char_auto and others_auto tango messages (R1/R3/R5e).
do_action	tango	tango.target-not-found	D1	command	oracle-green-multiseed	tango-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:899-907	An unresolved visible-room target emits the exact tango-specific direct-send refusal (R1/R3/R5e).
do_action	tango	tango.visibility	D3	shared	delegated	socials-depth	act.social.c:102-151; comm.c:2392-2555	The actor, target, and ordinary room audience use the shared Act visibility behavior (R5b/R5c).
do_action	tango	tango.sleeping-target	D3	audience	oracle-green-multiseed	tango-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:899-907	The zero victim-position minimum admits a sleeping target; actor and observer receive C's target-success outputs while SENDOK suppresses the sleeping victim line (R1/R3/R5e).
