handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	grin	grin.entry-gate	D1	command	unit-green	TestGrinRegistrationUsesCEntryGate	interpreter.c:475; act.social.c:102-112	The registered C row is POS_RESTING with no command minimum level, and the grin social metadata is hide 0 with no victim-position minimum.
do_action	grin	grin.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:475; comm.c:910-947	The shared POS_RESTING command rejection is owned by the existing fade position-gate vehicle.
do_action	grin	grin.no-argument	D2	command	oracle-green-multiseed	grin-depth@1,2,3,5,8	act.social.c:114-121; lib/misc/socials:330-338	No argument emits the exact actor You grin evilly. line and the record's room grin branch.
do_action	grin	grin.target-success	D3	audience	oracle-green-multiseed	grin-depth@1,2,3,5,8	act.social.c:134-151; lib/misc/socials:330-338	A visible awake peer target receives the exact actor and victim grin messages.
do_action	grin	grin.target-audience	D3	audience	oracle-green-multiseed	grin-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555	The awake observer receives the exact $n grins at $N line for the visible cleaner mob target while the actor is excluded from TO_NOTVICT.
do_action	grin	grin.one-argument	D2	command	oracle-green-multiseed	grin-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121	Leading fill words are skipped and trailing input is ignored before visible target lookup.
do_action	grin	grin.self-target	D2	audience	oracle-green-multiseed	grin-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:330-338	A self target takes the authored auto actor and room branches.
do_action	grin	grin.target-not-found	D1	command	oracle-green-multiseed	grin-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:330-338	A missing visible-room target receives the exact grin-specific not-found line.
do_action	grin	grin.sleeping-target	D3	audience	oracle-green-multiseed	grin-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555	With minimum victim position zero, a sleeping target passes the social gate; C's TO_VICT delivery remains suppressed while the room audience is preserved.
do_action	grin	grin.noshout	D1	shared	delegated	dance-noshout	act.social.c:102-118	The shared PLR_NOSHOUT emote refusal is owned by the dance social matrix.
do_action	grin	grin.visibility	D3	shared	delegated	socials-depth	act.social.c:102-151; comm.c:2392-2555	The target lookup and three social audiences use the shared visibility and Act behavior.
