handler	command	case_id	depth	scope	status	proof	c_site	notes
do_kuji_kiri	retsu	retsu.entry-gate	D1	command	unit-green	TestRetsuRegistrationUsesCEntryGate	interpreter.c:654; new_cmds.c:1552-1554	The registered C row requires no level minimum at POS_STANDING; the focused registry test pins the authoritative Go gate (R1/R2/R5e).
do_kuji_kiri	retsu	retsu.position-gate	D1	shared	delegated	jin.position-gate	interpreter.c:654; comm.c:910-947	The shared POS_STANDING command-interpreter rejection is owned by the existing kuji-kiri position vehicle (R2/R5b/R5c).
do_kuji_kiri	retsu	retsu.class-gate	D1	shared	delegated	jin.class-gate	new_cmds.c:1557-1560	The shared non-Ninja mortal early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	retsu	retsu.fighting-gate	D1	shared	delegated	jin.fighting-gate	new_cmds.c:1562-1565	The shared FIGHTING early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	retsu	retsu.lockout-gate	D1	shared	delegated	jin.lockout-gate	new_cmds.c:1567-1570	The shared aggregate AFF_KUJI_KIRI early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	retsu	retsu.mounted-gate	D1	shared	delegated	jin.mounted-gate	new_cmds.c:1572-1575	The shared mounted early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	retsu	retsu.mastery-gate	D1	shared	delegated	jin.mastery-gate	new_cmds.c:1577-1598	The shared pre-mastery branch and C-order success draw are owned by the Jin kuji-kiri proof (R3/R5b/R5c).
do_kuji_kiri	retsu	retsu.skill-slot	D4	state	delegated	kai.skill-slot	spell_parser.c:1150-1170; new_cmds.c:1500-1541	The class-wide kuji skill-catalog boundary is owned by the Kai proof; Retsu uses SkillKkRetsu through the same translation (R1/R5b/R5c).
do_kuji_kiri	retsu	retsu.argument-ignored	D1	command	oracle-green-multiseed	retsu-depth@1,2,3,5,8	new_cmds.c:1552-1739	The handler never parses its argument; trailing words reach the same Retsu teleport and lockout paths across the required seed matrix (R1/R2/R3/R5e).
do_kuji_kiri	retsu	retsu.success-actor-destination	D3	command	oracle-green-multiseed	retsu-depth@1,2,3,5,8	new_cmds.c:1638-1660; spells.c:168-217; act.informative.c:725-840	A learned successful Retsu emits the exact black-screen bytes and C post-transfer destination look; the shared dark-room visibility fix preserves the first-player God's C output (R1/R3/R5e).
do_kuji_kiri	retsu	retsu.success-origin-audience	D3	audience	oracle-green-multiseed	retsu-depth@1,2,3,5,8	new_cmds.c:1638-1660; spells.c:203-214; comm.c:2392-2555	The destination transfer sends only the origin-room fade-out to the peer and no invented disappearance line to the actor (R1/R3/R5e).
do_kuji_kiri	retsu	retsu.success-lockout	D3	state	oracle-green-multiseed	retsu-depth@1,2,3,5,8	new_cmds.c:1567-1570; 1638-1660; 1697-1729	A successful teleport still joins the five-tick AFF_KUJI_KIRI record before the next invocation, which is refused with no extra room bytes (R1/R3/R5e).
do_kuji_kiri	retsu	retsu.peaceful-spell-gate	D3	command	oracle-green-multiseed	retsu-peaceful-depth@1,2,3,5,8	new_cmds.c:1638-1660; spell_parser.c:879-925; spells.c:168-190	A successful Retsu roll reaches call_magic, whose C source-room ROOM_PEACEFUL gate emits The gods deny thy magick. before any random destination draw (R1/R3/R5e).
do_kuji_kiri	retsu	retsu.peaceful-lockout	D4	state	oracle-green-multiseed	retsu-peaceful-depth@1,2,3,5,8	new_cmds.c:1638-1660; 1697-1729	The peaceful spell refusal does not abort do_kuji_kiri; its populated default affect still joins and locks out a second use (R1/R3/R5e).
do_kuji_kiri	retsu	retsu.failure-actor	D3	command	oracle-green-multiseed	retsu-failure-depth@1,2,3,5,8	new_cmds.c:1660-1663; 1713-1729	At skill 1, the failed Retsu emits the exact generic concentration-failure text; the C-specific Your concentration is broken! assignment is overwritten by the common failure arm (R1/R3/R5e).
do_kuji_kiri	retsu	retsu.failure-origin-audience	D3	audience	oracle-green-multiseed	retsu-failure-depth@1,2,3,5,8	new_cmds.c:1638-1663; comm.c:2392-2555	Retsu sets toroom NULL on its failure path, so the failed attempt emits no peer room act (R1/R3/R5e).
do_kuji_kiri	retsu	retsu.failure-retry	D4	state	oracle-green-multiseed	retsu-failure-depth@1,2,3,5,8	new_cmds.c:1713-1729; handler.c:473-499	The failed Retsu af[1] becomes an inert AFF_NOTHING APPLY_SPELL record and replaces af[0] through affect_join, so learning the seal permits a second attempt (R1/R3/R5e).
