handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	raise	raise.entry-gate	D1	command	unit-green	TestRaiseRegistrationUsesCEntryGateAndRecord	interpreter.c:635; act.social.c:102-112; lib/misc/socials:1322-1330	The registered C row is POS_RESTING with no command minimum; the social record preserves level 0, hide 0, the POS_RESTING victim-position minimum, and all eight authored messages (R1/R2/R5e).
do_action	raise	raise.position-gate	D1	command	delegated	fade.position-gate	interpreter.c:635; act.social.c:102-112	The shared POS_RESTING command rejection is already proven by the social position-gate vehicle (R5b/R5c).
do_action	raise	raise.noshout	D1	command	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT refusal runs before target parsing and is owned by the social boundary (R5b/R5c).
do_action	raise	raise.no-argument	D2	audience	oracle-green-multiseed	raise-depth@1,2,3,5,8	act.social.c:119-130; lib/misc/socials:1322-1330	No argument emits the exact actor and ordinary room raise messages across the deterministic seed matrix (R1/R3/R5e).
do_action	raise	raise.target-success	D3	audience	oracle-green-multiseed	raise-depth@1,2,3,5,8	act.social.c:141-151; lib/misc/socials:1322-1330	A visible resting-or-standing player receives the exact actor, non-victim room, and victim raise messages with C substitutions (R1/R3/R5e).
do_action	raise	raise.target-audience	D3	audience	oracle-green-multiseed	raise-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:1322-1330	The actor, target, and distinct observer transcripts pin the three target-success audience branches and possessive pronouns (R1/R3/R5e).
do_action	raise	raise.argument-first-token	D2	command	oracle-green-multiseed	raise-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:1322-1330	C one_argument skips the leading fill word and ignores trailing words before visible target lookup (R1/R2/R3/R5e).
do_action	raise	raise.mob-target	D3	audience	oracle-green-multiseed	raise-depth@1,2,3,5,8	handler.c:1276-1300; lib/misc/socials:1322-1330	The generic mob is resolved through its authored keyword namelist and follows the same target social path (R1/R2/R3/R5e).
do_action	raise	raise.self-target	D2	audience	oracle-green-multiseed	raise-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:1322-1330	The named self target emits the exact authored char_auto and others_auto raise messages (R1/R3/R5e).
do_action	raise	raise.target-not-found	D1	command	oracle-green-multiseed	raise-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:1322-1330	An unresolved visible-room target emits the exact raise-specific direct-send refusal (R1/R3/R5e).
do_action	raise	raise.sleeping-target	D2	command	oracle-green-multiseed	raise-depth@1,2,3,5,8	act.social.c:140-143; lib/misc/socials:1322-1330	The authored POS_RESTING victim minimum rejects a sleeping visible target with the canonical proper-position bytes (R1/R3/R5e).
