handler	command	case_id	depth	scope	status	proof	c_site	notes
cmdSnoop	snoop	snoop.entry-gate	D1	command	unit-green	TestSnoopRegistrationUsesCEntryGate	interpreter.c:723;act.wizard.c:1135-1140	The registered row requires LVL_GOD at POS_DEAD; the authoritative Go gate preserves the C command surface (R1/R2/R5e).
cmdSnoop	snoop	snoop.no-argument	D1	audience	oracle-green-multiseed	snoop-depth@1,2,3,5,8	act.wizard.c:1120-1142	stop_snooping emits the exact active/inactive messages and clears the bidirectional descriptor link (R1/R4/R5e).
cmdSnoop	snoop	snoop.missing-target	D1	command	oracle-green-multiseed	snoop-depth@1,2,3,5,8	act.wizard.c:1143-1144	C emits No such person around with its CRLF, rather than an invented online-only response (R1/R5e).
cmdSnoop	snoop	snoop.no-descriptor-target	D2	command	oracle-green-multiseed	snoop-depth@1,2,3,5,8	act.wizard.c:1145-1146	Visible NPC lookup reaches the descriptor-less target branch and emits C's no-link bytes (R1/R3/R5e).
cmdSnoop	snoop	snoop.success	D3	state	oracle-green-multiseed	snoop-depth@1,2,3,5,8	act.wizard.c:1153-1169	A successful target installs both descriptor links and returns C's OK text (R1/R4/R5e).
cmdSnoop	snoop	snoop.snooped-output	D5	audience	oracle-green-multiseed	snoop-depth@1,2,3,5,8	comm.c:1646-1651	Victim output is forwarded to the snooper with C's percent delimiters; this is a descriptor-level re-entrant path (R1/R3/R5e).
cmdSnoop	snoop	snoop.busy-self	D2	state	oracle-green-multiseed	snoop-depth@1,2,3,5,8	act.wizard.c:1149-1150	A repeat request sees victim->desc->snoop_by and returns Busy already without toggling state (R1/R4/R5e).
cmdSnoop	snoop	snoop.retarget	D4	state	oracle-green-multiseed	snoop-depth@1,2,3,5,8	act.wizard.c:1164-1169	Retargeting clears the old victim's snoop_by link before installing the new descriptor link (R3/R4/R5e).
cmdSnoop	snoop	snoop.self-stop	D2	state	oracle-green-multiseed	snoop-depth@1,2,3,5,8	act.wizard.c:1147-1148	Naming the snooper itself reaches stop_snooping, not a toggle-on-self invention (R1/R4/R5e).
cmdSnoop	snoop	snoop.level-boundary	D1	command	oracle-green-multiseed	snoop-depth@1,2,3,5,8	act.wizard.c:1153-1163	C rejects a target at or above the snooper's level with You can't, including the exact equality boundary (R1/R2/R5e).
cmdSnoop	snoop	snoop.busy-other-snooper	D2	state	oracle-green-multiseed	snoop-depth@1,2,3,5,8	act.wizard.c:1149-1150	A target already linked to another snooper remains busy and cannot be stolen (R1/R4/R5e).
cmdSnoop	snoop	snoop.one-argument	D1	command	oracle-green-multiseed	snoop-depth@1,2,3,5,8	interpreter.c:1265-1283;act.wizard.c:1140-1142	The dispatcher passes the first argument token; trailing words do not alter target resolution (R2/R3/R5e).
cmdSnoop	snoop	snoop.snooped-input	D5	transport	unit-green	TestSnoopInputRelayUsesCFraming	comm.c:1992-1998	Descriptor input is relayed before command routing with C's percent prefix and CRLF (R1/R3/R5e).
cmdSnoop	snoop	snoop.dont-be-stupid	D2	state	unit-green	TestCmdSnoopStateGatesUseCBranches	act.wizard.c:1151-1152	The reciprocal snooping link is rejected with Don't be stupid before level comparison (R1/R4/R5e).
cmdSnoop	snoop	snoop.switched-original-level	D1	state	unit-green	TestCmdSnoopUsesSwitchedOriginalLevel	act.wizard.c:1153-1163;structs.h:1215-1217	A descriptor's switched original is the level-comparison target, matching the C original-pointer branch (R1/R5e).
