handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	leer	leer.entry-gate	D1	command	unit-green	TestLeerRegistrationUsesCEntryGate	interpreter.c:537; act.social.c:102-151; lib/misc/socials:450-458	The registered C row is POS_RESTING with no command minimum; the focused test pins zero hide/minimum-position metadata and all eight authored messages (R1/R2/R5e).
do_action	leer	leer.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:537; comm.c:910-947	The shared POS_RESTING dispatcher rejection is owned by the existing fade position-gate vehicle (R2/R5b/R5c).
do_action	leer	leer.no-argument	D2	audience	oracle-green-multiseed	leer-depth@1,2,3,5,8	act.social.c:102-127; lib/misc/socials:450-458	No argument emits the exact actor line and ordinary room line across the seed matrix (R1/R3/R5e).
do_action	leer	leer.target-success	D3	audience	oracle-green-multiseed	leer-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:450-458	A visible player target reaches the authored actor and victim lines, with the shared room audience separately exposed (R1/R3/R5e).
do_action	leer	leer.target-audience	D3	audience	oracle-green-multiseed	leer-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:450-458	The peer target exposes C's target audience and the actor/room topology (R1/R3/R5e).
do_action	leer	leer.argument-first-token	D2	command	oracle-green-multiseed	leer-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:450-458	C one_argument skips the leading fill word and ignores trailing words before visible target lookup (R1/R3/R5e).
do_action	leer	leer.self-target	D2	audience	oracle-green-multiseed	leer-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:450-458	A named self target emits the authored self actor line and suppresses the room line because others_auto is # (R1/R3/R5e).
do_action	leer	leer.target-not-found	D1	command	oracle-green-multiseed	leer-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:450-458	An unresolved visible-room target emits the exact Smirk all you like. refusal (R1/R3/R5e).
do_action	leer	leer.sleeping-target	D3	audience	oracle-green-multiseed	leer-sleeping-depth@1,2,3,5,8	act.social.c:140-151; comm.c:2392-2555; lib/misc/socials:450-458	The zero victim-position minimum admits a sleeping target; TO_SLEEP preserves the actor line while ordinary TO_VICT sends no sleeping-target bytes (R1/R3/R5e).
do_action	leer	leer.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT emote refusal is owned by the existing dance social matrix (R1/R5b/R5c).
do_action	leer	leer.visibility	D3	shared	delegated	socials-depth	act.social.c:114-151; comm.c:2392-2555	The zero hide flag and shared CAN_SEE/Act audience behavior are owned by the social matrix (R1/R5b/R5c).
