handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	lambada	lambada.entry-gate	D1	command	unit-green	TestLambadaRegistrationUsesCEntryGate	interpreter.c:534; act.social.c:102-151; lib/misc/socials:1486-1494	The registered C row is POS_STANDING with no command minimum; the focused test pins the zero hide flag, zero victim-position minimum, and all eight authored messages (R1/R2/R5e).
do_action	lambada	lambada.position-gate	D1	shared	delegated	flip.position-gate	interpreter.c:534; comm.c:910-947	The shared POS_STANDING command-interpreter rejection is owned by the existing flip position-gate vehicle (R2/R5b/R5c).
do_action	lambada	lambada.no-argument	D2	audience	oracle-green-multiseed	lambada-depth@1,2,3,5,8	act.social.c:102-127; lib/misc/socials:1486-1494	No argument emits the exact forbidden-dance actor and room messages across the required seed matrix (R1/R3/R5e).
do_action	lambada	lambada.target-mob-room-audience	D3	audience	oracle-green-multiseed	lambada-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:1486-1494	A visible cleaner mob target exposes the actor and TO_NOTVICT room messages with exact $N/$M substitution (R1/R3/R5e).
do_action	lambada	lambada.target-player-audience	D3	audience	oracle-green-multiseed	lambada-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:1486-1494	A visible player target receives the exact actor and victim messages; the mob target separately exposes the room audience (R1/R3/R5e).
do_action	lambada	lambada.argument-first-token	D2	command	oracle-green-multiseed	lambada-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:1486-1494	C one_argument selects the first target token and ignores trailing words (R1/R3/R5e).
do_action	lambada	lambada.self-target	D2	audience	oracle-green-multiseed	lambada-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:1486-1494	A named self target emits the authored self and room messages (R1/R3/R5e).
do_action	lambada	lambada.target-not-found	D1	command	oracle-green-multiseed	lambada-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:1486-1494	An unresolved visible-room target emits the exact Really now? refusal (R1/R3/R5e).
do_action	lambada	lambada.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT emote refusal is owned by the existing dance social matrix (R1/R5b/R5c).
do_action	lambada	lambada.visibility	D3	shared	delegated	socials-depth	act.social.c:114-151; comm.c:2392-2555	The zero hide flag and shared visible-target/Act audience behavior are owned by the social matrix (R1/R5b/R5c).
