handler	command	case_id	depth	scope	status	proof	c_site	notes
nanny	entry	entry.name-validation	D1	transport	blocked	pending	src/interpreter.c:1743	Empty input; alphabetic length; fill/reserved words; banned names; repeat prompt; both transports.
nanny	entry	entry.identity-case	D4	persistence	unit-green	TestEntryIdentityCaseInsensitive	src/interpreter.c:1492;src/utils.c:107	Local PostgreSQL passes folded lookup. Legacy ambiguous identities reject login; production collisions still require owner resolution.
nanny	entry	entry.display-case	D1	transport	oracle-green-multiseed	character-creation-name-retry@1,2,3,5,8	src/interpreter.c:1806;src/utils.h:166	CAP initial confirmation matches C for aiko; normalized transcript proof.
nanny	entry	entry.browser-name-routing	D1	transport	blocked	scripts/entry-client.test.mjs	src/interpreter.c:1743	Four Node handler contracts and built-page creation/retry/return smoke checks pass. Formal both-transport transcript proof remains pending.
nanny	entry	entry.browser-json-boundary	D1	transport	unit-green	TestEntryWebSocketSavedIdentityAndMenuResume	src/interpreter.c:1743;src/interpreter.c:1860	Real local WebSocket JSON against disposable PostgreSQL proves aiko/AIKO password routing, menu entry, reconnect, and one row; TestEntryWebSocketNewCharacterPersistsAtMenu separately proves accepted level-zero stats persistence and menu disconnect/reconnect. Browser rendering remains separately covered by the Node handler contract.
nanny	entry	entry.telnet-boundary	D1	transport	unit-green	TestEntryTelnetSavedIdentityEntersWorld	src/interpreter.c:1743;src/interpreter.c:1860	Real local telnet listener against disposable PostgreSQL proves case-variant password routing, MOTD/menu entry, room output, and one row.
nanny	entry	entry.retry-existing	D4	persistence	unit-green	TestEntryNameRetryLoadsExisting	src/interpreter.c:1819	Local PostgreSQL: N then saved name routes to existing password authentication.
nanny	entry	entry.retry-new	D2	transport	oracle-green-multiseed	character-creation-name-retry@1,2,3,5,8	src/interpreter.c:1849	Fresh aiko N Aiko retry matches C; repeated and invalid retry branches remain unproven.
nanny	entry	entry.deleted-name	D4	persistence	blocked	pending	src/interpreter.c:1768	C deleted player-file branch and reuse; map Go deletion lifecycle without changing format.
nanny	entry	entry.new-password	D2	transport	blocked	pending	src/interpreter.c:1942	Length bounds; name-equal casefold rejection; mismatch restart; exact secret bytes; both transports.
