handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	smell	smell.entry-gate	D1	command	unit-green	TestSmellRegistrationUsesCEntryGate	interpreter.c:712;act.social.c:102-118	The registered C row is available at level 0 while the social record itself requires level 1; the focused test pins both gates under R1/R2/R5e.
do_action	smell	smell.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:712;comm.c:910-947	The common POS_RESTING dispatcher rejection is owned by the existing fade position-gate proof under R2/R5b/R5c.
do_action	smell	smell.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT refusal is owned by the dance social matrix under R1/R5b/R5c.
do_action	smell	smell.record-contract	D2	command	unit-green	TestSmellRegistrationUsesCEntryGate	lib/misc/socials:1128-1136;act.social.c:102-151	The focused test pins smell's eight authored messages, level-1 social metadata, zero hide flag, and zero minimum victim position under R1/R4/R5e.
do_action	smell	smell.no-argument	D2	audience	oracle-green-multiseed	smell-depth@1,2,3,5,8	act.social.c:102-113;lib/misc/socials:1128-1136	Empty one_argument emits the authored whiff actor line and room sniff act under R1/R3/R5e.
do_action	smell	smell.target-success	D3	audience	oracle-green-multiseed	smell-depth@1,2,3,5,8	act.social.c:114-151;lib/misc/socials:1128-1136	A visible target reaches the authored actor crotch line, non-victim room act, and victim act under R1/R3/R5e.
do_action	smell	smell.target-audience	D3	audience	oracle-green-multiseed	smell-depth@1,2,3,5,8	comm.c:2392-2555	Named observer and victim peers prove the smell record's three C Act audiences and substitutions under R1/R3/R5e.
do_action	smell	smell.argument-first-token	D2	command	oracle-green-multiseed	smell-depth@1,2,3,5,8	act.social.c:120-126;handler.c:1265-1283	Trailing words are ignored because C one_argument resolves only the first target token under R1/R2/R3/R5e.
do_action	smell	smell.self-target	D2	audience	oracle-green-multiseed	smell-depth@1,2,3,5,8	act.social.c:134-140;lib/misc/socials:1128-1136	A visible self target reaches the authored armpit actor/room pair rather than the victim trio under R1/R3/R5e.
do_action	smell	smell.target-not-found	D1	command	oracle-green-multiseed	smell-depth@1,2,3,5,8	act.social.c:128-132;lib/misc/socials:1128-1136	An unresolved visible-room target emits the authored invisible-man line under R1/R3/R5e.
do_action	smell	smell.victim-position	D2	shared	delegated	social.table-parity	act.social.c:143-147;lib/misc/socials:1128-1136	The smell record's zero minimum victim position is covered by the shared social metadata/table proof; no command-specific sleeping-target branch is invented under R4/R5b/R5c.
