handler	command	case_id	depth	scope	status	proof	c_site	notes
do_bash	bash	bash.no-skill	D1	command	oracle-green	combat-skill-noskill	interpreter.c:347; act.offensive.c:427-433	C checks GET_SKILL before target lookup and emits the martial-arts refusal on the player command path.
do_bash	bash	bash.no-arg	D1	command	oracle-green	bash-depth	act.offensive.c:440-448	A skilled caller without a target receives Bash who? after C's one_argument parse and fighting-target fallback.
do_bash	bash	bash.target-missing	D1	command	oracle-green	bash-depth	act.offensive.c:440-448	A missing target, including trailing words after the first token, receives Bash who?.
do_bash	bash	bash.one-argument	D1	command	oracle-green	bash-depth	act.offensive.c:425-440	C one_argument skips fill words, lowercases the first target token, and ignores the remainder; the self-target vehicle proves the boundary.
do_bash	bash	bash.peaceful-order	D1	command	oracle-green	bash-peaceful-depth	act.offensive.c:435-439	ROOM_PEACEFUL is checked before target lookup, so a missing target still receives the peaceful-room line.
do_bash	bash	bash.fighting-target-fallback	D1	command	unit-green	TestCmdBash_FightingTargetFallback	act.offensive.c:440-449	An empty argument while fighting resolves FIGHTING(ch) before the no-target refusal.
do_bash	bash	bash.self	D1	command	oracle-green	bash-depth	act.offensive.c:450-453	A resolved self target receives C's exact funny-today refusal.
do_bash	bash	bash.target-position-gate	D2	command	unit-green	TestDoBash_TargetSitting	act.offensive.c:455-459	A target below POS_FIGHTING is rejected before mount, move, and roll branches.
do_bash	bash	bash.mounted	D2	command	unit-green	TestDoBash_BlocksMounted	act.offensive.c:461-465	A mounted caller is refused before movement expenditure and the percent roll.
do_bash	bash	bash.move-gate	D2	state	unit-green	TestDoBash_NoMovePoints	act.offensive.c:467-473	Insufficient movement emits the energy refusal and does not enter the roll path.
do_bash	bash	bash.roll-and-damage-formula	D4	state	unit-green	TestSkillFormulas_Statistical	act.offensive.c:475-481; fight.c:1486-1490	The focused formula test pins the AC-adjusted number(1,101) success rate, fixed (level/2)+1 bash damage, and target knockdown result.
do_bash	bash	bash.nobash-mortal	D2	state	unit-green	TestDoBash_NobashMobForcesFail	act.offensive.c:478-479	MOB_NOBASH forces percent=101 for a mortal player, guaranteeing the damage-zero failure arm.
do_bash	bash	bash.immortal-success	D2	state	unit-green	TestDoBash_ImmortalCasterAutoSucceeds	act.offensive.c:480-481	An immortal caster overwrites the percent with zero and succeeds even with a low bash skill.
do_bash	bash	bash.failure-message-and-state	D3	state	oracle-green-multiseed	bash-failure-depth@1,2,3,5,8	act.offensive.c:483-488; fight.c:1023-1092; lib/misc/messages:240-254	The guaranteed mortal miss proves set-132 actor/victim/room routing, mutual combat enrollment, caster sitting, and the final two-pulse wait across five seeds.
do_bash	bash	bash.success-message-and-state	D3	state	unit-green	TestDoBash_Hit_ReroutesThroughSkillMessage	act.offensive.c:489-495; fight.c:1023-1092; lib/misc/messages:240-254	The success result carries set 132, fixed damage, combat start, target sitting, and deferred improvement rather than hardcoded messages.
do_bash	bash	bash.skill-message	D5	state	unit-green	TestDoBash_MissMessageFromSkillMessages	fight.c:1023-1092; lib/misc/messages:240-254	Miss output is selected from the C Bash skill-message set and contains no invented Go string.
do_bash	bash	bash.draw-order-miss	D5	state	unit-green	TestDoBash_MissDrawCountAndOrder	act.offensive.c:475-485; fight.c:1023-1092	A miss consumes the C percent draw followed by the set-132 skill-message variant draw.
do_bash	bash	bash.draw-order-hit	D5	state	unit-green	TestSendSkillResult_BashSuccess_DrawOrderMatchesC	act.offensive.c:475-497; fight.c:1023-1092	A hit preserves percent roll, skill-message dice, and the deferred improve draw order around damage and combat enrollment.
do_bash	bash	bash.opener-success	D5	command	oracle-green-multiseed	combat-bash-opener@1,2,3,5,8	act.offensive.c:475-497; fight.c:1308-1718	A legal mortal opener and subsequent combat pulses have no normalized divergence across five seeds.
do_bash	damage	bash.shared-damage-gates	D5	shared	delegated	combat-entry	fight.c:1336-1459	The skill's damage call delegates peaceful/newbie/shopkeeper/follower and death behavior to the verified combat-entry damage matrix.
do_bash	do_bash	bash.mob-subcmd	D5	shared	delegated	mob.fighter-bash	act.offensive.c:419-507; fight.c:1308-1718	Special-procedure callers use the same native do_bash call path with subcmd=1, owned by the special-procedure manifest.
