handler	command	case_id	depth	scope	status	proof	c_site	notes
do_neckbreak	neckbreak	neckbreak.registration	D1	command	unit-green	TestCmdNeckbreakUsesCTargetBoundary	interpreter.c:564; act.offensive.c:1295-1376	The command is registered at POS_FIGHTING with unrestricted level/class gates; the focused command test pins the live entry surface (R1/R2/R5e).
do_neckbreak	neckbreak	neckbreak.no-skill	D1	command	delegated	combat-skill-noskill	act.offensive.c:1300-1302	The no-skill branch is audited in the shared command gate matrix; this slice preserves C's exact early refusal before all target and resource work (R1/R5e).
do_neckbreak	neckbreak	neckbreak.wielded-weapon	D1	command	oracle-green-multiseed	neckbreak-wielded-depth@1,2,3,5,8	act.offensive.c:1304-1308	A wielded weapon is refused before one_argument, target lookup, and all later gates (R1/R3/R5e).
do_neckbreak	neckbreak	neckbreak.no-argument	D1	command	oracle-green-multiseed	neckbreak-depth@1,2,3,5,8	act.offensive.c:1310-1320	C one_argument plus get_char_room_vis yields the exact I don't see them here. response for a bare command (R1/R3/R5e).
do_neckbreak	neckbreak	neckbreak.target-not-found	D1	command	oracle-green-multiseed	neckbreak-depth@1,2,3,5,8	act.offensive.c:1310-1320	An unresolved target reaches the same canonical lookup refusal without spending movement or consuming the outcome roll (R1/R3/R5e).
do_neckbreak	neckbreak	neckbreak.one-argument	D2	command	oracle-green-multiseed	neckbreak-depth@1,2,3,5,8; TestCmdNeckbreakSkipsFillWordsAndTrailingArguments	interpreter.c:1265-1283; act.offensive.c:1310-1320	Fill words are skipped and only the first real target token is authoritative; trailing words are ignored (R1/R2/R3/R5e).
do_neckbreak	neckbreak	neckbreak.self-target	D1	command	oracle-green-multiseed	neckbreak-depth@1,2,3,5,8	act.offensive.c:1324-1326	Self-targeting is rejected after visibility resolution and before peaceful, mounted, movement, and RNG gates (R1/R3/R5e).
do_neckbreak	neckbreak	neckbreak.player-target	D2	audience	oracle-green-multiseed	neckbreak-depth@1,2,3,5,8	act.offensive.c:1310-1328	The visible player target exposes the same target-resolution and audience path as C (R1/R3/R5e).
do_neckbreak	neckbreak	neckbreak.visible-mob-target	D2	command	oracle-green-multiseed	neckbreak-depth@1,2,3,5,8	act.offensive.c:1310-1328	A registered trainee mob resolves through the command target path and reaches the authored peaceful gate (R1/R3/R5e).
do_neckbreak	neckbreak	neckbreak.shopkeeper-gate	D2	command	oracle-green-multiseed	neckbreak-shopkeeper-depth@1,2,3,5,8	act.offensive.c:1320-1322; shop.c:1232-1243	Boot-assigned shopkeeper membership is checked before self, peaceful, movement, and outcome branches, preserving Haha.. Don't think so. (R1/R3/R5e).
do_neckbreak	neckbreak	neckbreak.peaceful-room	D2	command	oracle-green-multiseed	neckbreak-depth@1,2,3,5,8; TestDoNeckbreakDepthPeacefulUsesCanonicalRoomBit	act.offensive.c:1329-1331; structs.h:60	ROOM_PEACEFUL rejects a legal target before mount, movement, and RNG work; both named and numeric flag encodings are pinned (R1/R3/R5e).
do_neckbreak	neckbreak	neckbreak.mounted	D2	state	oracle-green-multiseed	neckbreak-mounted-depth@1,2,3,5,8	act.offensive.c:1333-1335; utils.c:378-385	A mounted actor is refused after peaceful but before movement spend and outcome draws (R1/R3/R5e).
do_neckbreak	neckbreak	neckbreak.low-move	D2	state	oracle-green-multiseed	neckbreak-low-move-depth@1,2,3,5,8	act.offensive.c:1337-1341	The 51-move affordability check emits the exact low-energy line and does not subtract movement on rejection (R1/R3/R5e).
do_neckbreak	neckbreak	neckbreak.failure-message-and-retaliation	D3	audience	oracle-green-multiseed	neckbreak-failure-depth@1,2,3,5,8	act.offensive.c:1343-1356	The failed skill roll emits all three set-190 miss audiences before immediate hit(vict,ch) retaliation, including the ordinary-hit draw/state path (R1/R3/R5e).
do_neckbreak	neckbreak	neckbreak.success-message-and-state	D4	state	oracle-green-multiseed	neckbreak-success-depth@1,2,3,5,8	act.offensive.c:1358-1376; fight.c:1023-1092; lib/misc/messages:190	The successful arm spends 18d(level), routes numbered set 190 through damage(), enrolls combat, waits three violence rounds, and improves only after the damage/message boundary (R1/R3/R5e).
do_neckbreak	neckbreak	neckbreak.result-contract	D4	state	unit-green	TestDoNeckbreakDepthResultContractAndDrawOrder	act.offensive.c:1343-1376; fight.c:1023-1092	Focused tests pin the C result contract, branch ordering, deferred improvement, and percent/damage draw count (R1/R3/R5e).
do_neckbreak	neckbreak	neckbreak.failure-result-contract	D4	state	unit-green	TestDoNeckbreakDepthFailureRetaliationContract	act.offensive.c:1343-1356	Focused proof pins the three failure audiences, three-round wait, and immediate retaliation-after-messages contract (R1/R3/R5e).
do_neckbreak	neckbreak	neckbreak.shared-damage-gates	D5	shared	delegated	combat-entry	fight.c:1336-1459	The common damage(), position, skill_message, death, and ordinary-hit seams are delegated to the verified combat-entry matrix; this slice fixes only neckbreak-specific enrollment and message routing (R5b/R5c).
