handler	command	case_id	depth	scope	status	proof	c_site	notes
do_cast	cast	cast.no-arg	D1	command	oracle-green-multiseed	cast-depth@1,2,3,5,8	interpreter.c:373; spell_parser.c:947-955	The empty spell surface emits C's Cast what where? line.
do_cast	will	cast.will-entry	D1	command	oracle-green-multiseed	cast-depth@1,2,3,5,8	interpreter.c:825; spell_parser.c:947-955	The second do_cast registration is reachable and preserves the shared normal-class entry bytes.
do_cast	cast	cast.unquoted	D1	command	oracle-green-multiseed	cast-depth@1,2,3,5,8	spell_parser.c:957-976	Unquoted spell input reaches the exact magick-symbol rejection before lookup or RNG.
do_cast	cast	cast.unknown	D1	command	oracle-green-multiseed	cast-depth@1,2,3,5,8	spell_parser.c:978-988	Unknown quoted input emits the normal Cast what?!? branch.
do_cast	cast	cast.missing-closing-quote	D1	command	oracle-green-multiseed	cast-depth@1,2,3,5,8	spell_parser.c:959-976	C's strtok remainder accepts an opening quote with a nonempty end-of-input spell name; the known violent spell then reaches the no-target prompt.
do_cast	cast	cast.missing-target	D3	command	oracle-green-multiseed	cast-depth@1,2,3,5,8	spell_parser.c:1030-1109; comm.c:2392-2555	An explicit absent character target preserves Okay, the out-of-room incantation, and Cannot find the target of your spell! with no peer target output.
do_cast	cast	cast.low-level-pc-protection	D3	state	oracle-green-multiseed	cast-depth@1,2,3,5,8	spell_parser.c:1105-1110; fight.c:1336-1357	The successful flame-arrow call reaches shared C damage protection for the level-1 non-outlaw peer and emits Ancient forces protect without changing HP.
do_cast	cast	cast.trailing-target-words	D1	command	unit-green	TestCastArgumentParsingMatchesCQuoteAndWordRules	spell_parser.c:1028-1031; interpreter.c:1265-1283	The target remainder is passed through one_argument, so only the first non-fill token is resolved.
do_cast	cast	cast.no-target-violent	D1	command	unit-green	TestCastEarlyGatesAreExactAndDrawFree	spell_parser.c:1058-1067	A violent spell with no target preserves the exact Upon who prompt before any concentration draw.
do_cast	cast	cast.violent-self	D1	command	unit-green	TestCastEarlyGatesAreExactAndDrawFree	spell_parser.c:1059-1067	A named violent self-target reaches the exact self-harm refusal before mana or RNG.
do_cast	cast	cast.multiword-token-abbreviation	D1	command	unit-green	TestFindSkillNum	spell_parser.c:370-392	C's second find_skill_num arm accepts an abbreviation for each token of a multiword spell name.
do_cast	cast	cast.psionic-literal-cast	D1	command	unit-green	TestPsionicCastRejectsLiteralCast	spell_parser.c:949-955	A mortal psionic using the literal cast command receives the exact will-only refusal before parsing.
do_cast	will	cast.power-entry-surface	D1	command	unit-green	TestWillEntryUsesPowerSurface	spell_parser.c:959-1014	Psionic and mystic callers use Will wording for blank, unquoted, unknown, known-but-targetless, and power lookup branches.
do_cast	cast	cast.smartness-gate	D2	state	unit-green	TestCastSpellContractSmartnessGate	spell_parser.c:879-889	The successful concentration path enters cast_spell and rejects zero intelligence or wisdom before Okay, mana spend, or wait state.
do_cast	cast	cast.power-contract-gates	D2	state	unit-green	TestCastSpellContractUsesPowerGates	spell_parser.c:890-925	Charm-master, self-only, not-self, and group restrictions preserve C's ordering and psionic/mystic wording.
do_cast	cast	cast.weight-penalty	D4	state	unit-green	TestCastWeightPenaltyMatchesCThresholds	spell_parser.c:1070-1092	The carrying-weight ratio maps to C's 0/5/7/10 concentration additions, including the empty and ratio-at-least-four cases.
do_cast	cast	cast.target-order	D3	state	unit-green	TestResolveCastTargetOrderAndEmptyDefaults	spell_parser.c:1033-1067	Character room/world and object inventory/equipment/room/world resolution retain C's ordered target flags and empty-target defaults.
do_cast	cast	cast.mana-gate	D2	state	unit-green	TestCastInsufficientManaDrawsNothingAndSpendsNothing	spell_parser.c:1068-1072	Insufficient mortal mana rejects before the concentration draw and leaves resources unchanged.
do_cast	cast	cast.concentration-failure	D4	state	unit-green	TestCastFailureConsumesOneDrawHalfManaAndNoIncantation	spell_parser.c:1093-1104	A failed concentration consumes the one roll, applies the one-round wait, halves mana, and emits no incantation.
do_cast	cast	cast.success-call-magic	D4	state	unit-green	TestCastCureLightDrawOrderManaWaitAndFullHPCap	spell_parser.c:1104-1110; spell_parser.c:879-925	The successful spoken-cast boundary preserves Okay, CallMagic's effect, full mana cost, wait state, and downstream RNG order.
do_cast	cast	cast.damage-callee	D5	shared	delegated	object-magic; mob.magic-user-combat-cast	spell_parser.c:879-925; magic.c:615-827	SaySpell/CallMagic payloads and spell damage messaging are shared spell-parser behavior already owned by the object-magic and native magic-user manifests; this slice proves the PC entry boundary and its C damage protection gate.
do_cast	cast	cast.npc-early-return	D1	npc-call	excluded	-	spell_parser.c:1038-1042	Player command dispatch cannot enter do_cast with an NPC; NPC magic enters cast_spell through registered special procedures, owned by mob.magic-user-combat-cast.
