handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	pant	pant.entry-gate	D1	command	unit-green	TestPantRegistrationUsesCEntryGateAndRecord	interpreter.c:596; act.social.c:102-112; lib/misc/socials:1217-1225	The registered C row is POS_RESTING with no command minimum; the social record preserves hide 0, victim-position minimum 5, and all eight authored messages, including C's "quitely" spelling (R1/R2/R5e).
do_action	pant	pant.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:596; comm.c:910-947	The shared POS_RESTING command-interpreter rejection is owned by the existing fade position-gate vehicle (R2/R5b/R5c).
do_action	pant	pant.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT emote refusal runs before target parsing and is owned by the existing social boundary (R1/R5b/R5c).
do_action	pant	pant.no-argument	D2	command	oracle-green-multiseed	pant-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	No argument emits the exact actor and room panting lines from C's record (R1/R3/R5e).
do_action	pant	pant.target-success	D3	audience	oracle-green-multiseed	pant-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	A visible player at or above POS_RESTING receives the exact actor, observer, and victim panting messages (R1/R3/R5e).
do_action	pant	pant.target-audience	D3	audience	oracle-green-multiseed	pant-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	The actor, target, and observer transcripts pin C's three target-success audiences, hide-invisible behavior, and substitutions (R1/R3/R5e).
do_action	pant	pant.argument-first-token	D2	command	oracle-green-multiseed	pant-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	C one_argument selects the first target token and ignores trailing words before visible target lookup (R1/R2/R3/R5e).
do_action	pant	pant.mob-target	D3	audience	oracle-green-multiseed	pant-depth@1,2,3,5,8	handler.c:1276-1300; act.social.c:128-151	The registered vehicle resolves the visible guard-trainee NPC through get_char_room_vis and preserves the authored social audience bytes (R1/R3/R5e).
do_action	pant	pant.self-target	D2	audience	oracle-green-multiseed	pant-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:1217-1225	The named self target emits C's authored actor and room self-target messages (R1/R3/R5e).
do_action	pant	pant.target-not-found	D1	command	oracle-green-multiseed	pant-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:1217-1225	A missing visible-room target emits the exact authored direct-send refusal and no room act (R1/R3/R5e).
do_action	pant	pant.sleeping-target	D3	audience	oracle-green-multiseed	pant-depth@1,2,3,5,8	act.social.c:140-151; lib/misc/socials:1217-1225	The zero-or-lower-than-resting position target is rejected with C's canonical proper-position bytes when forced to sleep (R1/R3/R5e).
