handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	hug	hug.entry-gate	D1	command	unit-green	TestHugRegistrationUsesCEntryGate	interpreter.c:504; act.social.c:102-112; lib/misc/socials:410-418	The registered C row is POS_RESTING with no command minimum level; the social record has hide=1, minimum victim position POS_STANDING, and all eight authored messages.
do_action	hug	hug.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:504; comm.c:910-947	The shared POS_RESTING command rejection is owned by the existing fade position-gate vehicle.
do_action	hug	hug.no-argument	D2	audience	oracle-green-multiseed	hug-depth@1,2,3,5,8	act.social.c:119-127; lib/misc/socials:410-418	No argument emits the exact Hug who? actor line while the # room sentinel emits no observer line.
do_action	hug	hug.target-success	D3	audience	oracle-green-multiseed	hug-depth@1,2,3,5,8	act.social.c:145-151; lib/misc/socials:410-418	A visible standing target receives the exact actor and victim messages, and the distinct observer receives the TO_NOTVICT room line.
do_action	hug	hug.target-audience	D3	audience	oracle-green-multiseed	hug-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:410-418	The hide=1 social reaches the observer while excluding actor and victim from TO_NOTVICT; the victim receives its dedicated line.
do_action	hug	hug.argument-first-token	D2	command	oracle-green-multiseed	hug-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:410-418	C one_argument skips the leading fill word and ignores trailing words before visible target lookup.
do_action	hug	hug.self-target	D2	audience	oracle-green-multiseed	hug-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:410-418	A self target uses the authored actor self line and hide-aware room self line.
do_action	hug	hug.target-not-found	D1	command	oracle-green-multiseed	hug-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:410-418	A missing visible-room target receives the exact C refusal and no audience act.
do_action	hug	hug.sleeping-target	D2	command	oracle-green-multiseed	hug-sleeping-depth@1,2,3,5,8	act.social.c:140-143; lib/misc/socials:410-418	The authored POS_STANDING victim minimum rejects a sleeping visible target with the canonical proper-position bytes.
do_action	hug	hug.noshout	D1	shared	delegated	dance-noshout	act.social.c:102-118	The shared PLR_NOSHOUT emote refusal is owned by the dance social matrix.
do_action	hug	hug.visibility	D3	shared	delegated	socials-depth	act.social.c:114-151; comm.c:2392-2555	Target lookup and the hide=1 actor/room/victim visibility behavior are owned by the social matrix.
