handler	command	case_id	depth	scope	status	proof	c_site	notes
do_purge	purge	purge.entry-gate	D1	command	unit-green	TestPurgeRegistrationUsesCEntryGate	interpreter.c:624; comm.c:910-947; act.wizard.c:1423-1478	The registered C row is POS_DEAD with LVL_IMMORT+1, and the focused test pins this command-surface gate (R2/R5e).
do_purge	purge	purge.position-gate	D1	command	delegated	levels.entry-gate	interpreter.c:624; comm.c:910-947	The dispatcher rejects positions below POS_DEAD before do_purge; the shared entry-gate proof covers this C table contract (R2/R5e).
do_purge	purge	purge.low-level-authorization	D1	command	oracle-green-multiseed	purge-low-level-depth@1,2,3,5,8	interpreter.c:624; comm.c:909-916	A below-gate actor stops before do_purge and receives C's exact Huh?!? response (R1/R2/R5e).
do_purge	purge	purge.no-argument-audiences	D3	audience	oracle-green-multiseed	purge-depth@1,2,3,5,8	act.wizard.c:1460-1478; comm.c:2366-2373	The room gesture reaches peers and the cleaner-room line reaches every awake player including the actor, matching send_to_room (R1/R3/R5e).
do_purge	purge	purge.no-argument-cleanup	D4	state	oracle-green-multiseed	purge-depth@1,2,3,5,8	act.wizard.c:1460-1478	The no-argument branch extracts room NPCs and objects without inventing an actor acknowledgement; the repeated target probe proves cleanup (R1/R4/R5e).
do_purge	purge	purge.npc-target	D3	audience	oracle-green-multiseed	purge-npc-depth@1,2,3,5,8	act.wizard.c:1430-1456	A visible NPC is resolved before object lookup, receives the room disintegration act, and is not sent a victim line (R1/R2/R5e).
do_purge	purge	purge.npc-cleanup	D4	state	oracle-green-multiseed	purge-npc-depth@1,2,3,5,8	act.wizard.c:1454-1478; handler.c:1194-1210	The NPC is extracted through C's deferred extraction path; the padded pulse confirms the target is gone afterward (R3/R5e).
do_purge	purge	purge.object-target	D3	audience	oracle-green-multiseed	purge-object-depth@1,2,3,5,8	act.wizard.c:1442-1456	When character lookup misses, the first object token is resolved in the room and the room destroy act reaches the peer (R1/R2/R5e).
do_purge	purge	purge.object-cleanup	D4	state	oracle-green-multiseed	purge-object-depth@1,2,3,5,8	act.wizard.c:1442-1456	The targeted object is extracted and the repeated object probe reaches C's exact missing-target response (R1/R3/R5e).
do_purge	purge	purge.lower-level-player	D3	audience	oracle-green-multiseed	purge-player-depth@1,2,3,5,8	act.wizard.c:1432-1441; comm.c:2086-2185	A lower-level player follows close_socket's lost-link room act, then the immortal receives Okay; the victim receives no purge line (R1/R5e).
do_purge	purge	purge.player-extraction	D4	state	oracle-green-multiseed	purge-player-depth@1,2,3,5,8	act.wizard.c:1432-1441; comm.c:2086-2185	The lower-level player's session is closed and the player is extracted; the peer room is empty on the next observation (R1/R3/R5e).
do_purge	purge	purge.protected-player	D2	command	oracle-green-multiseed	purge-protected-player-depth@1,2,3,5,8	act.wizard.c:1432-1438	An equal-level player is protected by C's level comparison and receives the exact Fuuuuuuuuu! refusal (R1/R2/R5e).
