handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	massage	massage.entry-gate	D1	command	unit-green	TestMassageRegistrationUsesCEntryGate	interpreter.c:557; act.social.c:102-121; lib/misc/socials:480-488	The C row is unrestricted at POS_RESTING; the focused test pins the command gate, hide flag, victim-position metadata, and all eight authored messages (R1/R2/R5e).
do_action	massage	massage.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:557; comm.c:910-947	The shared POS_RESTING command rejection is owned by the existing social position-gate proof (R2/R5b/R5c).
do_action	massage	massage.no-argument	D2	audience	oracle-green-multiseed	massage-depth@1,2,3,5,8	act.social.c:102-121; lib/misc/socials:480-488	No argument emits the exact actor prompt and the authored `#` room branch (R1/R3/R5e).
do_action	massage	massage.one-argument	D2	command	oracle-green-multiseed	massage-depth@1,2,3,5,8	act.social.c:114-121; interpreter.c:1265-1283	C consumes one target token and ignores trailing words before visible-room lookup (R1/R2/R5e).
do_action	massage	massage.target-success	D3	audience	oracle-green-multiseed	massage-depth@1,2,3,5,8	act.social.c:132-151; lib/misc/socials:480-488	A visible target receives the authored actor, observer, and victim messages (R1/R3/R5e).
do_action	massage	massage.target-victim-audience	D3	shared	delegated	socials-depth	act.social.c:145-151; comm.c:2392-2555	The TO_VICT/TO_NOTVICT recipient and visibility rules are owned by the shared social audience proof (R1/R5b/R5c).
do_action	massage	massage.target-not-found	D1	command	oracle-green-multiseed	massage-depth@1,2,3,5,8	act.social.c:128-134; lib/misc/socials:480-488	An unresolved visible-room target receives the exact authored not-found line (R1/R5e).
do_action	massage	massage.self-target	D2	audience	oracle-green-multiseed	massage-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:480-488	A self target reaches the authored yoga actor and room branches (R1/R3/R5e).
do_action	massage	massage.sleeping-target	D3	audience	oracle-green-multiseed	massage-depth@1,2,3,5,8	act.social.c:140-151; lib/misc/socials:480-488	The zero victim-position minimum admits a sleeping target and uses the normal success audience (R1/R3/R5e).
do_action	massage	massage.noshout	D1	shared	delegated	dance-noshout	act.social.c:102-118	The shared PLR_NOSHOUT emote refusal is owned by the dance social matrix (R1/R5b/R5c).
do_action	massage	massage.visibility	D3	shared	delegated	socials-depth	act.social.c:132-151; comm.c:2392-2555	Target lookup and actor/room/victim visibility use the shared social behavior (R1/R5b/R5c).
