handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	spackle	spackle.entry-gate	D1	command	unit-green	TestSpackleRegistrationUsesCEntryGateAndRecord	interpreter.c:727; act.social.c:102-112; lib/misc/socials:1118-1126	The registered C row is POS_RESTING with no command minimum; the social record preserves level 1, hide 0, the default zero victim-position minimum, and all eight authored messages (R1/R2/R5e).
do_action	spackle	spackle.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:727; comm.c:910-947	The shared POS_RESTING command-interpreter rejection is owned by the existing fade position-gate vehicle (R2/R5b/R5c).
do_action	spackle	spackle.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT emote refusal runs before target parsing and is owned by the existing social boundary (R1/R5b/R5c).
do_action	spackle	spackle.no-argument	D2	audience	oracle-green-multiseed	spackle-depth@1,2,3,5,8	act.social.c:119-127; lib/misc/socials:1118-1126	No argument emits the exact actor line and the authored room audience line under C's hide 0 record (R1/R3/R5e).
do_action	spackle	spackle.target-success	D3	audience	oracle-green-multiseed	spackle-depth@1,2,3,5,8	act.social.c:145-151; lib/misc/socials:1118-1126	A visible target receives the exact actor, observer, and victim spackle messages (R1/R3/R5e).
do_action	spackle	spackle.target-audience	D3	audience	oracle-green-multiseed	spackle-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:1118-1126	The actor, target, and observer transcripts pin C's three target-success audiences and substitutions (R1/R3/R5e).
do_action	spackle	spackle.argument-first-token	D2	command	oracle-green-multiseed	spackle-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:1118-1126	C one_argument skips the leading fill word and ignores trailing words before visible target lookup (R1/R2/R3/R5e).
do_action	spackle	spackle.self-target	D2	audience	oracle-green-multiseed	spackle-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:1118-1126	The named self target emits the authored actor and room self-target messages, including C pronoun substitution (R1/R3/R5e).
do_action	spackle	spackle.target-not-found	D1	command	oracle-green-multiseed	spackle-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:1118-1126	C sends the missing-target record directly, so the authored literal $N remains literal in the exact refusal (R1/R3/R5e).
do_action	spackle	spackle.sleeping-target	D3	shared	delegated	slap.sleeping-target	act.social.c:140-151; comm.c:2392-2555; lib/misc/socials:1118-1126	Spackle has the same zero victim-position minimum as slap; the shared sleeping-recipient and audience behavior is owned by slap's focused vehicle (R1/R3/R5b/R5c).
do_action	spackle	spackle.visibility	D3	shared	delegated	socials-depth	act.social.c:114-151; comm.c:2392-2555	Visible-room target lookup and Act audience visibility are owned by the shared social matrix (R1/R5b/R5c).
