handler	command	case_id	depth	scope	status	proof	c_site	notes
do_trans	transfer	transfer.no-argument	D1	command	oracle-green-multiseed	wizard-residual-depth@1,2	act.wizard.c:309-364; interpreter.c:784	The registered transfer entry reaches C's one_argument empty-target response byte-for-byte (R1/R2/R5e). Valid player, NPC, mount, and all-target relocation branches remain residual.
do_teleport	teleport	teleport.no-argument	D1	command	oracle-green-multiseed	wizard-residual-depth@1,2	act.wizard.c:365-394; interpreter.c:763	The registered teleport entry reaches C's two_arguments empty-target response byte-for-byte (R1/R2/R5e). Valid target, level, destination, audience, and landing-look branches remain residual.
do_vnum	vnum	vnum.no-argument	D1	command	oracle-green-multiseed	wizard-residual-depth@1,2	act.wizard.c:395-426; interpreter.c:803	The empty argument reaches C's exact vnum usage line (R1/R2/R5e).
do_stat	stat	stat.no-argument	D1	command	oracle-green-multiseed	wizard-residual-depth@1,2	act.wizard.c:995-1073; interpreter.c:738	The empty argument reaches C's exact stat usage line (R1/R2/R5e).
do_switch	switch	switch.no-argument	D1	command	oracle-green-multiseed	wizard-residual-depth@1,2	act.wizard.c:1175-1204; interpreter.c:751	The empty argument reaches C's exact switch usage line; switched-body state and target classes remain residual (R1/R2/R5e).
do_vstat	vstat	vstat.no-argument	D1	command	oracle-green-multiseed	wizard-residual-depth@1,2	act.wizard.c:1382-1422; interpreter.c:804	The empty argument reaches C's exact vstat usage line (R1/R2/R5e).
do_wizlock	wizlock	wizlock.no-argument	D1	command	oracle-green-multiseed	god-system-residuals@1,2	act.wizard.c:1769-1801; interpreter.c:834	The read-only no-argument query reports C's current restriction state exactly; numeric login integration remains a separate blocked shared surface (R1/R2/R5e).
do_wiznet	wiznet	wiznet.no-argument	D1	command	oracle-green-multiseed	wizard-residual-depth@1,2	act.wizard.c:1912-2034; interpreter.c:830	The empty argument preserves C's two-line usage bytes, including continuation indentation and CRLF (R1/R2/R5e).
do_zreset	zreset	zreset.no-argument	D1	command	oracle-green-multiseed	wizard-residual-depth@1,2	act.wizard.c:2035-2076; interpreter.c:848	The empty argument reaches C's exact zone-required response; valid reset state, logging, and world-reset branches remain residual (R1/R2/R5e).
do_syslog	syslog	syslog.no-argument	D1	command	oracle-green-multiseed	wizard-residual-depth@1,2	act.wizard.c:3079-3105; interpreter.c:753	The default PRF_LOG1/2 state reports C's exact off status; all four state-setting branches remain residual (R1/R3/R5e).
do_sysfile	sysfile	sysfile.no-argument	D1	command	oracle-green-multiseed	wizard-residual-depth@1,2	act.wizard.c:3412-3443; interpreter.c:752	An empty one_argument reaches C's exact non-file refusal; file selection and pager bytes remain residual (R1/R2/R5e).
do_tick	tick	tick.no-output	D1	command	oracle-green-multiseed	god-system-residuals@1,2	act.wizard.c:3501-3515; interpreter.c:774	The forced tick produces no player-facing bytes in the quiet vehicle at both seeds; pulse state/order remains lifecycle residual (R1/R3/R5e).
do_newbie	wnewbie	wnewbie.no-argument	D1	command	oracle-green-multiseed	wizard-residual-depth@1,2	act.wizard.c:3516-3544; interpreter.c:835	The registered wnewbie entry reaches C's exact empty-target response; object creation, transfer, and victim audience remain residual (R1/R2/R5e).
do_zlist	zlist	zlist.no-argument	D2	command	oracle-green-multiseed	wizard-residual-depth@1,2	act.wizard.c:3545-3574; interpreter.c:847	The current-zone one_argument path pages the disposable C zone file bytes exactly; numeric/file-missing and pager continuation branches remain residual (R1/R3/R5e).
do_trans	transfer	transfer.target-not-found	D1	command	oracle-green-multiseed	transfer-depth@1,2	act.wizard.c:309-364; handler.c:1276-1300	An unresolved world character reaches C's exact No-one by that name here. refusal and leaves all audiences silent (R1/R2/R3/R5e).
do_trans	transfer	transfer.success-audience	D4	state	oracle-green-multiseed	transfer-depth@1,2	act.wizard.c:309-364; comm.c:2392-2555	A visible lower-level player transfer preserves C's disappearance/arrival room audience, victim acknowledgement, destination look, and relocation state (R1/R3/R5e).
do_trans	transfer	transfer.one-argument	D2	command	oracle-green-multiseed	transfer-depth@1,2	act.wizard.c:309-364	Trailing words after the one target argument are ignored exactly as C's one_argument parser requires (R1/R2/R5e).
do_teleport	teleport	teleport.target-not-found	D1	command	oracle-green-multiseed	teleport-depth@1,2	act.wizard.c:365-394; handler.c:1276-1300	An unresolved world character reaches C's exact No-one by that name here. refusal (R1/R2/R3/R5e).
do_teleport	teleport	teleport.self-target	D1	command	oracle-green-multiseed	teleport-depth@1,2	act.wizard.c:365-394	The wizard cannot teleport their own body through this command and receives C's exact goto guidance (R1/R2/R5e).
do_teleport	teleport	teleport.missing-destination	D1	command	oracle-green-multiseed	teleport-depth@1,2	act.wizard.c:365-394	A found target without a destination reaches C's exact destination prompt before movement (R1/R2/R5e).
do_teleport	teleport	teleport.invalid-room	D1	command	oracle-green-multiseed	teleport-depth@1,2	act.wizard.c:365-394	An invalid destination reaches C's exact room-missing refusal and does not move the target (R1/R2/R3/R5e).
do_teleport	teleport	teleport.success-audience	D4	state	oracle-green-multiseed	teleport-depth@1,2	act.wizard.c:365-394; comm.c:2392-2555	A successful lower-level player teleport preserves C's actor/observer disappearance, target arrival acknowledgement, and destination look/state (R1/R3/R5e).
do_teleport	teleport	teleport.two-argument	D2	command	oracle-green-multiseed	teleport-depth@1,2	act.wizard.c:365-394	The first two_arguments operands select the target and destination while trailing words are ignored exactly (R1/R2/R5e).
do_vnum	vnum	vnum.mob-missing	D1	command	oracle-green-multiseed	wizard-report-depth@1,2	act.wizard.c:395-426	A missing mobile keyword reaches C's exact No mobiles by that name. diagnostic (R1/R2/R5e).
do_vnum	vnum	vnum.obj-missing	D1	command	oracle-green-multiseed	wizard-report-depth@1,2	act.wizard.c:395-426	A missing object keyword reaches C's exact No objects by that name. diagnostic (R1/R2/R5e).
do_vnum	vnum	vnum.invalid-category	D1	command	oracle-green-multiseed	wizard-report-depth@1,2	act.wizard.c:395-426	An invalid vnum category reaches C's exact usage line (R1/R2/R5e).
do_stat	stat	stat.mob-missing	D1	command	oracle-green-multiseed	wizard-report-depth@1,2	act.wizard.c:995-1073; handler.c:1276-1300	A missing mobile selector reaches C's exact No such mobile around. diagnostic (R1/R2/R5e).
do_stat	stat	stat.player-missing	D1	command	oracle-green-multiseed	wizard-report-depth@1,2	act.wizard.c:995-1073	A missing player selector reaches C's exact No such player around. diagnostic (R1/R2/R5e).
do_stat	stat	stat.file-missing	D1	command	oracle-green-multiseed	wizard-report-depth@1,2	act.wizard.c:995-1073; db.c	A missing player save reaches C's exact There is no such player. diagnostic (R1/R2/R5e).
do_stat	stat	stat.object-missing	D1	command	oracle-green-multiseed	wizard-report-depth@1,2	act.wizard.c:995-1073; handler.c:1303-1331	A missing object selector reaches C's exact No such object around. diagnostic (R1/R2/R5e).
do_stat	stat	stat.fallback-missing	D1	command	oracle-green-multiseed	wizard-report-depth@1,2	act.wizard.c:995-1073; handler.c:1276-1331	An unresolved untyped selector reaches C's exact Nothing around by that name. fallback (R1/R2/R5e).
