handler	command	case_id	depth	scope	status	proof	c_site	notes
do_otouch	orgasm	orgasm.entry-gate	D1	command	unit-green	TestOrgasmRegistrationUsesCEntryGate	interpreter.c:587; new_cmds.c:666-675	The C row requires LVL_IMMORT at POS_RESTING; the focused test pins both the command-table gate and registered handler entry (R1/R2/R5e).
do_otouch	orgasm	orgasm.handler-low-level	D1	command	unit-green	TestOrgasmHandlerKeepsCImmortalGuard	new_cmds.c:670-675	The handler's additional non-NPC low-level guard emits the exact Come again? bytes when reached directly (R1/R5e).
do_otouch	orgasm	orgasm.no-argument	D1	command	oracle-green-multiseed	orgasm-depth@1,2,3,5,8	new_cmds.c:677-680	C one_argument runs before the empty-target branch, which emits the exact Yeah, ok, but who? response (R1/R3/R5e).
do_otouch	orgasm	orgasm.target-not-found	D1	command	oracle-green-multiseed	orgasm-depth@1,2,3,5,8	new_cmds.c:681-685; handler.c:1276-1300	An unresolved visible-room target emits exactly Humm...seems that person doesn't need your help. (R1/R3/R5e).
do_otouch	orgasm	orgasm.self-target	D2	audience	oracle-green-multiseed	orgasm-depth@1,2,3,5,8	new_cmds.c:686-692; comm.c:2522-2573	Self targeting emits the actor-only warning and the TO_NOTVICT self-play room line with no actor duplicate (R1/R3/R5e).
do_otouch	orgasm	orgasm.visible-npc	D3	audience	oracle-green-multiseed	orgasm-depth@1,2,3,5,8	new_cmds.c:693-704; comm.c:2522-2573	A visible NPC reaches the common touch/room path, gains two hit points, and then follows the male-victim side effects (R1/R3/R5e).
do_otouch	orgasm	orgasm.male-target-audience-state	D3	audience	oracle-green-multiseed	orgasm-depth@1,2,3,5,8	new_cmds.c:695-704; comm.c:2522-2573	A male player target proves actor TO_CHAR, victim TO_CHAR, and observer TO_NOTVICT ordering plus the exact C text (R1/R3/R5e).
do_otouch	orgasm	orgasm.male-target-state	D4	state	unit-green	TestOrgasmMaleVictimUpdatesCState	new_cmds.c:703-713	The male branch increments GET_HIT by two, sends the hunger/food line, and resets FULL to zero when nonnegative; silent state is pinned directly (R1/R3/R5e).
do_otouch	orgasm	orgasm.female-target-audience-state	D3	audience	oracle-green-multiseed	orgasm-depth@1,2,3,5,8	new_cmds.c:695-702,715-721; comm.c:2522-2573	A female player target proves the common three-audience path and the male-caster female-victim follow-up in both victim and observer outputs (R1/R3/R5e).
do_otouch	orgasm	orgasm.female-actor-no-followup	D4	state	unit-green	TestOrgasmFemaleActorDoesNotTriggerMaleFollowup	new_cmds.c:715-721	The female-victim extra branch is conditioned on the caster's male sex; a female actor still adds two hit points but emits neither follow-up line (R1/R3/R5e).
do_otouch	orgasm	orgasm.one-argument-fill-word	D2	command	oracle-green-multiseed	orgasm-depth@1,2,3,5,8	interpreter.c:1265-1283; new_cmds.c:677-684	C one_argument skips the leading fill word and ignores the trailing words, resolving the male target exactly once per probe (R1/R2/R3/R5e).
do_otouch	orgasm	orgasm.shared-act-audiences	D3	shared	delegated	socials-depth	comm.c:2392-2573	The generic act substitution, visibility, SENDOK, and TO_CHAR/TO_NOTVICT audience machinery is owned by the verified social audience matrix; this slice proves do_otouch's call arguments (R5b/R5c).
