handler	command	case_id	depth	scope	status	proof	c_site	notes
do_sleeper	sleeper	sleeper.entry-gate	D1	command	unit-green	TestSleeperRegistrationUsesCEntryGate	interpreter.c:706; comm.c:910-947	The registered C row is available at mortal level with POS_STANDING; the focused registry test pins the authoritative Go gate under R1/R2/R5e.
do_sleeper	sleeper	sleeper.no-skill	D1	command	unit-green	TestDoSleeperDepthGateOrder	act.offensive.c:1193-1197	The direct GET_SKILL zero branch returns You have no idea how. before every later gate under R1/R5e.
do_sleeper	sleeper	sleeper.no-argument	D1	command	oracle-green-multiseed	sleeper-depth@1,2,3,5,8	act.offensive.c:1189-1197	An empty one_argument reaches Sleeper who? after the skill gate across the required seed matrix under R1/R2/R3/R5e.
do_sleeper	sleeper	sleeper.target-not-found	D1	command	oracle-green-multiseed	sleeper-depth@1,2,3,5,8	act.offensive.c:1223-1226; handler.c:1276-1300	A missing visible-room target returns Sleeper who? with no invented They aren't here. text under R1/R3/R5e.
do_sleeper	sleeper	sleeper.actor-fighting	D1	command	unit-green	TestDoSleeperDepthGateOrder	act.offensive.c:1199-1203	The actor fighting gate precedes mount, room, equipment, target lookup, and RNG under R1/R3/R5e.
do_sleeper	sleeper	sleeper.mounted-gate	D1	command	oracle-green	sleeper-mounted-peaceful-depth@1	act.offensive.c:1205-1208; utils.c:378-385	The legal ride vehicle reaches Dismount first! before room, equipment, lookup, or RNG; the focused gate test covers the same state under R1/R3/R5e.
do_sleeper	sleeper	sleeper.peaceful-gate	D1	command	oracle-green	sleeper-mounted-peaceful-depth@1	act.offensive.c:1210-1214; structs.h:60	ROOM_PEACEFUL emits the exact concatenated feeling line after the mounted gate and before equipment or lookup under R1/R3/R5e.
do_sleeper	sleeper	sleeper.wielded-gate	D1	command	oracle-green-multiseed	sleeper-wielded-depth@1,2,3,5,8	act.offensive.c:1216-1221	A valid carried sword reaches the exact bare-hand refusal before character lookup and RNG under R1/R3/R5e.
do_sleeper	sleeper	sleeper.self-target	D1	command	oracle-green-multiseed	sleeper-depth@1,2,3,5,8	act.offensive.c:1228-1231; handler.c:1276-1285	Visible self resolution reaches Can't get to sleep fast enough, huh? under R1/R2/R3/R5e.
do_sleeper	sleeper	sleeper.non-outlaw-player-gate	D2	command	oracle-green-multiseed	sleeper-depth@1,2,3,5,8	act.offensive.c:1233-1239	A mortal non-Outlaw actor receives the exact refusal and the same descriptor receives the C victim notice under R1/R3/R5e.
do_sleeper	sleeper	sleeper.target-fighting	D1	command	unit-green	TestDoSleeperDepthGateOrder	act.offensive.c:1241-1245	The target fighting refusal runs after player Outlaw protection and before shopkeeper, position, and RNG under R1/R5e.
do_sleeper	sleeper	sleeper.shopkeeper-gate	D2	command	oracle-green-multiseed	sleeper-shopkeeper-depth@1,2,3,5,8	act.offensive.c:1247-1251; shop.c:1232-1243	The assigned fat merchant reaches Ha Ha. Don't think so. without invented combat or skill output under R1/R3/R4/R5e.
do_sleeper	sleeper	sleeper.sleeping-target	D1	command	oracle-green-multiseed	sleeper-depth@1,2,3,5,8	act.offensive.c:1253-1256	The authored sleeping orc reaches What's the point of doing that now? after all pre-roll gates under R1/R3/R5e.
do_sleeper	sleeper	sleeper.player-level-window	D4	state	unit-green	TestDoSleeperPlayerLevelWindow	act.offensive.c:1265-1271	A mortal player victim outside the actor's plus-or-minus-three level window is forced to probability zero after consuming the inclusive percentage draw under R3/R5e.
do_sleeper	sleeper	sleeper.failure-message-order	D3	audience	oracle-green-multiseed	sleeper-failure-depth@1,2,3,5,8	act.offensive.c:1273-1278; comm.c:2392-2555	The MOB_AWARE/NOSLEEP Talis vehicle preserves the three failure acts and C's immediate retaliation ordering under R1/R3/R5e.
do_sleeper	sleeper	sleeper.failure-aware-mob	D2	command	oracle-green-multiseed	sleeper-failure-depth@1,2,3,5,8	act.offensive.c:1259-1263	The authored Talis action flags force sleeper probability to zero after the percentage draw under R1/R3/R5e.
do_sleeper	sleeper	sleeper.failure-retaliation	D5	state	oracle-green-multiseed	sleeper-failure-depth@1,2,3,5,8	act.offensive.c:1273-1278; fight.c:1457-1888	Failure calls hit(vict,ch,TYPE_UNDEFINED); the native Talis combat response matches without a Go-invented result under R1/R3/R5e.
do_sleeper	sleeper	sleeper.failure-wait	D4	state	unit-green	TestDoSleeperMobProtectionAndSuccessShape	act.offensive.c:1273-1280; structs.h:PULSE_VIOLENCE	The failure result carries the unconditional two-violence-pulse actor cooldown under R3/R5e.
do_sleeper	sleeper	sleeper.success-message-order	D3	audience	oracle-green-multiseed	sleeper-outcome-depth@1,2,3,5,8	act.offensive.c:1273-1278; comm.c:2392-2555	The legal player vehicle preserves actor, victim, and two distinct TO_ROOM acts under R1/R3/R5e.
do_sleeper	sleeper	sleeper.success-victim-state	D4	state	unit-green	TestDoSleeperMobProtectionAndSuccessShape	act.offensive.c:1279-1280; structs.h:AFF_SLEEP	The success contract carries the target sleep transition and delayed affect/improvement ordering under R1/R3/R5e.
do_sleeper	sleeper	sleeper.success-room-audience	D3	audience	oracle-green-multiseed	sleeper-outcome-depth@1,2,3,5,8	act.offensive.c:1273-1279; comm.c:2392-2555	TO_ROOM includes the victim and emits $n puts $N followed by $N goes to sleep, matching C bytes and topology under R1/R3/R5e.
do_sleeper	sleeper	sleeper.success-wait	D4	state	unit-green	TestDoSleeperMobProtectionAndSuccessShape	act.offensive.c:1279-1280; structs.h:PULSE_VIOLENCE	The success contract carries the same unconditional two-violence-pulse actor cooldown under R3/R5e.
do_sleeper	sleeper	sleeper.success-improvement-order	D5	state	unit-green	TestDoSleeperMobProtectionAndSuccessShape	act.offensive.c:1279-1280; skills.c:improve_skill	Success defers skill improvement until after the room acts, preserving C's state/output order under R1/R3/R5e.
