handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	squeeze	squeeze.entry-gate	D1	command	unit-green	TestSqueezeRegistrationUsesCEntryGateAndRecord	interpreter.c:732; act.social.c:102-112; lib/misc/socials:834-842	The registered C row is POS_RESTING with no command minimum; the social record preserves level 0, hide 0, the default zero victim-position minimum, and all eight authored messages (R1/R2/R5e).
do_action	squeeze	squeeze.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:732; comm.c:910-947	The shared POS_RESTING command-interpreter rejection is owned by the existing fade position-gate vehicle (R2/R5b/R5c).
do_action	squeeze	squeeze.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT emote refusal runs before target parsing and is owned by the existing social boundary (R1/R5b/R5c).
do_action	squeeze	squeeze.no-argument	D2	command	oracle-green-multiseed	squeeze-depth@1,2,3,5,8	act.social.c:119-127; lib/misc/socials:834-842	No argument emits the exact actor squeeze line and C's authored room placeholder, with no invented room text (R1/R3/R5e).
do_action	squeeze	squeeze.target-success	D3	audience	oracle-green-multiseed	squeeze-depth@1,2,3,5,8	act.social.c:145-151; lib/misc/socials:834-842	A visible player target receives the exact actor, observer, and victim squeeze messages (R1/R3/R5e).
do_action	squeeze	squeeze.target-audience	D3	audience	oracle-green-multiseed	squeeze-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:834-842	The actor, target, and observer transcripts pin C's three target-success audiences and substitutions (R1/R3/R5e).
do_action	squeeze	squeeze.argument-first-token	D2	command	oracle-green-multiseed	squeeze-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:834-842	C one_argument skips the leading fill word and ignores trailing words before visible target lookup (R1/R2/R3/R5e).
do_action	squeeze	squeeze.mob-target	D3	audience	oracle-green-multiseed	squeeze-depth@1,2,3,5,8	handler.c:1276-1300; act.social.c:128-151	The registered vehicle resolves the visible guard-trainee NPC through get_char_room_vis and preserves the authored social audience bytes (R1/R3/R5e).
do_action	squeeze	squeeze.self-target	D2	audience	oracle-green-multiseed	squeeze-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:834-842	The named self target emits C's authored actor and room self-target messages (R1/R3/R5e).
do_action	squeeze	squeeze.target-not-found	D1	command	oracle-green-multiseed	squeeze-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:834-842	A missing visible-room target emits the exact direct-send refusal and no room act (R1/R3/R5e).
do_action	squeeze	squeeze.sleeping-target	D3	audience	oracle-green-multiseed	squeeze-depth@1,2,3,5,8	act.social.c:145-151; lib/misc/socials:834-842	The zero victim-position minimum admits a sleeping visible target; actor and room bytes remain the authored target-success lines (R1/R3/R5e).
