handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	accuse	accuse.entry-gate	D1	command	unit-green	TestAccuseRegistrationUsesCEntryGate	interpreter.c:330; act.social.c:102-112	The registered row is POS_SITTING with no command minimum; the social record has hide=0, minimum victim position POS_RESTING, and all eight authored messages (R1/R2/R5e).
do_action	accuse	accuse.position-gate	D1	command	delegated	fade.position-gate	interpreter.c:330; comm.c:910-947	The shared POS_SITTING command-interpreter rejection is owned by the existing position-gate vehicle (R2/R5b/R5c).
do_action	accuse	accuse.no-argument	D2	command	blocked	accuse-noarg-depth@1,2	act.social.c:102-121; lib/misc/socials:58-66	Two isolated attempts on seeds 1 and 2 return non-text pointer-like bytes from the C actor block instead of the source literal Accuse who??; do not copy an oracle/runtime anomaly into Go (R1/R4/R5e).
do_action	accuse	accuse.target-success	D3	audience	blocked	accuse-depth@1,2	act.social.c:141-151; lib/misc/socials:58-66	Two target attempts suppress C's actor TO_CHAR line while victim delivery remains coherent; source and runtime disagree, so leave the complete actor/victim arm blocked rather than inventing parity (R1/R4/R5e).
do_action	accuse	accuse.target-audience	D3	audience	blocked	accuse-depth@1,2	act.social.c:141-151; comm.c:2392-2555; lib/misc/socials:58-66	The observer and victim blocks are coherent, but the same two attempts leave the complete target audience proof unclaimable because C suppresses the actor block (R1/R4/R5e).
do_action	accuse	accuse.one-argument	D2	command	blocked	accuse-depth@1,2	interpreter.c:1265-1283; act.social.c:114-121	Leading fill words and trailing input reach the same C target arm, whose actor block is suppressed in both attempts; retain the parser evidence but do not claim the full command result (R1/R2/R4/R5e).
do_action	accuse	accuse.self-target	D2	audience	oracle-green-multiseed	accuse-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:58-66	Self-targeting uses the authored char_auto actor line and others_auto room line (R1/R3/R5e).
do_action	accuse	accuse.target-not-found	D1	command	oracle-green-multiseed	accuse-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:58-66	An unresolved visible-room target receives only the exact accuse-specific refusal (R1/R3/R5e).
do_action	accuse	accuse.sleeping-target	D2	command	oracle-green-multiseed	accuse-sleeping-depth@1,2,3,5,8	act.social.c:140-143; lib/misc/socials:58-66	A sleeping target below POS_RESTING receives C's proper-position refusal before any audience act (R1/R3/R5e).
do_action	accuse	accuse.noshout	D1	shared	delegated	dance-noshout	act.social.c:102-118	The shared PLR_NOSHOUT emote refusal is owned by the existing social boundary (R1/R5b/R5c).
do_action	accuse	accuse.visibility	D3	shared	delegated	socials-depth	act.social.c:114-151; comm.c:2392-2555	Visible-room target lookup and Act audience visibility are owned by the shared social matrix (R1/R5b/R5c).
