handler	command	case_id	depth	scope	status	proof	c_site	notes
do_scrounge	scrounge	scrounge.entry-gate	D1	command	unit-green	TestScroungeRegistrationUsesCEntryGate	interpreter.c:679; comm.c:910-947	The registered C row permits every level at POS_STANDING and the focused test pins the command entry gate (R1/R2/R5e).
do_scrounge	scrounge	scrounge.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:679; comm.c:910-947	The shared POS_STANDING dispatcher rejection is owned by the existing fade position-gate vehicle (R5b/R5c).
do_scrounge	scrounge	scrounge.no-skill	D1	command	oracle-green-multiseed	scrounge-no-skill-depth@1,2,3,5,8	new_cmds2.c:71-75	An unlearned caller receives the exact private refusal before the roll and room act (R1/R3/R5e).
do_scrounge	scrounge	scrounge.no-skill-wait	D4	state	unit-green	TestDoScroungeDepthGatesAndDefault	new_cmds2.c:73-75	The no-skill early return retains WAIT_STATE(ch, PULSE_VIOLENCE*2) without inventing a room message (R1/R3/R5e).
do_scrounge	scrounge	scrounge.mounted-gate	D1	command	oracle-green-multiseed	scrounge-mounted-depth@1,2,3,5,8	new_cmds2.c:77-80	The mounted refusal runs after the skill gate and before the random draw (R1/R3/R5e).
do_scrounge	scrounge	scrounge.mounted-no-roll	D5	state	unit-green	TestDoScroungeDepthGatesAndDefault	new_cmds2.c:77-80	The focused gate test confirms the mounted early return consumes no scrounge roll (R3/R5e).
do_scrounge	scrounge	scrounge.default-sector	D2	command	oracle-green-multiseed	scrounge-default-depth@1,2,3,5,8	new_cmds2.c:84-86	A non-wilderness sector emits the exact private refusal and still reaches the unconditional room search act (R1/R3/R5e).
do_scrounge	scrounge	scrounge.default-roll	D5	state	unit-green	TestDoScroungeDepthGatesAndDefault	new_cmds2.c:80-86	The default branch consumes number(1,101) before its sector refusal (R3/R5e).
do_scrounge	scrounge	scrounge.default-room-audience	D3	audience	oracle-green-multiseed	scrounge-default-depth@1,2,3,5,8	new_cmds2.c:84-135	The default branch preserves the C TO_ROOM search act for observers (R1/R3/R5e).
do_scrounge	scrounge	scrounge.forest-capture-success	D2	command	oracle-green-multiseed	scrounge-forest-depth@1,2,3,5,8	new_cmds2.c:88-92	Forest maps to object vnum 28 and uses the exact capture-and-kill actor wording (R1/R5e).
do_scrounge	scrounge	scrounge.success-object-and-audience	D3	state	oracle-green-multiseed	scrounge-forest-depth@1,2,3,5,8	new_cmds2.c:88-92; 115-135	Success gives the real C object description to the actor and emits the unconditional room search act (R1/R3/R5e).
do_scrounge	scrounge	scrounge.success-improve-draw	D5	state	unit-green	TestDoScroungeDepthDeferredImprovePreservesDrawOrder	new_cmds2.c:115-124; act.other.c:1704-1727	The success contract defers improve_skill until after the command result and preserves its number(1,200) draw (R3/R5e).
do_scrounge	scrounge	scrounge.success-wait	D4	state	unit-green	TestDoScroungeDepthSectorMapAndMessages	new_cmds2.c:115-124	A successful acquisition carries WAIT_STATE(ch, PULSE_VIOLENCE*2) (R1/R3/R5e).
do_scrounge	scrounge	scrounge.food-failure	D2	command	oracle-green-multiseed	scrounge-failure-depth@1,2,3,5,8	new_cmds2.c:115-135	A failed wilderness roll emits the exact edible-refusal actor line (R1/R3/R5e).
do_scrounge	scrounge	scrounge.food-failure-wait	D4	state	unit-green	TestDoScroungeDepthSectorMapAndMessages	new_cmds2.c:127-130	The failed food arm carries the same two-round wait as the C branch (R1/R3/R5e).
do_scrounge	scrounge	scrounge.food-failure-room-audience	D3	audience	oracle-green-multiseed	scrounge-failure-depth@1,2,3,5,8	new_cmds2.c:127-135	Failure still emits the unconditional room search act to observers (R1/R3/R5e).
do_scrounge	scrounge	scrounge.field-capture	D2	command	oracle-green-multiseed	scrounge-field-depth@1,2,3,5,8	new_cmds2.c:93-97	Field maps to object vnum 29 and retains capture-and-kill wording (R1/R5e).
do_scrounge	scrounge	scrounge.hills-capture	D2	command	oracle-green-multiseed	scrounge-hills-depth@1,2,3,5,8	new_cmds2.c:93-97	Hills shares the field object and capture branch (R1/R3/R5e).
do_scrounge	scrounge	scrounge.desert-capture	D2	command	oracle-green-multiseed	scrounge-desert-depth@1,2,3,5,8	new_cmds2.c:98-101	Desert maps to object vnum 30 and retains capture-and-kill wording (R1/R3/R5e).
do_scrounge	scrounge	scrounge.mountain-find	D2	command	oracle-green-multiseed	scrounge-mountain-depth@1,2,3,5,8	new_cmds2.c:102-105	Mountain maps to object vnum 31 and is the sole find-wording branch (R1/R3/R5e).
do_scrounge	scrounge	scrounge.water-capture	D2	command	oracle-green-multiseed	scrounge-water-depth@1,2,3,5,8	new_cmds2.c:106-114	Water swim maps to object vnum 27 and uses capture-and-kill wording (R1/R3/R5e).
do_scrounge	scrounge	scrounge.water-sector-family	D4	state	unit-green	TestDoScroungeDepthSectorMapAndMessages	new_cmds2.c:106-114	Water swim, water noswim, and underwater all share the fish object branch (R3/R5e).
