handler	command	case_id	depth	scope	status	proof	c_site	notes
do_string	string	string.usage	D1	command	oracle-green	string-depth	interpreter.c:745; modify.c:602-607	No argument, and a type token that is not an abbreviation of mob/obj, both emit the usage line — which has NO terminator.
do_string	string	string.type-abbrev	D1	command	oracle-green	string-depth	interpreter.c:1356-1370	is_abbrev(buf, "mob") accepts "m"/"mo"/"mob" and rejects the longer "mobs" (the token must be a prefix of the table word), so "mobs" takes the usage path while "m" resolves to the mob branch.
do_string	string	string.empty-field-token	D1	command	oracle-green	string-depth	modify.c:613-615; whod.c:496-527	An omitted field token makes old_search_block return 0 for the empty argument, which is the only way to reach "No field by that name. Try 'help string'.".
do_string	string	string.unknown-field	D1	command	oracle-green	string-depth	modify.c:582-583;662-664;749-751	A non-empty unknown field makes old_search_block return -1, so control reaches the switch default instead: "That field is undefined for monsters/objects.".
do_string	string	string.unknown-target	D1	command	oracle-green	string-depth	modify.c:620-623;667-670	get_char_vis failure emits "I don't know anyone by that name..." and a carried-object miss emits "Nothing by that name.." — two dots, on purpose.
do_string	string	string.mob-inline-fields	D2	command	oracle-green	string-depth	modify.c:624-661;754-765	name/short/long/description write the live NPC fields and acknowledge with "Ok.\n\r"; the room look after the edit proves the instance, not the prototype, changed.
do_string	string	string.mob-npc-field-refusals	D2	command	oracle-green	string-depth	modify.c:636-641;643-646;654-658	short and long are monsters-only for a player target; title on an NPC emits "Monsters have no titles.".
do_string	string	string.inline-truncation	D2	command	oracle-green	string-depth	modify.c:755-759	length[] = {15,60,256,240,60}; the inline notice is "String too long - truncated.\n\r" — lower-case t, LFCR, unlike string_add's own notice.
do_string	string	string.mob-long-blank-append	D2	command	oracle-green	string-depth	modify.c:648-651	C appends a real CRLF inside the field-3 case before the inline/editor test, so `string mob x long` writes "\r\n" and reports Ok instead of opening the editor.
do_string	string	string.obj-inline-fields	D2	command	oracle-green	string-depth	modify.c:672-697	name/short/long write the live carried object (Runtime overrides); the inventory line proves the new short description.
do_string	string	string.obj-undefined-field	D2	command	oracle-green	string-depth	modify.c:748-751	Field 5 (title) and any rejected value fall to "That field is undefined for objects.".
do_string	string	string.extradesc-create	D2	state	oracle-green	string-depth	modify.c:684-701	A new keyword creates the node at the head of the live ex_description list ("New field.\n\r") and the following look <keyword> resolves it.
do_string	string	string.extradesc-modify	D2	state	oracle-green	string-depth	modify.c:702-709	str_cmp (utils.c:107) is a case-insensitive exact compare, so a differently-cased keyword modifies the same node instead of adding one.
do_string	string	string.extradesc-delete	D2	state	oracle-green	string-depth	modify.c:713-745	Head-node delete frees the node and emits "Field deleted.\n\r"; the following look <keyword> misses.
do_string	string	string.editor-write-through	D4	state	oracle-green	string-depth	modify.c:139-152;754-771	do_string never calls string_write, so d->str points at the live field: every accepted line is visible immediately (proved by /l and by the room look before the editor closes).
do_string	string	string.editor-abort-no-restore	D4	state	oracle-green	string-depth	modify.c:155-175	STATE(d) is CON_PLAYING, which the abort switch does not handle, so /a logs "SYSERR: string_add: Aborting write from unknown origin." and restores nothing — the written-through text stays.
do_string	string	string.editor-clear-buffer	D4	state	oracle-green	string-depth	improved-edit.c:41-48	/c frees the buffer and writes the empty field through; the next line therefore takes string_add's first-line branch again.
do_string	string	string.player-field-refusals	D2	command	oracle-green	string-depth	modify.c:636-646	A player target refuses short/long with "That field is for monsters only.\n\r" regardless of the actor's level.
do_string	string	string.editor-prompt	D4	command	unit-green	TestStringEditorPromptMatchesMakePrompt	comm.c:1038-1039;1633-1636	While d->str is set make_prompt returns a bare "] " — keyed on the descriptor string pointer, not PLR_WRITING, which do_string never sets because it bypasses string_write. The same CON_PLAYING flush also carries process_output's extra CRLF before the prompt, giving the blank line the oracle shows after "New field." Found by this vehicle; fixed in session_send.go.
