handler	command	case_id	depth	scope	status	proof	c_site	notes
do_kuji_kiri	rin	rin.entry-gate	D1	command	unit-green	TestRinRegistrationUsesCEntryGate	interpreter.c:660; new_cmds.c:1552-1554	The registered C row requires level 0 at POS_STANDING; the focused test pins the authoritative dispatcher gate and Go registration (R2/R5e).
do_kuji_kiri	rin	rin.position-gate	D1	shared	delegated	flip.position-gate	interpreter.c:660; comm.c:910-947	The shared POS_STANDING command-interpreter rejection is owned by the existing flip position-gate proof (R2/R5b/R5c).
do_kuji_kiri	rin	rin.class-gate	D1	shared	delegated	jin.class-gate	new_cmds.c:1557-1560	The shared non-Ninja mortal early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	rin	rin.fighting-gate	D1	shared	delegated	jin.fighting-gate	new_cmds.c:1562-1565	The shared FIGHTING early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	rin	rin.lockout-gate	D1	shared	delegated	jin.lockout-gate	new_cmds.c:1567-1570	The shared aggregate AFF_KUJI_KIRI early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	rin	rin.mounted-gate	D1	shared	delegated	jin.mounted-gate	new_cmds.c:1572-1575	The shared mounted early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	rin	rin.mastery-gate	D1	shared	delegated	jin.mastery-gate	new_cmds.c:1577-1598	The shared pre-mastery branch and C-order success draw are owned by the Jin kuji-kiri proof (R3/R5b/R5c).
do_kuji_kiri	rin	rin.skill-slot	D4	state	delegated	kai.skill-slot	spell_parser.c:1150-1170; new_cmds.c:1500-1541	The class-wide kuji skill-catalog boundary is owned by the Kai proof; Rin uses SkillKkRin through the same translation (R1/R5b/R5c).
do_kuji_kiri	rin	rin.success-actor-and-room	D3	audience	oracle-green-multiseed	rin-depth@1,2,3,5,8	new_cmds.c:1577-1618; 1697-1710; comm.c:2392-2555	A learned Rin emits the exact harden-body actor message and metal-skin room act across the required seed matrix (R1/R3/R5e).
do_kuji_kiri	rin	rin.success-lockout	D3	state	oracle-green-multiseed	rin-depth@1,2,3,5,8	new_cmds.c:1567-1570; 1697-1710	A successful Rin's second use reaches the aggregate AFF_KUJI_KIRI lockout with no extra room bytes (R1/R3/R5e).
do_kuji_kiri	rin	rin.success-affects	D4	state	unit-green	TestDoKujiKiri_RinSuccessFoldsIntoAC	new_cmds.c:1600-1618; 1697-1710; handler.c:473-499	Successful Rin preserves the C AC modifier and separate AFF_METALSKIN record in the player state (R3/R5e).
do_kuji_kiri	rin	rin.failure-actor-and-room	D3	audience	unit-green	TestDoKujiKiri_RinFailureMessages	new_cmds.c:1713-1729; comm.c:2392-2555	At skill 1, the failed Rin still emits the generic actor failure while retaining the unchanged meditation room act (R1/R3/R5e).
do_kuji_kiri	rin	rin.failure-affects	D4	state	unit-green	TestDoKujiKiri_FailurePreventsNumericEffect	new_cmds.c:1713-1721; handler.c:473-499	Failure zeroes Rin's AC and metalskin payload while preserving the primary kuji lockout record (R3/R5e).
do_kuji_kiri	rin	rin.argument-ignored	D1	command	oracle-green-multiseed	rin-depth@1,2,3,5,8	new_cmds.c:1552-1739	The handler never parses its argument; trailing words reach the same Rin success and lockout paths (R1/R2/R5e).
