handler	command	case_id	depth	scope	status	proof	c_site	notes
do_luaedit	luaedit	luaedit.entry-gate	D1	command	unit-green	TestLuaEditRegistrationUsesCEntryGate	interpreter.c:546	The command is registered at POS_DEAD/LVL_BUILDER (31); the separate LVL_HIGOD threshold remains in the handler (R2/R5e).
do_luaedit	luaedit	luaedit.entry-list	D2	command	oracle-green	luaedit-list	luaedit.c:28-58; file-edit.c:83-114	Root listing follows alphasort, the Lua filter, %-26.26s truncation, and the three-column CRLF break (R1/R2/R5e).
do_luaedit	luaedit	luaedit.subdirectory-list	D2	command	oracle-green	luaedit-list	luaedit.c:34-42; file-edit.c:83-114	The mob/obj/room directory branch is selected only when arg1 begins with that prefix; the is_scripts_root name is intentionally inverted (R1/R2/R5e).
do_luaedit	luaedit	luaedit.invalid-directory	D1	command	oracle-green	luaedit-list	file-edit.c:83-90; luaedit.c:34-45	A missing or unsafe selected directory returns only Invalid lua edit option.\r\n (R1/R4/R5e).
do_luaedit	luaedit	luaedit.empty-list	D2	command	unit-green	TestLuaEditListMatchesCFilterAndThreeColumnLayout	file-edit.c:106-109	An empty valid directory emits exactly None.\r\n (R1/R4/R5e).
do_luaedit	luaedit	luaedit.root-view	D2	command	oracle-green	luaedit-view	luaedit.c:34-53; file-edit.c:128-147	A non-mob/obj/room arg becomes the root filename and ignores the original second token (R1/R2/R5e).
do_luaedit	luaedit	luaedit.subdirectory-view	D2	command	oracle-green	luaedit-view	luaedit.c:40-53; file-edit.c:128-147	A subdirectory plus filename is read through the C CRLF loader (R1/R3/R5e).
do_luaedit	luaedit	luaedit.missing-file	D1	command	oracle-green	luaedit-view	file-edit.c:133-141	Below LVL_HIGOD, an unreadable/missing target returns only Invalid lua edit option.\r\n (R1/R4/R5e).
do_luaedit	luaedit	luaedit.substring-extension	D1	command	oracle-green	luaedit-view	luaedit.c:46-49; file-edit.c:118-121	The .lua test is strstr rather than a suffix test; a second dot then fails valid_filename without appending another suffix (R1/R2/R5e).
do_luaedit	luaedit	luaedit.view-only-below-higod	D2	command	oracle-green	luaedit-view-only-below-higod	luaedit.c:50-53; interpreter.c:546	Levels 31-35 view raw content and do not enter CON_TEDIT; level 36 and above edit (R1/R2/R5e).
do_luaedit	luaedit	luaedit.editor-entry	D3	audience	oracle-green	luaedit-edit-save	file-edit.c:150-173; improved-edit.c:17-28	The shared general_file_edit path emits editor help, Edit file below, current CRLF content, PLR_WRITING, CON_TEDIT, and the exact room act (R1/R3/R5e).
do_luaedit	luaedit	luaedit.save	D4	state	oracle-green	luaedit-edit-save	file-edit.c:28-59	Save strips CR bytes before writing, emits Saved.\r\n, logs the C OLC save record through slog, and matches the directly-written scratch twin byte-for-byte (R1/R4/R5e).
do_luaedit	luaedit	luaedit.saved-content-on-reentry	D4	state	oracle-green	luaedit-edit-save	file-edit.c:47-59	A subsequent editor entry reads the persisted LF file back into C's CRLF buffer (R1/R3/R5e).
do_luaedit	luaedit	luaedit.empty-save-delete	D4	state	oracle-green	luaedit-edit-delete	file-edit.c:28-46; luaedit.c:53-56	luaedit passes kill_on_empty=TRUE; an empty save removes the file, emits Deleted.\r\n, and logs OLC: <name> deletes '<path>'. (R1/R4/R5e).
do_luaedit	luaedit	luaedit.deleted-file-reentry	D3	state	oracle-green	luaedit-edit-delete	file-edit.c:176-198	After deletion, edit_file follows the no-read/write path and starts an empty editor buffer (R1/R3/R5e).
do_luaedit	luaedit	luaedit.new-file-create	D4	state	unit-green	TestLuaEditEmptySaveDeletesAndNewFileSaveCreates	file-edit.c:187-196	A missing target is editable as an empty buffer and a non-empty save creates it under the anchored scripts root (R1/R4/R5e).
do_luaedit	luaedit	luaedit.invalid-filename	D1	command	unit-green	TestLuaEditArgumentDanceViewAndSubstringExtension	file-edit.c:117-121	The C filename regex is preserved verbatim, including its optional wildcard byte (R1/R4/R5e).
do_luaedit	luaedit	luaedit.traversal-guard	D1	command	unit-green	TestLuaEditRejectsTraversalAndCFileReadCap	file-edit.c:78-81,117-121	Raw parent components are rejected before filepath cleaning; the C regex remains authoritative for filenames/directories (R2/R4/R5e).
do_luaedit	luaedit	luaedit.read-cap	D2	command	unit-green	TestLuaEditRejectsTraversalAndCFileReadCap	db.c:2896-2929; structs.h:643-645	The shared loader mirrors READ_SIZE chunking and the MAX_STRING_LENGTH failure boundary (R1/R4/R5e).
