handler	command	case_id	depth	scope	status	proof	c_site	notes
do_page	page	page.entry-gate	D1	command	unit-green	TestPageRegistrationUsesCEntryGate	interpreter.c:598; act.comm.c:1107-1115	The registered row is POS_DEAD with LVL_IMMORT authority; the focused test pins both C gate fields and the Go registration (R1/R2/R5e).
do_page	page	page.handler-npc	D5	command	excluded	-	act.comm.c:1112-1114	The handler's IS_NPC branch is unreachable from the descriptor-issued player command surface; Go sessions do not expose a switched NPC as a direct do_page call (R2/R4/R5e).
do_page	page	page.no-argument	D1	command	oracle-green-multiseed	page-depth@1,2,3,5,8	act.comm.c:1112-1117	C half_chop leaves an empty target and emits the exact Whom do you wish to page? response (R1/R3/R5e).
do_page	page	page.target-not-found	D2	command	oracle-green-multiseed	page-depth@1,2,3,5,8	act.comm.c:1123-1135; handler.c:1303-1332	An unresolved visible-world name reaches the exact There is no such person in the game! response (R1/R3/R5e).
do_page	page	page.visible-npc-rejected	D2	command	oracle-green-multiseed	page-depth@1,2,3,5,8	act.comm.c:1123-1135; handler.c:1276-1332	The room trainee is not a pageable player and reaches C's same no-such-person response without invented NPC delivery (R1/R3/R5e).
do_page	page	page.named-target-audience	D3	audience	oracle-green-multiseed	page-depth@1,2,3,5,8	act.comm.c:1119-1132; comm.c:2434-2555	A named awake player receives the bell-prefixed C page and the actor receives the second act copy (R1/R3/R5e).
do_page	page	page.named-target-spacing	D2	command	oracle-green-multiseed	page-depth@1,2,3,5,8	act.comm.c:1112-1119; interpreter.c:1322-1379	C half_chop skips only leading remainder whitespace and preserves internal/trailing page-body spacing (R1/R2/R3/R5e).
do_page	page	page.named-target-case-insensitive	D2	command	oracle-green-multiseed	page-depth@1,2,3,5,8	act.comm.c:1123-1129; handler.c:1303-1319	C str_cmp/get_player_vis resolves the target name without case sensitivity (R1/R2/R3/R5e).
do_page	page	page.sleeping-target-suppressed	D3	audience	oracle-green-multiseed	page-depth@1,2,3,5,8	act.comm.c:1123-1132; comm.c:2528-2555; utils.h:450	The actor still receives the page act, while a sleeping target receives no TO_VICT bytes because SENDOK requires AWAKE (R1/R3/R5e).
do_page	page	page.self-target	D3	audience	oracle-green-multiseed	page-depth@1,2,3,5,8	act.comm.c:1123-1132; handler.c:1276-1303	Self resolution sends two C act copies to the same descriptor, including the observable blank line between them (R1/R3/R5e).
do_page	page	page.self-alias	D2	command	oracle-green-multiseed	page-depth@1,2,3,5,8	handler.c:1276-1280; act.comm.c:1123-1132	The C self/me room lookup aliases resolve to the actor and follow the same two-act path (R1/R2/R3/R5e).
do_page	page	page.norepeat-acknowledgement	D3	audience	oracle-green-multiseed	page-depth@1,2,3,5,8	act.comm.c:1123-1132; structs.h:286	PRF_NOREPEAT replaces the actor's second act copy with the exact OK acknowledgement while the target still receives the page (R1/R3/R5e).
do_page	page	page.all-authorization	D2	command	unit-green	TestPageAllRequiresStrictlyAboveGod	act.comm.c:1119-1125; interpreter.c:598	The special all arm requires GET_LEVEL(ch) > LVL_GOD and otherwise emits C's exact refusal before descriptor iteration (R1/R2/R5e).
do_page	page	page.all-global-audience	D3	audience	oracle-green-multiseed	page-depth@1,2,3,5,8	act.comm.c:1119-1125; comm.c:2434-2555	An implementor pages every awake playing descriptor, including the actor, regardless of room; sleeping descriptors remain suppressed by act/SENDOK (R1/R3/R5e).
do_page	page	page.shared-act-audiences	D3	shared	delegated	socials-depth	comm.c:2434-2555	The generic act substitution, descriptor delivery, and CRLF behavior are owned by the verified shared audience machinery; this slice proves do_page's target calls (R5b/R5c).
