handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	stare	stare.entry-gate	D1	command	unit-green	TestStareRegistrationUsesCEntryGateAndRecord	interpreter.c:736; act.social.c:102-112; lib/misc/socials:844-852	The registered C row is POS_RESTING with no command minimum; the social record preserves level 0, hide 0, the POS_RESTING victim minimum, and all eight authored messages (R1/R2/R5e).
do_action	stare	stare.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:736; comm.c:910-947	The shared POS_RESTING command-interpreter rejection is owned by the existing fade position-gate vehicle (R2/R5b/R5c).
do_action	stare	stare.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT emote refusal runs before target parsing and is owned by the existing social boundary (R1/R5b/R5c).
do_action	stare	stare.no-argument	D2	command	oracle-green-multiseed	stare-depth@1,2,3,5,8	act.social.c:119-127; lib/misc/socials:844-852	No argument emits the exact actor and room sky-stare lines from C's record (R1/R3/R5e).
do_action	stare	stare.target-success	D3	audience	oracle-green-multiseed	stare-depth@1,2,3,5,8	act.social.c:145-151; lib/misc/socials:844-852	A visible player at or above POS_RESTING receives the exact actor, observer, and victim stare messages (R1/R3/R5e).
do_action	stare	stare.target-audience	D3	audience	oracle-green-multiseed	stare-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:844-852	The actor, target, and observer transcripts pin C's three target-success audiences and substitutions (R1/R3/R5e).
do_action	stare	stare.argument-first-token	D2	command	oracle-green-multiseed	stare-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:844-852	C one_argument skips the leading fill word and ignores trailing words before visible target lookup (R1/R2/R3/R5e).
do_action	stare	stare.mob-target	D3	audience	oracle-green-multiseed	stare-depth@1,2,3,5,8	handler.c:1276-1300; act.social.c:128-151	The registered vehicle resolves the visible guard-trainee NPC through get_char_room_vis and preserves the authored social audience bytes (R1/R3/R5e).
do_action	stare	stare.self-target	D2	audience	oracle-green-multiseed	stare-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:844-852	The named self target emits C's authored actor and room self-target messages (R1/R3/R5e).
do_action	stare	stare.target-not-found	D1	command	oracle-green-multiseed	stare-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:844-852	A missing visible-room target emits the exact direct-send refusal and no room act (R1/R3/R5e).
do_action	stare	stare.sleeping-target	D2	command	oracle-green-multiseed	stare-depth@1,2,3,5,8	act.social.c:141-144; lib/misc/socials:844-852	The POS_RESTING victim minimum rejects a sleeping visible target with the exact proper-position actor message (R1/R3/R5e).
