handler	command	case_id	depth	scope	status	proof	c_site	notes
do_peek	peek	peek.entry-gate	D1	command	unit-green	TestPeekRegistrationUsesCEntryGate	interpreter.c:602; act.other.c:1665	The registered command is POS_RESTING with no level gate; the focused test pins the C command-table row (R1/R2/R5e).
do_peek	peek	peek.non-thief-gate	D1	command	oracle-green-multiseed	peek-gates-depth@1,2,3,5,8	act.other.c:1674-1676	A mortal non-thief/assassin is rejected before argument parsing with the exact You're not a thief! bytes (R1/R2/R3/R5e).
do_peek	peek	peek.non-thief-no-argument	D1	command	oracle-green	peek-gates-depth@1	act.other.c:1674-1679	The class gate still wins over the no-argument branch for an unauthorized mortal (R1/R2/R3/R5e).
do_peek	peek	peek.non-thief-target	D1	command	oracle-green	peek-gates-depth@1	act.other.c:1676-1690; handler.c:1276-1325	The class gate still wins over target resolution for an unauthorized mortal (R1/R2/R3/R5e).
do_peek	peek	peek.no-argument	D1	command	oracle-green-multiseed	peek-depth@1,2,3,5,8	act.other.c:1678-1679	An authorized thief with no argument reaches the exact Whom do you wish to peek at? response (R1/R3/R5e).
do_peek	peek	peek.target-not-found	D1	command	oracle-green-multiseed	peek-depth@1,2,3,5,8	act.other.c:1680-1681; handler.c:1277-1300	A missing local target emits C's exact No-one by that name here. response (R1/R2/R3/R5e).
do_peek	peek	peek.mob-target	D2	command	oracle-green-multiseed	peek-depth@1,2,3,5,8	act.other.c:1680-1697; act.informative.c:388-490	A local NPC reaches the C detailed description, condition, equipment, and authorized inventory observation path (R1/R3/R5e).
do_peek	peek	peek.player-target	D2	command	oracle-green-multiseed	peek-depth@1,2,3,5,8	act.other.c:1698; act.informative.c:388-490	A local player with no description reaches C's ordinary character, race, condition, equipment, and inventory bytes (R1/R3/R5e).
do_peek	peek	peek.self-target	D1	command	oracle-green-multiseed	peek-depth@1,2,3,5,8	act.other.c:1682-1683; handler.c:1276-1295	The self alias resolves locally and emits Try the 'inventory' command! before any RNG (R1/R2/R3/R5e).
do_peek	peek	peek.fill-word-target	D2	command	oracle-green-multiseed	peek-depth@1,2,3,5,8	interpreter.c:1265-1283; act.other.c:1678-1697	C one_argument skips leading fill words and ignores trailing words while retaining the resolved target (R1/R2/R3/R5e).
do_peek	peek	peek.equipment-and-inventory	D3	audience	oracle-green-multiseed	peek-depth@1,2,3,5,8	act.informative.c:388-466	The character look path preserves C's equipment labels, raw object display, and inventory visibility draws (R1/R3/R5e).
do_peek	peek	peek.mortal-failure	D3	command	oracle-green-multiseed	peek-failure-depth@1,2,3,5,8	act.other.c:1688-1692	A guaranteed mortal failure reaches the C do_look fallback rather than an invented Go-only failure sentence (R1/R2/R3/R5e).
do_peek	peek	peek.failure-original-look-argument	D3	audience	oracle-green	peek-failure-depth@1	act.other.c:1688-1692; act.informative.c:1098-1135	The original trailing argument is passed to do_look; the vehicle proves the exact ordinary-look failure bytes and no false target audience (R1/R2/R3/R5e).
do_peek	peek	peek.mortal-success	D3	command	oracle-green-multiseed	peek-success-depth@1,2,3,5,8	act.other.c:1688-1697; act.informative.c:388-490	A mortal 100% thief reaches look_at_char after one number(1,101) roll, then improves peek in C order (R1/R3/R5e).
do_peek	peek	peek.mortal-success-inventory	D3	audience	oracle-green-multiseed	peek-success-depth@1,2,3,5,8	act.informative.c:455-466	The successful mortal path preserves C's per-object number(0,20) visibility gates and raw show_obj_to_char output (R1/R3/R5e).
do_peek	peek	peek.improve-skill-order	D4	state	oracle-green-multiseed	peek-success-depth@1,2,3,5,8	act.other.c:1688-1697; act.other.c:1704-1724	Draw logging and sampled seeds confirm the peek improvement follows look_at_char output and its inventory draws (R3/R5e).
do_peek	peek	peek.higher-immortal-target	D3	audience	oracle-green	peek-higher-immortal-depth@1	act.informative.c:455-466	A mortal thief observing a higher immortal player receives Your soul (burning) and no per-object inventory draws (R1/R3/R5e).
do_peek	peek	peek.kender-mob-followup	D4	state	oracle-green	peek-kender-depth@3	act.informative.c:483-490; spec_procs2.c:594-650	The reachable mortal Kender NPC follow-up is proven through the outer number(0,600) selection and subcmd=1 do_steal success; player victims are unreachable because C returns at the NPC gate (R1/R3/R5e).
do_peek	peek	peek.failure-look-audience	D3	audience	oracle-green	peek-success-depth@3	act.informative.c:1017-1029	The seed-3 number(1,101)=101 boundary proves the failed do_look path emits C's target audience line after look_at_char; draw logs match C and Go (R1/R3/R5e).
