path	disposition	status	evidence
docs/briefs/2026-07-12-carry-weight-fidelity.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/2026-07-12-client-rendering-fixes.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/2026-07-12-con-menu.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/2026-07-12-creation-text-fixes.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/2026-07-12-creation-trivial-fixes.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/2026-07-12-group-alignment-shift.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/2026-07-12-init-and-skills-fixes.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/2026-07-12-low-fidelity-batch.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/2026-07-12-newbie-start-room.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/2026-09-08-entry-flow-fidelity.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/2026-09-08-entry-lifecycle-proof-goal.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-06-12-agentkeygen.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-06-12-ban-system.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-06-12-critical-batch.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-06-12-damage-metrics.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-06-12-makefile-cleanup.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-06-12-pprof-cleanup.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-06-12-server-safety.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-07-03-dp902-session-reaper.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-07-03-dp903-script-cache.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-07-03-dp904-u1000-inventory.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-07-03-sprint2-backstab.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-07-03-sprint2-critical.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-07-03-sprint2-med-low.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-07-04-batch2-fidelity.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-07-04-dp904-verify-and-clean.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-07-04-dp926-script-loader.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-07-04-medium-batch1-code-quality.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-07-04-reek-high-batch.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-07-04-spec-proc-nil-crash.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-07-05-atomic-fixes.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
docs/briefs/BRIEF-2026-07-05-cmdtime-fidelity.md	keep	unverified	No completion verification performed; consult code/commits/issues before execution
