vnum,name,zone,flags,sector,description_preview
19900,Immortal Map room,199,private,0,"Troll caves:
                         19901
                          *
                          |
..."
19901,Entrance of a Narrow Pass,199,,0,"To the south you can pass between two unclimbable rock mountain faces. The
narrow pass there looks l..."
19902,In the Narrow Pass,199,,0,"Towering shale cliffs on either side of you seem to threaten an avalanche at
an moment. Even as you ..."
19903,In a Clearing,199,,0,"To the east and west, treacherous trails lead up the rocky slope and wind
themselves around the moun..."
19904,On a Rocky Trail,199,,0,"You stand on a narrow trail which rises sharply to the south. To the east the
rockly slope drops dow..."
19905,On a Rocky Trail,199,,0,"You stand on a narrow trail which rises sharply to the south. To the west the
rockly slope drops dow..."
19906,On a Rocky Trail,199,,0,"The rocky trail you stand on winds southward and drops sharply down to the
valley floor northeast of..."
19907,On a Rocky Trail,199,,0,"The rocky trail you stand on winds southward and drops sharply down to the
valley floor northwest of..."
19908,On a Rocky Ledge,199,,0,"The trail leads north here, and the slippery cliff face looks climbable above
you. A dark cave to th..."
19909,On a Rocky Ledge,199,,0,"The trail leads north here, and the slippery cliff face looks climbable above
you. A dark cave to th..."
19910,Outside a Cave,199,,0,"The dark cave to the south looks very uninviting. Below you is a rough trail
leading down into a gre..."
19911,On a Narrow Ledge,199,,0,"You stand on a narrow ledge, barely wide enough to place your feet 
side-by-side. With some difficul..."
19912,In a Dark Cave,199,dark;indoors,0,"This dusty cave is filled with cracked bones, some fresher than others but all
humanoid."
19913,In a Dark Cave,199,dark;indoors,0,"This dusty cave is filled with cracked bones, some fresher than others but all
humanoid."
19914,In a Troll Cave,199,dark;indoors,0,"This wide cave holds little furnishings except a bed of mats in one corner and
a long-extinguished f..."
19915,Outside a Dark Cave,199,,0,"You stand outside a dark opening in the cliff face to the east. The trail
continues back out into su..."
19916,Inside the First Cavern,199,dark;indoors,0,"Sunlight gleams dimly in from the west. To the east a series of caverns glow
faintly with a green li..."
19917,In a Narrow Tunnel,199,dark;indoors,0,"You stand in a narrow tunnel between two caverns. The walls glow faintly with
a green light, but not..."
19918,In the Second Cavern,199,dark;indoors,0,"This cavern has a high ceiling that rises far out of the reach of your light
source. Narrow tunnels ..."
19919,A Curved Tunnel,199,dark;indoors,0,"This short passage has exits south and east, both leading into large rooms."
19920,In the Third Cavern,199,dark;indoors,0,"You stand inside a large cavern. Passages lead out of it almost straight
across from one another, ea..."
19921,A Curved Tunnel,199,dark;indoors,0,"This short passage has exits south and west, both leading into large rooms."
19922,In the Atrium,199,dark;indoors,0,"An absolutely gigantic cavern opens up to the east. You hear movement from
within, as well as the so..."
19923,In the Gigantic Cavern,199,dark;indoors,0,"This gigantic cavern is focused around two objects: a rushing waterfall of
pouring water that cascad..."
19924,Under the Waterfall,199,dark;indoors,0,"You stand under a rushing torrent of water, a deluge that sluices the mud off
of your armor and seep..."
5700,The Silent Tower,57,nomob;nomagic,0,"You stand inside a room-within-a-room in the silent tower. Once a terrible
punishment for magii, a r..."
5701,The Air Elevator,57,indoors,0,"The limestone walls of this chamber have been worked smooth. At the center 
is a 5' round flat wood ..."
5702,Northern End of the Beach,57,,0,"The beach ends here as the plateau juts out into the sea.  As you stand 
at the base and look up, yo..."
5703,A Dark Tunnel,57,dark;indoors,0,"You are in a dark tunnel, the gold no longer lines the walls, just a
pervasive dampness.  The rivule..."
5704,A Dark Tunnel,57,dark;indoors,0,"You are in a dark tunnel, the gold no longer lines the walls, just a
pervasive dampness.  The rivule..."
5705,In the Surf,57,,0,"You are up to your chest in the surf and the water is cool.  The sand 
swirls beneath your feet and ..."
5706,Middle of the Beach,57,,0,"You stand at the base of a very steep cliff on a wide sandy beach.  The 
beach stretches to the nort..."
5707,Beyond the Golden Way,57,indoors,0,"Huge chunks of gleaming gold encrust the walls, ceiling and floor for the 
first 10' of this gloomy ..."
5708,Gate of Iron,57,dark;indoors,0,"A badly rusted and corroded iron gate reaching from floor to ceiling and
wall to wall stands here bl..."
5709,Inside the Gate,57,dark;indoors,0,"Your are on the other side of the now defunct gate. A cool moist breeze
comes from the south and the..."
5710,The Brass Door,57,dark;indoors,0,"A heavily tarnished thick door of brass prevents passage beyond here. 
The door has a keyhole halfwa..."
5711,Southern End of the Beach,57,,0,"The beach ends here as the plateau juts out into the sea.  As you stand 
at the base and look up, yo..."
