handler	command	case_id	depth	scope	status	proof	c_site	notes
do_shoot	shoot	shoot.entry-gate	D1	command	unit-green	TestShootRegistrationUsesCEntryGate	interpreter.c:695; comm.c:910-947	The registered row is level 0 and POS_STANDING; the focused test pins both C-derived fields and the Go entry (R1/R2/R5e).
do_shoot	shoot	shoot.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:695; comm.c:910-947	The shared POS_STANDING command-interpreter rejection is owned by the existing fade position-gate vehicle (R2/R5b/R5c).
do_shoot	shoot	shoot.handler-fighting-unreachable	D1	command	excluded	-	act.offensive.c:770-775	A descriptor-issued shoot is rejected by the registered POS_STANDING dispatcher while FIGHTING, so do_shoot's own FIGHTING check is not reachable through this command surface (R2/R5e).
do_shoot	shoot	shoot.unlearned	D1	command	oracle-green-multiseed	shoot-unlearned-depth@1,2,3,5,8	act.offensive.c:764-768	Explicit skillset zero reaches C's exact unknown-skill line before argument parsing (R1/R2/R3/R5e).
do_shoot	shoot	shoot.no-argument	D1	command	oracle-green-multiseed	shoot-entry-depth@1,2,3,5,8	act.offensive.c:782-789	The empty argument emits Shoot what where? after the known-skill and fighting gates (R1/R2/R3/R5e).
do_shoot	shoot	shoot.projectile-only	D1	command	oracle-green-multiseed	shoot-entry-depth@1,2,3,5,8	act.offensive.c:787-791	A projectile without direction reaches C's exact direction prompt (R1/R2/R3/R5e).
do_shoot	shoot	shoot.projectile-and-direction	D1	command	oracle-green-multiseed	shoot-entry-depth@1,2,3,5,8	act.offensive.c:790-794	A projectile and direction without a target reaches C's exact target prompt (R1/R2/R3/R5e).
do_shoot	shoot	shoot.projectile-missing	D1	command	oracle-green-multiseed	shoot-entry-depth@1,2,3,5,8	act.offensive.c:801-807	The inventory lookup emits C's pluralized missing-projectile refusal (R1/R2/R3/R5e).
do_shoot	shoot	shoot.non-projectile	D1	command	oracle-green-multiseed	shoot-item-gates-depth@1,2,3,5,8	act.offensive.c:809-815	A carried fireweapon is rejected before direction, bow, or target lookup with C's $p expansion (R1/R2/R3/R5e).
do_shoot	shoot	shoot.invalid-direction	D1	command	oracle-green-multiseed	shoot-item-gates-depth@1,2,3,5,8	act.offensive.c:817-840	An invalid search_block result preserves C's lower-case direction refusal (R1/R2/R3/R5e).
do_shoot	shoot	shoot.valid-direction-no-exit	D1	command	oracle-green-multiseed	shoot-item-gates-depth@1,2,3,5,8	act.offensive.c:817-827	A valid direction with no exit preserves C's capitalized Interesting Direction branch (R1/R2/R3/R5e).
do_shoot	shoot	shoot.no-bow	D1	command	oracle-green-multiseed	shoot-no-bow-depth@1,2,3,5,8	act.offensive.c:844-851	A real carried missile with no ITEM_FIREWEAPON in WEAR_WIELD reaches the exact bow-or-sling refusal (R1/R2/R3/R5e).
do_shoot	shoot	shoot.closed-exit	D1	command	oracle-green-multiseed	shoot-closed-exit-depth@1,2,3,5,8	act.offensive.c:864-875	The valid equipped shot stops at the closed-exit gate before peaceful and target state (R1/R2/R3/R5e).
do_shoot	shoot	shoot.closed-exit-keyword	D1	command	oracle-green-multiseed	shoot-closed-exit-depth@1,2,3,5,8	act.offensive.c:867-873	The disposable gate keyword proves C's fname-derived The gate seems to be closed. bytes (R1/R2/R3/R5e).
do_shoot	shoot	shoot.peaceful-source-or-destination	D1	command	oracle-green-multiseed	shoot-peaceful-depth@1,2,3,5,8	act.offensive.c:877-884	A peaceful source or destination refuses before target resolution with C's exact violence line (R1/R2/R3/R5e).
do_shoot	shoot	shoot.no-target	D2	state	oracle-green-multiseed	shoot-no-target-depth@1,2,3,5,8	act.offensive.c:887-900	An empty destination reaches C's visible Twang branch after consuming the usable fixture setup (R1/R2/R3/R5e).
