handler	command	case_id	depth	scope	status	proof	c_site	notes
do_load	load	load.entry-gate	D1	command	unit-green	TestLoadRegistrationUsesCEntryGate	interpreter.c:544; act.wizard.c:1248-1258	The registered C row is POS_DEAD with LVL_IMMORT, and the focused test pins that command-surface gate (R2/R5e).
do_load	load	load.no-arguments	D1	command	oracle-green-multiseed	load-depth@1,2,3,5,8	act.wizard.c:1259-1263	An empty command reaches C's exact usage bytes (R1/R3/R5e).
do_load	load	load.missing-argument	D1	command	oracle-green-multiseed	load-depth@1,2,3,5,8	act.wizard.c:1264-1280	A recognized mob kind without a value emits C's name-not-found prelude followed by usage; this preserves the actual one_argument/two_arguments path (R1/R2/R5e).
do_load	load	load.invalid-kind	D2	command	oracle-green-multiseed	load-depth@1,2,3,5,8	act.wizard.c:1280-1380	An unrecognized kind reaches C's exact either-obj-or-mob refusal, while the object keyword spelling reaches the same terminal branch after lookup (R1/R5e).
do_load	load	load.kind-abbreviations	D2	command	oracle-green-multiseed	load-depth@1,2,3,5,8	act.wizard.c:1264-1280,1315-1380	C accepts the source-order abbreviations m/mo/mob and o/ob/obj, but object is not an abbreviation of obj in the success branch; Go follows that asymmetric lookup/dispatch behavior (R1/R2/R5e).
do_load	load	load.invalid-mob-vnum	D2	command	oracle-green-multiseed	load-depth@1,2,3,5,8	act.wizard.c:1282-1286	An unknown numeric mob VNUM emits C's exact monster-not-found terminal message (R1/R3/R5e).
do_load	load	load.invalid-object-vnum	D2	command	oracle-green-multiseed	load-depth@1,2,3,5,8	act.wizard.c:1317-1321	An unknown numeric object VNUM emits C's exact object-not-found terminal message (R1/R3/R5e).
do_load	load	load.mob-name-not-found	D2	command	oracle-green-multiseed	load-depth@1,2,3,5,8	act.wizard.c:1264-1280	C scans the mob prototype names in source order and emits name-not-found plus usage when no keyword matches; the Go lookup is bounded to parsed prototypes (R1/R2/R5e).
do_load	load	load.object-name-not-found	D2	command	oracle-green-multiseed	load-depth@1,2,3,5,8	act.wizard.c:1275-1280	C scans object prototype keywords in source order and emits name-not-found plus usage on a miss (R1/R2/R5e).
do_load	load	load.object-name-lookup	D3	state	oracle-green-multiseed	load-depth@1,2,3,5,8	act.wizard.c:1275-1280,1317-1348	A keyword object lookup resolves the first matching prototype, applies numeric-prefix atoi semantics where applicable, and places the resulting object in the actor inventory (R1/R3/R5e).
do_load	load	load.object-success-audience	D5	audience	oracle-green-multiseed	load-depth@1,2,3,5,8	act.wizard.c:1349-1380; random_load_msg:1224-1245	Object success consumes exactly one C number(0,2) draw and emits the gesture, selected room/actor random message, and created-object room/actor audiences without the ordinary spawn announcement (R1/R3/R5e).
do_load	load	load.mob-success	D5	audience	blocked	-	act.wizard.c:1287-1315	Three honest C-first success vehicles (numeric mobs 2100, 2109, and 1, plus the named puff attempt) produced empty actor/room blocks while this source branch explicitly calls char_to_room, random_load_msg, and both creation acts. Keep the gap blocked rather than inventing player-facing bytes or claiming the quiet-spawn adapter from Go alone (R1/R4/R5e).
do_load	load	load.object-limit-gates	D2	command	oracle-green-multiseed	load-depth-gates@1,2,3,5,8	act.wizard.c:1322-1329	VNUMs 81, 82, and 8095 reject a level-34 actor with C's exact godly-limit message before inventory placement (R1/R3/R5e).
do_load	load	load.object-cost-gate	D4	state	oracle-green-multiseed	load-depth-gates@1,2,3,5,8	act.wizard.c:1322-1364	At level 34, an object over cost 6000 is extracted and emits C's exact beyond-powers message; the boundary is owned by the level/cost matrix (R1/R3/R4/R5e).
