handler	command	case_id	depth	scope	status	proof	c_site	notes
do_kuji_kiri	jin	jin.entry-gate	D1	command	unit-green	TestJinRegistrationUsesCEntryGate	interpreter.c:523; new_cmds.c:1552-1554	The registered C row requires no level minimum at POS_STANDING; the focused test pins the authoritative gate and Go registration (R2/R5e).
do_kuji_kiri	jin	jin.position-gate	D1	shared	delegated	flip.position-gate	interpreter.c:523; comm.c:910-947	The shared POS_STANDING command-interpreter rejection is owned by the existing flip position-gate vehicle (R2/R5b/R5c).
do_kuji_kiri	jin	jin.class-gate	D1	command	unit-green	TestDoKujiKiri_JinGuardMessages	new_cmds.c:1557-1560	A non-Ninja mortal is rejected before the kuji success draw with C's exact refusal (R1/R5e).
do_kuji_kiri	jin	jin.fighting-gate	D1	command	unit-green	TestDoKujiKiri_JinGuardMessages	new_cmds.c:1562-1565	An active fighting pointer is rejected before the kuji success draw with C's exact refusal (R1/R5e).
do_kuji_kiri	jin	jin.lockout-gate	D1	state	unit-green	TestDoKujiKiri_JinGuardMessages	new_cmds.c:1567-1570	An existing AFF_KUJI_KIRI lockout is rejected before the kuji success draw with C's exact refusal (R1/R5e).
do_kuji_kiri	jin	jin.mounted-gate	D1	command	unit-green	TestDoKujiKiri_JinGuardMessages	new_cmds.c:1572-1575	A mounted actor is rejected before mastery and with no success draw, preserving C's Dismount first! branch (R1/R5e).
do_kuji_kiri	jin	jin.mastery-gate	D1	state	unit-green	TestDoKujiKiri_JinUnmasteredConsumesCSuccessDraw	new_cmds.c:1577-1598	C consumes check_kk_success() before the Jin mastery return; the focused RNG assertion pins that ordering and exact bytes (R1/R3/R5e).
do_kuji_kiri	jin	jin.skill-slot	D4	state	unit-green	TestSkillStorageName_JinUsesCommandSkillKey	spell_parser.c:1150-1170; new_cmds.c:1500-1541	C spells[162] is displayed as kuji-kiri jin but do_kuji_kiri reads the Jin command skill slot; the catalog-boundary test prevents a dead Go skill key (R1/R5e).
do_kuji_kiri	jin	jin.success-actor-and-room	D3	audience	oracle-green-multiseed	jin-depth@1,2,3,5,8	new_cmds.c:1599-1710; comm.c:2392-2555	A learned Jin emits the exact actor success bytes and C-style $n/$s room act to the peer across the required seed matrix (R1/R3/R5e).
do_kuji_kiri	jin	jin.success-double-lockout	D4	state	unit-green	TestDoKujiKiri_JinSuccessPreservesCDefaultSecondAffect	new_cmds.c:1599-1608; handler.c:473-499; 1697-1710	C calls affect_join for both default records; the later identical Jin record replaces the first, leaving one five-tick AFF_KUJI_KIRI/APPLY_SPELL effect (R3/R5e).
do_kuji_kiri	jin	jin.failure-actor-and-room	D3	audience	oracle-green	jin-failure-depth@1	new_cmds.c:1713-1729; comm.c:2392-2555	At skill 1, seed 1 reaches the failure arm: exact actor failure text, unchanged meditation room act, and no invented Jin effect (R1/R3/R5e).
do_kuji_kiri	jin	jin.failure-lockout	D4	state	unit-green	TestDoKujiKiri_JinFailureJoinsAsInertRecord	new_cmds.c:1713-1729; handler.c:473-499	C's failed af[1] replaces af[0] through affect_join as one inert AFF_NOTHING record, so a failed Jin does not set the aggregate lockout and can be retried (R1/R3/R5e).
