handler	command	case_id	depth	scope	status	proof	c_site	notes
do_olc	zedit	zedit.nonnumeric-argument	D1	command	oracle-green-multiseed	zedit-entry-depth@1,2,3,5,8	interpreter.c:846; olc.c:106-130	Nonnumeric input reaches C's exact safety response across the focused seed matrix (R1/R2/R5e).
do_olc	zedit	zedit.unknown-zone	D1	command	oracle-green-multiseed	zedit-entry-depth@1,2,3,5,8	olc.c:132-175	A VNUM outside every zone reaches C's unknown-zone response and leaves no editor reservation (R1/R2/R4/R5e).
do_olc	zedit	zedit.no-argument-current-room	D2	command	oracle-green-multiseed	zedit-entry-depth@1,2,3,5,8	olc.c:102-115,228-239	An empty argument selects the actor's current room and emits the room-scoped ZEDIT menu (R1/R2/R5e).
do_olc	zedit	zedit.interactive-olc	D3	state	oracle-green-multiseed	zedit-entry-depth@1,2,3,5,8	olc.c:150-239; interpreter.c:1730-1732	A valid room enters the descriptor-owned editor and later input routes through CON_ZEDIT (R1/R2/R4/R5e).
do_olc	zedit	zedit.main-invalid	D2	command	oracle-green-multiseed	zedit-boundaries-depth@1,2,3,5,8	zedit.c:673-709	Invalid main-menu input preserves C's contiguous redraw bytes (R1/R2/R5e).
do_olc	zedit	zedit.top-clamp	D4	state	oracle-green-multiseed	zedit-boundaries-depth@1,2,3,5,8	zedit.c:1191-1201	Immortal top editing uses C's last-zone 32000 clamp or next-zone boundary and only dirties changed values (R1/R4/R5e).
do_olc	zedit	zedit.zone-header-gates	D4	state	oracle-green-multiseed	zedit-boundaries-depth@1,2,3,5,8	zedit.c:1142-1190	Lifespan/reset prompts, numeric gates, and header dirty state match C (R1/R2/R4/R5e).
do_olc	zedit	zedit.new-at-end	D4	state	oracle-green-multiseed	zedit-boundaries-depth@1,2,3,5,8	zedit.c:607-625	New-command accepts the terminator position and inserts literal N before the command quiz (R1/R2/R5e).
do_olc	zedit	zedit.delete-numeric-invalid	D4	state	oracle-green-multiseed	zedit-boundaries-depth@1,2,3,5,8	zedit.c:627-640	Numeric delete input dirties the zone even when the strict delete range rejects the index (R1/R4/R5e).
do_olc	zedit	zedit.command-type-and-if-flag	D4	state	unit-green	TestZeditStaleCarryAndCommandSave	zedit.c:649-672	Command type and dependent-command quiz preserve the C position-zero exception and working-copy save path (R1/R2/R4/R5e).
do_olc	zedit	zedit.door-direction-terminator	D4	state	unit-green	TestZeditBoundaryQuirks	zedit.c:721-755	The D arg2 gate accepts the terminal direction index exactly as C does, including its sentinel rendering path (R1/R4/R5e).
do_olc	zedit	zedit.loop-finish-asymmetry	D4	state	unit-green	TestZeditBoundaryQuirks	zedit.c:735-747,914-929	L loop finish stores -1 and returns directly to the main menu, while loop start asks for a positive repeat count (R1/R2/R5e).
do_olc	zedit	zedit.confirm-save	D2	command	oracle-green-multiseed	zedit-boundaries-depth@1,2,3,5,8	zedit.c:571-605	The first save prompt, retry prompt, and in-memory save bytes match C exactly (R1/R2/R5e).
do_olc	zedit	zedit.menu-colors-on-raw	D4	state	oracle-green-multiseed	zedit-menu-color-on@1,2,3,5,8	src/olc.c:416; src/screen.h:32-56; zedit.c:492-601	ZEDIT menu color escapes are compared raw with ANSI enabled (R1/R5a).
do_olc	zedit	zedit.menu-colors-off-raw	D4	state	oracle-green-multiseed	zedit-menu-color-off@1,2,3,5,8	src/olc.c:416; src/screen.h:40,50-56; zedit.c:492-601	With color disabled every menu byte is plain; keep-ansi proves no escapes are invented (R1/R4).
do_olc	zedit	zedit.entry-gate	D1	command	unit-green	TestZeditRegistrationUsesCEntryGate	interpreter.c:846	The registered command carries C's POS_DEAD and LVL_IMMORT entry gate (R1/R2/R5e).
do_olc	zedit	zedit.duplicate-gate-cleanup	D5	state	unit-green	TestZeditDuplicateGateAndCleanup	olc.c:150-158; cleanup_olc	The per-room duplicate reservation refuses a second editor and is released by clean cleanup (R1/R3/R5e).
do_olc	zedit	zedit.stale-carry-save	D4	state	unit-green	TestZeditStaleCarryAndCommandSave	zedit.c:79-98,314-352	Setup uses -1/VNUM carry while save uses -2/rnum carry; stale matched star commands are not re-added, and disk bytes use parser VNUM identity (R1/R3/R4/R5e).
do_olc	zedit	zedit.new-zone-templates	D5	state	unit-green	TestZeditNewZoneTemplatesAndIndexInsertion	zedit.c:100-212	New-zone files, typo-preserving templates, ordered indexes, and in-memory insertion match C's artifacts (R1/R4/R5e).
