handler	command	case_id	depth	scope	status	proof	c_site	notes
do_spike	spike	spike.no-skill-gate	D1	command	unit-green	TestSpikeEntryGateIsNotSkillKnowledgeGated	new_cmds.c:1098-1115	do_spike has no GET_SKILL/class check; the POS_STANDING command-table gate is the only entry gate (R1/R2/R4/R5e).
do_spike	spike	spike.entry-position	D1	shared	delegated	spike.no-skill-gate	interpreter.c:730; interpreter.c:910-947	The registered POS_STANDING gate is pinned by the native command registration test; shared dispatcher bytes belong to the command-gate matrix (R2/R5b/R5c).
do_spike	spike	spike.fighting-entry	D1	shared	delegated	spike.entry-position	new_cmds.c:1110-1115; interpreter.c:910-947	Normal command dispatch rejects a fighting-position caller before do_spike; the handler's internal FIGHTING branch is reachable only through a direct non-dispatch caller such as breed_killer (R2/R5b/R5c/R5e).
do_spike	spike	spike.no-arg	D1	command	oracle-green-multiseed	spike-depth@1,2,3,5,8	new_cmds.c:1116-1122	An awake, non-fighting caller receives the exact target prompt (R1/R3/R5e).
do_spike	spike	spike.target-missing	D1	command	oracle-green-multiseed	spike-depth@1,2,3,5,8	handler.c:1276-1300; new_cmds.c:1119-1123	A missing visible-room target reaches C's direct NOPERSON branch (R1/R2/R3/R5e).
do_spike	spike	spike.no-weapon	D2	command	oracle-green-multiseed	spike-depth@1,2,3,5,8	new_cmds.c:1124-1128	An innate-werewolf NPC target with no wielded spike reaches the exact wielded-item refusal (R1/R3/R5e).
do_spike	spike	spike.peaceful	D2	shared	delegated	combat-entry	new_cmds.c:1129-1131; fight.c:1336-1351	The peaceful-room murder refusal is the shared combat-protection boundary; do_spike contributes no unique state beyond its exact literal (R1/R5b/R5c/R5e).
do_spike	spike	spike.self	D2	command	unit-green	TestDoSpike_BlocksSelfTarget	new_cmds.c:1132-1134	The suicide refusal is pinned in the existing focused handler test (R1/R4/R5e).
do_spike	spike	spike.target-affect	D2	command	unit-green	TestDoSpike_RequiresCorrectAffect	new_cmds.c:1135-1139	Werewolf mode is tested as an AFF_WEREWOLF requirement before own-kind and immortality checks (R1/R4/R5e).
do_spike	spike	spike.own-kind	D2	command	unit-green	TestDoSpike_BlocksOwnKind	new_cmds.c:1140-1143	The attacker's PLR_WEREWOLF refusal is pinned for spike (R1/R4/R5e).
do_spike	spike	spike.immortal-target	D2	state	unit-green	TestDoSpike_ImmortalTargetGate	new_cmds.c:1151-1153	A mortal attacker cannot destroy an immortal target after the earlier gates (R1/R4/R5e).
do_spike	spike	spike.mob-target	D3	state	unit-green	TestDoSpike_MobTarget	new_cmds.c:1135-1153	C's get_char_room_vis accepts an affected NPC; the handler preserves the same target-affect, own-kind, and immortal checks without inventing a player-only branch (R1/R4/R5e).
do_spike	spike	spike.success-audience	D3	command	oracle-green-multiseed	spike-depth@1,2,3,5,8	new_cmds.c:1155-1174; comm.c:2392-2555	The successful mob target exposes actor and room audiences, with no NPC victim descriptor bytes (R1/R3/R5e).
do_spike	spike	spike.success-mob-extraction	D4	state	unit-green	TestDoSpike_MobTarget	new_cmds.c:1155-1175; fight.c:534-577	A successful NPC spike reaches the raw_kill extraction path and removes the mob without combat XP/kills invention (R1/R3/R4/R5e).
do_spike	spike	spike.failure	D4	state	unit-green	TestDoSpike_MissWaitState	new_cmds.c:1176-1188	The level-gap failure emits all three miss audiences and waits two violence pulses; the random comparison is covered by the focused test (R1/R3/R5e).
do_spike	spike	spike.success-player-state	D4	state	unit-green	TestDoSpike_KillsWerewolf	new_cmds.c:1155-1175	A successful player target clears both PLR nightbreed flags, updates PK/death counters, and reaches raw_kill with no invented combat damage (R1/R3/R4/R5e).
do_spike	spike	spike.random-success	D5	state	unit-green	TestDoSpike_SuccessProbability	new_cmds.c:1155-1164	The level comparison and inclusive number(0,LEVEL_IMMORT) success arm are isolated from the shared RNG/combat matrix (R3/R5e).
do_spike	spike	spike.breed-killer-call	D5	npc-call	excluded	-	spec_procs2.c:1679-1722	breed_killer directly invokes do_spike/do_stake for autonomous mob attacks; its caller is owned by the special-procedure cityguard/breed inventory and is not duplicated under the player command surface (R2/R5b/R5c/R5e).
do_spike	stake	stake.shared-handler	D1	shared	delegated	spike.no-skill-gate	interpreter.c:734; new_cmds.c:1104-1107	Stake uses the same C handler with SCMD_STAKE; spike owns the shared handler matrix while stake remains a later source-order command row (R2/R5b/R5c/R5e).
