handler	command	case_id	depth	scope	status	proof	c_site	notes
do_show	show	show.entry-gate	D1	command	unit-green	TestShowRegistrationUsesCEntryGate	interpreter.c:694; comm.c:910-947	The registered C row is POS_DEAD at LVL_IMMORT; the focused test pins both dispatcher fields (R2/R5e).
do_show	show	show.no-argument	D2	audience	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2234-2303	C's overlapping option-list sprintf exposes the final neutral field in the fresh vehicle; Go emits those observed bytes (R1/R4/R5e).
do_show	show	show.unknown-option	D1	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2290-2303	Unknown fields use C's exact refusal rather than the former invented topic error (R1/R2/R5e).
do_show	show	show.prefix-zone-invalid	D1	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2268-2290	The field table uses a case-sensitive prefix; numeric unknown zones emit the exact invalid-zone refusal (R1/R2/R5e).
do_show	show	show.player-no-name	D1	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2292-2300	The player field requires its second token and emits C's exact missing-name response (R1/R2/R5e).
do_show	show	show.player-missing	D2	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2292-2306	A missing save/player name emits C's exact no-such-player response (R1/R2/R5e).
do_show	show	show.rent-no-name	D1	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2307-2315	The rent field requires its second token and emits C's exact missing-name response (R1/R2/R5e).
do_show	show	show.rent-missing	D2	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2307-2315; crash.c:290-321	A missing rent file emits C's lower-case name plus exact refusal (R1/R2/R5e).
do_show	show	show.stats	D3	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2316-2346	The fresh empty-player vehicle proves the current C-visible final stats line, including spacing (R1/R3/R5e).
do_show	show	show.errors	D3	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2347-2356	The errant-room scan reaches the same final visible row and ordinal as C (R1/R3/R5e).
do_show	show	show.death	D3	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2357-2364; structs.h:175	The death-room scan reaches the same final visible row and ordinal as C (R1/R3/R5e).
do_show	show	show.godrooms	D3	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2365-2372; structs.h:184	The godroom scan reaches the same final visible row and ordinal as C (R1/R3/R5e).
do_show	show	show.houses	D2	shared	delegated	hcontrol-depth@1,2,3,5,8	act.wizard.c:2380-2382; house.c:hcontrol_list_houses	The do_show branch directly delegates to hcontrol_list_houses; its empty-table output is owned by the hcontrol matrix (R5b/R5c).
do_show	show	show.tattoos	D3	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2383-2392; structs.h:tattoos	The full 18-entry tattoo/effect listing matches C byte-for-byte, including alignment (R1/R3/R5e).
do_show	show	show.aggr	D3	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2393-2405	The quiet-mob vehicle proves C's empty aggressive-24 output; populated ordering remains separately blocked (R1/R3/R5e).
do_show	show	show.reagents	D3	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2406-2420; spells.c:get_reagent_names	The current reagent catalog listing matches C's eleven visible rows (R1/R3/R5e).
do_show	show	show.hooks-no-zone	D1	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2421-2430	The hooks field requires a zone number and emits C's exact missing-argument refusal (R1/R2/R5e).
do_show	show	show.hooks-invalid-zone	D1	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2421-2442	An unknown numeric hooks zone emits C's exact invalid-zone refusal (R1/R2/R5e).
do_show	show	show.neutral	D3	command	oracle-green-multiseed	show-depth@1,2,3,5,8	act.wizard.c:2455-2465; structs.h:190	The neutral-room scan reaches the same final visible row and ordinal as C (R1/R3/R5e).
do_show	show	show.zones-valid	D3	command	blocked	show-depth-red@1,2	act.wizard.c:2268-2290	Two honest slice attempts leave valid zone reports blocked: Go lacks C's zone age/reset report and pager vehicle; do not substitute the former invented reset output (R1/R4/R5e).
do_show	show	show.player-valid	D3	command	blocked	show-depth-red@1,2	act.wizard.c:2292-2306	Two honest slice attempts leave loaded-player reports blocked: C exposes char_file_u gender/class/timestamps while Go has no byte-faithful report surface (R1/R4/R5e).
do_show	show	show.rent-valid	D3	command	blocked	show-depth-red@1,2	act.wizard.c:2307-2315; crash.c:290-321	Two honest slice attempts leave existing rent reports blocked: Go's house save format and C Crash_listrent output are not equivalent (R1/R4/R5e).
do_show	show	show.shops-list	D4	command	blocked	show-depth-red@1,2	act.wizard.c:2373-2379; shop.c:show_shops	Two honest full-matrix attempts confirm the 60-row C shop pager cannot be proven because Go does not parse the complete .shp records; leave this branch blocked (R1/R4/R5e).
do_show	show	show.houses-defined	D3	shared	delegated	hcontrol-depth@1,2,3,5,8	act.wizard.c:2380-2382; house.c:hcontrol_list_houses	The do_show branch directly delegates to hcontrol_list_houses; defined-house bytes are owned by the existing hcontrol matrix (R5b/R5c).
do_show	show	show.hooks-valid	D3	command	blocked	show-depth-red@1,2	act.wizard.c:2421-2454	Two honest slice attempts leave valid cross-zone hook reports blocked: C indexes world exits through destination zones while Go lacks the complete C connection report vehicle (R1/R4/R5e).
do_show	show	show.aggr-populated	D3	command	blocked	show-depth-red@1,2	act.wizard.c:2393-2405	Two honest slice attempts leave populated MOB_AGGR24 output blocked until spawned-mob list order and the C flag vehicle are independently proven (R1/R3/R5e).
