handler	command	case_id	depth	scope	status	proof	c_site	notes
do_lines	lines	lines.entry-gate	D1	command	unit-green	TestLinesRegistrationUsesCEntryGate	interpreter.c:542; comm.c:910-947; act.display.c:112-115	The registered C row permits every level at POS_DEAD; the focused test pins the authoritative command gate (R2/R5e).
do_lines	lines	lines.position-gate	D1	shared	delegated	levels.entry-gate	interpreter.c:542; comm.c:910-947	The shared POS_DEAD dispatcher gate is owned by the existing levels entry-gate proof (R2/R5b/R5c).
do_lines	lines	lines.current-default	D2	command	oracle-green-multiseed	lines-depth@1,2,3,5,8	act.display.c:112-119	A fresh character receives C's exact default screen-size query with value zero (R1/R3/R5e).
do_lines	lines	lines.non-numeric-atoi-zero	D2	command	oracle-green-multiseed	lines-depth@1,2,3,5,8	act.display.c:121-132	C atoi turns a nonnumeric first token into zero, which reaches the minimum-size rejection rather than a Go-only usage branch (R1/R3/R5e).
do_lines	lines	lines.minimum-rejection	D2	command	oracle-green-multiseed	lines-depth@1,2,3,5,8	act.display.c:121-132	A requested size below seven emits the exact minimum-size rejection and leaves the prior value unchanged (R1/R3/R5e).
do_lines	lines	lines.valid-minimum	D4	state	oracle-green-multiseed	lines-depth@1,2,3,5,8	act.display.c:134-141	The boundary value seven is accepted and updates the session screen-size state with the exact confirmation (R1/R3/R4/R5e).
do_lines	lines	lines.maximum-rejection	D2	command	oracle-green-multiseed	lines-depth@1,2,3,5,8	act.display.c:121-128	A requested size above 50 emits the exact upper-bound rejection without changing the screen size (R1/R3/R5e).
do_lines	lines	lines.decimal-prefix-atoi	D2	command	oracle-green-multiseed	lines-depth@1,2,3,5,8	act.display.c:121-141	C atoi accepts leading decimal digits and ignores a trailing suffix; the Go parser now follows that byte-visible behavior (R1/R3/R5e).
do_lines	lines	lines.valid-with-trailing-input	D4	state	oracle-green-multiseed	lines-depth@1,2,3,5,8	interpreter.c:1265-1283; act.display.c:112-141	one_argument supplies only the first token, so a valid size followed by words updates the state and emits only C's confirmation (R1/R2/R3/R5e).
do_lines	lines	lines.current-after-update	D4	state	oracle-green-multiseed	lines-depth@1,2,3,5,8	act.display.c:112-119,134-141	A later no-argument query reports the final accepted size, proving the state transition and rejection ordering (R1/R3/R4/R5e).
do_lines	lines	lines.infobar-redraw	D3	audience	oracle-green-multiseed	lines-infobar-depth@1,2,3,5,8	act.display.c:134-141,158-216	With the infobar active, changing size redraws the C frame before the exact lines confirmation; frame bytes are shared with the infobar manifest (R1/R3/R5b/R5c).
