from_vnum,to_vnum,direction,door_state,key,keywords
19900,19901,south,0,-1,
19901,9169,north,0,-1,
19903,19905,east,0,-1,
19903,19904,west,0,-1,
19904,19903,east,0,-1,
19904,19906,south,0,-1,
19905,19907,south,0,-1,
19905,19903,west,0,-1,
19906,19904,north,0,-1,
19906,19908,south,0,-1,
19907,19905,north,0,-1,
19907,19909,south,0,-1,
19908,19906,north,0,-1,
19908,19912,south,0,-1,
19909,19907,north,0,-1,
19912,19908,north,0,-1,
19913,19909,north,0,-1,
19914,19910,north,0,-1,
19915,19911,north,0,-1,
19915,19916,east,0,-1,
19916,19917,east,0,-1,
19916,19915,west,0,-1,
19917,19918,east,0,-1,
19917,19916,west,0,-1,
19918,19919,north,0,-1,
19918,19917,west,0,-1,
19919,19920,east,0,-1,
19919,19918,south,0,-1,
19920,19921,east,0,-1,
19920,19919,west,0,-1,
19921,19922,south,0,-1,
19921,19920,west,0,-1,
19922,19921,north,0,-1,
19922,19923,east,0,-1,
19923,19922,west,0,-1,
19924,19923,up,0,-1,
5700,1205,down,0,0,
5701,5710,south,1,-1,door
5710,5701,north,1,-1,door
5720,5721,east,1,-1,door
5721,5722,east,1,-1,door
5721,5727,south,0,-1,
5721,5720,west,1,-1,door
5722,5721,west,1,-1,door
5723,5729,south,1,-1,door
5724,5725,up,0,-1,
5725,5730,south,1,-1,door
5725,5724,down,0,-1,
5726,5727,east,1,-1,door
5727,5721,north,0,-1,
5727,5728,east,1,-1,door
5727,5733,south,0,-1,
5727,5726,west,1,-1,door
5728,5727,west,1,-1,door
5729,5723,north,1,-1,door
5729,5739,south,0,-1,
5730,5725,north,1,-1,door
5730,5740,south,0,-1,
5731,5741,south,1,-1,door
5732,5742,south,1,-1,door
5733,5727,north,0,-1,
5733,5734,east,0,-1,
5733,5743,south,1,-1,door
5734,5744,south,1,-1,door
5734,5733,west,0,-1,
5735,5736,down,0,-1,
5736,5735,up,0,-1,
5736,5737,down,0,-1,
5737,5736,up,0,-1,
5737,5738,down,0,-1,
5738,5739,east,1,-1,door
5738,5759,south,1,-1,door
5738,5737,up,0,-1,
5739,5729,north,0,-1,
5739,5740,east,1,-1,door
5739,5738,west,1,-1,door
5740,5730,north,0,-1,
5740,5741,east,0,-1,
5740,5754,south,0,-1,
5740,5739,west,1,-1,door
5741,5731,north,1,-1,door
5741,5742,east,0,-1,
5741,5748,south,1,-1,door
5741,5740,west,0,-1,
5742,5732,north,1,-1,door
5742,5743,east,1,-1,door
5742,5749,south,1,-1,door
5742,5741,west,0,-1,
5743,5733,north,1,-1,door
5743,5750,south,1,-1,door
5743,5742,west,1,-1,door
5744,5734,north,1,-1,door
5744,5745,east,1,-1,door
5744,5751,south,1,-1,door
5745,5746,east,1,-1,door
5745,5744,west,1,-1,door
5746,5747,east,1,-1,door
5746,5745,west,1,-1,door
5747,5746,west,1,-1,door
5748,5741,north,1,-1,door
5748,5756,south,0,-1,
5749,5742,north,1,-1,door
5749,5758,south,0,-1,
5750,5743,north,1,-1,door
5750,5751,east,0,-1,
5750,5766,south,1,-1,door
5751,5744,north,1,-1,door
5751,5752,east,0,-1,
5751,5761,south,1,-1,door
5751,5750,west,0,-1,
5752,5762,south,1,-1,door
5752,5751,west,0,-1,
5753,5754,east,1,-1,door
5754,5740,north,0,-1,
5754,5755,east,1,-1,heavy door
5754,5753,west,1,-1,door
5755,5756,east,0,-1,
5755,5763,south,1,-1,door
5755,5754,west,1,-1,door
5756,5748,north,0,-1,
5756,5757,east,0,-1,
5756,5764,south,1,-1,door
5756,5755,west,0,-1,
5757,5758,east,1,-1,door
5757,5765,south,1,-1,door
5757,5756,west,0,-1,
5758,5749,north,0,-1,
5758,5757,west,1,-1,door
5759,5738,north,1,-1,door
5759,5760,east,0,-1,
5759,5759,south,0,-1,
5759,5759,west,0,-1,
5760,5769,south,0,-1,
5760,5759,west,0,-1,
5761,5751,north,1,-1,door
5762,5752,north,1,-1,door
5763,5755,north,1,-1,door
5764,5756,north,1,-1,door
5765,5757,north,1,-1,door
5766,5750,north,1,-1,door
5766,5773,south,1,-1,ornately carved door
5767,5767,north,0,-1,
5767,5768,east,0,-1,
5767,5770,south,0,-1,
5768,5768,north,0,-1,
5768,5769,east,0,-1,
5768,5768,south,0,-1,
5768,5767,west,0,-1,
5769,5760,north,0,-1,
5769,5769,south,0,-1,
5769,5768,west,0,-1,
5770,5767,north,0,-1,
5770,5771,east,0,-1,
5771,5771,north,0,-1,
5771,5772,east,1,-1,door
5771,5771,south,0,-1,
5771,5770,west,0,-1,
5772,5773,east,1,-1,door
5772,5771,west,1,-1,door
5773,5766,north,1,-1,door
5773,5774,east,1,-1,door
5773,5772,west,1,-1,door
5774,5773,west,1,-1,door
5774,5783,down,0,-1,
5775,5777,south,1,-1,door
5776,5777,east,0,-1,
5776,5782,south,1,-1,door
5777,5775,north,1,-1,door
5777,5778,east,1,-1,door
5777,5776,west,0,-1,
5778,5780,south,1,-1,door
5778,5777,west,1,-1,door
5779,5781,south,1,-1,door
5780,5778,north,1,-1,door
5780,5783,south,0,-1,
5781,5779,north,1,-1,door
5781,5782,east,0,-1,
5781,5785,south,1,-1,door
5782,5776,north,1,-1,door
5782,5783,east,0,-1,
5782,5786,south,1,-1,door
5782,5781,west,0,-1,
5783,5780,north,0,-1,
5783,5784,east,1,-1,door
5783,5782,west,0,-1,
5784,5787,south,0,-1,
5784,5783,west,1,-1,door
5785,5781,north,1,-1,door
5785,5774,up,0,-1,
5786,5782,north,1,-1,door
5787,5784,north,0,-1,
5788,5789,east,1,-1,door
5788,5791,south,1,-1,door
5789,5792,south,1,-1,door
5789,5788,west,1,-1,door
5790,5791,east,0,-1,
5791,5788,north,1,-1,door
5791,5792,east,1,-1,door
5791,5790,west,0,-1,
5792,5789,north,1,-1,door
5792,5793,east,1,-1,door
5792,5791,west,1,-1,door
5793,5792,west,1,-1,door
5801,9025,north,0,0,
5808,5809,north,0,-1,
5808,5810,south,0,-1,
5819,5818,east,0,-1,
5822,5823,east,0,-1,
5822,5829,south,0,-1,
5823,5824,east,0,-1,
5823,5822,west,0,-1,
5824,5825,south,0,-1,
5824,5823,west,0,-1,
5825,5824,north,0,-1,
5825,5826,south,0,-1,
5826,5825,north,0,-1,
5826,5827,west,0,-1,
5827,5826,east,0,-1,
5827,5828,west,0,-1,
5828,5829,north,0,-1,
5828,5827,east,0,-1,
5828,5837,south,0,-1,
5828,5831,west,0,-1,
5829,5828,south,0,-1,
5829,5830,east,0,-1,
5831,5832,north,0,-1,
5831,5828,west,0,-1,
5832,5831,south,0,-1,
5832,5833,west,0,-1,
5833,5832,east,0,-1,
5833,5834,south,0,-1,
5834,5833,north,0,-1,
5834,5835,south,0,-1,
5835,5834,north,0,-1,
5835,5836,east,0,-1,
5836,5837,east,0,-1,
5836,5835,west,0,-1,
5837,5828,north,0,-1,
5837,5838,east,0,-1,
5837,5836,west,0,-1,
5839,5838,west,0,-1,
5855,5856,north,0,-1,
5855,5854,down,0,-1,
5897,5898,east,0,-1,
5898,5897,west,0,-1,
18301,18302,east,0,-1,
18301,18309,south,0,-1,
18302,18303,east,0,-1,
18302,18310,south,0,-1,
18302,18301,west,0,-1,
18303,18304,east,0,-1,
18303,18311,south,0,-1,
18303,18302,west,0,-1,
18304,18305,east,0,-1,
18304,18312,south,0,-1,
18304,18303,west,0,-1,
18305,18306,east,0,-1,
18305,18313,south,0,-1,
18305,18304,west,0,-1,
18306,18307,east,0,-1,
