handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	kiss	kiss.entry-gate	D1	command	unit-green	TestKissRegistrationUsesCEntryGate	interpreter.c:529; act.social.c:102-151; lib/misc/socials:430-438	The registered C row is POS_RESTING with no command minimum; the focused test pins the zero hide flag, zero victim-position minimum, and all eight authored messages (R1/R2/R5e).
do_action	kiss	kiss.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:529; comm.c:910-947	The shared POS_RESTING command-interpreter rejection is owned by the existing fade position-gate vehicle (R2/R5b/R5c).
do_action	kiss	kiss.no-argument	D2	audience	oracle-green-multiseed	kiss-depth@1,2,3,5,8	act.social.c:102-127; lib/misc/socials:430-438	No argument emits the exact actor message and the record's empty room branch (R1/R3/R5e).
do_action	kiss	kiss.target-mob-room-audience	D3	audience	oracle-green-multiseed	kiss-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:430-438	A visible cleaner mob target exposes the actor and TO_NOTVICT room messages with exact $N substitution (R1/R3/R5e).
do_action	kiss	kiss.target-player-audience	D3	audience	oracle-green-multiseed	kiss-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:430-438	A visible player target receives the exact actor and victim messages; the mob target separately exposes the room audience (R1/R3/R5e).
do_action	kiss	kiss.argument-first-token	D2	command	oracle-green-multiseed	kiss-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:430-438	C one_argument selects the first target token and ignores trailing words (R1/R3/R5e).
do_action	kiss	kiss.self-target	D2	audience	oracle-green-multiseed	kiss-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:430-438	A named self target emits the authored self message and no room line because others_auto is # (R1/R3/R5e).
do_action	kiss	kiss.target-not-found	D1	command	oracle-green-multiseed	kiss-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:430-438	An unresolved visible-room target emits the exact Never around when required. refusal (R1/R3/R5e).
do_action	kiss	kiss.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT emote refusal is owned by the existing dance social matrix (R1/R5b/R5c).
do_action	kiss	kiss.visibility	D3	shared	delegated	socials-depth	act.social.c:114-151; comm.c:2392-2555	The zero hide flag and shared visible-target/Act audience behavior are owned by the social matrix (R1/R5b/R5c).
