handler	command	case_id	depth	scope	status	proof	c_site	notes
do_help	help	help.entry-gate	D1	command	unit-green	TestHelpRegistrationUsesCEntryGate	interpreter.c:486; act.informative.c:1566-1674	The C help row is POS_DEAD with no level minimum; the test pins the authoritative gate and the registered handler path.
do_help	?	help.alias-entry-gate	D1	command	unit-green	TestHelpRegistrationUsesCEntryGate	interpreter.c:488; act.informative.c:1566-1674	The adjacent punctuation row is the same do_help path and carries the same level-zero/POS_DEAD gate.
do_help	help	help.miss-raw-spacing	D2	command	oracle-green-multiseed	help-depth@1,2,3,5,8	act.informative.c:1588-1614; interpreter.c:883-907	C preserves the internal spacing in the exact miss line; the raw transport vehicle proves Go no longer rebuilds the topic from Fields tokens.
do_help	help	help.prefix-first-match	D2	command	oracle-green-multiseed	help-depth@1,2,3,5,8	act.informative.c:1594-1630; db.c:644-685	The binary prefix search and Jeff-Fink backward scan return the first matching sorted help entry.
do_help	help	help.wizonly-hidden	D2	command	oracle-green-multiseed	help-depth@1,2,3,5,8	act.informative.c:1631-1637; lib/text/help/wizhelp.hlp:1-14	A mortal sees the exact miss line when the matched entry contains the literal wizonly marker.
do_help	?	help.alias-raw-spacing	D2	command	oracle-green-multiseed	help-depth@1,2,3,5,8	act.informative.c:1588-1614; interpreter.c:488	The punctuation alias reaches do_help and preserves the same raw internal spacing as help.
do_help	help	help.no-argument-pager	D3	command	oracle-green-multiseed	help-depth@1,2,3,5,8	act.informative.c:1574-1578; modify.c:430-449	A bare help pages the booted help screen and enters the C pager because the screen exceeds one page.
do_help	help	help.pager-quit	D2	command	oracle-green-multiseed	help-depth@1,2,3,5,8	act.informative.c:1574-1578; modify.c:454-527	The q input is consumed by the pager, exits it, and emits no command response.
do_help	help	help.post-pager-command	D2	command	oracle-green-multiseed	help-depth@1,2,3,5,8	comm.c:617; modify.c:454-527	After a clean pager quit, score is interpreted normally, proving pager state does not leak into command dispatch.
do_help	help	help.wizonly-visible	D2	command	oracle-green-multiseed	help-immortal-depth@1,2,3,5,8	act.informative.c:1631-1669; lib/text/help/wizhelp.hlp:1-14	The immortal actor receives the matched ADVANCE entry, including its wizonly marker, rather than the hidden miss line.
do_help	?	help.alias-immortal	D2	command	oracle-green-multiseed	help-immortal-depth@1,2,3,5,8	interpreter.c:488; act.informative.c:1640-1669	The ? row reaches the same topic display path for an immortal actor.
do_help	help	help.no-argument-pager-immortal	D3	command	oracle-green-multiseed	help-immortal-depth@1,2,3,5,8	act.informative.c:1574-1578; modify.c:430-449	The immortal path shares the no-argument help screen and pager behavior.
