handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	ruffle	ruffle.entry-gate	D1	command	unit-green	TestRuffleRegistrationUsesCEntryGate	interpreter.c:668; act.social.c:102-112	The registered C row permits every level at POS_STANDING and the focused test pins the parsed ruffle social metadata (R1/R2/R5e).
do_action	ruffle	ruffle.position-gate	D1	command	delegated	flip.position-gate	interpreter.c:668; comm.c:910-947	The shared POS_STANDING dispatcher rejection is already proven by the flip position-gate vehicle (R5b/R5c).
do_action	ruffle	ruffle.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT refusal is owned by the existing do_action social gate vehicle (R5b/R5c).
do_action	ruffle	ruffle.no-argument	D3	audience	oracle-green-multiseed	ruffle-depth@1,2,3,5,8	act.social.c:119-127; lib/misc/socials:650-658	No argument emits the exact actor and observer messages from the ruffle record (R1/R3/R5e).
do_action	ruffle	ruffle.one-argument	D2	command	oracle-green-multiseed	ruffle-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:119-123	C one_argument selects the first target token and ignores trailing words before target lookup (R1/R2/R5e).
do_action	ruffle	ruffle.target-success	D3	audience	oracle-green-multiseed	ruffle-depth@1,2,3,5,8	act.social.c:128-151; lib/misc/socials:650-658	A visible target receives the authored actor, room, and victim ruffle templates (R1/R3/R5e).
do_action	ruffle	ruffle.target-audience	D3	audience	oracle-green-multiseed	ruffle-depth@1,2,3,5,8	act.social.c:137-151; comm.c:2392-2555	The target-success arm routes distinct bytes to actor, non-victim room observer, and victim (R1/R3/R5e).
do_action	ruffle	ruffle.self-target	D2	audience	oracle-green-multiseed	ruffle-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:650-658	Self-targeting uses the separate char_auto and others_auto records with C substitutions (R1/R3/R5e).
do_action	ruffle	ruffle.target-not-found	D1	command	oracle-green-multiseed	ruffle-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:650-658	An unresolved room target emits only the exact Might be a bit difficult. response (R1/R5e).
do_action	ruffle	ruffle.sleeping-target-allowed	D2	command	oracle-green-multiseed	ruffle-sleeping-depth@1,2,3,5,8	act.social.c:137-143; lib/misc/socials:650-658	The record's zero minimum victim position allows a sleeping target to reach the success arm (R1/R3/R5e).
