handler	command	case_id	depth	scope	status	proof	c_site	notes
do_headbutt	headbutt	headbutt.entry-gate	D1	command	unit-green	TestHeadbuttRegistrationUsesCEntryGate	interpreter.c:487; new_cmds.c:368-378	The C row is level 1 and POS_FIGHTING; the focused test pins the checked-in registry against that authoritative gate.
do_headbutt	headbutt	headbutt.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:487; comm.c:910-947	The common POS_FIGHTING dispatcher rejection is owned by the existing fade position-gate vehicle.
do_headbutt	headbutt	headbutt.prefix-resolution	D1	command	oracle-green-multiseed	headbutt-depth@1,2,3,5,8	interpreter.c:487; interpreter.c:909-912	The typed `head` prefix resolves to headbutt in C table order and reaches its no-target outcome.
do_headbutt	headbutt	headbutt.no-skill	D1	command	oracle-green	combat-skill-noskill	interpreter.c:487; new_cmds.c:382-386	C checks GET_SKILL before target lookup and emits the exact qualification refusal.
do_headbutt	headbutt	headbutt.peaceful-gate	D1	command	oracle-green	headbutt-peaceful-depth	new_cmds.c:378-381	The peaceful-room refusal runs before the learned-skill and target branches.
do_headbutt	headbutt	headbutt.mounted-gate	D1	command	oracle-green	headbutt-mounted-depth	new_cmds.c:388-392	A mounted skilled actor receives Dismount first! before target lookup.
do_headbutt	headbutt	headbutt.no-argument	D1	command	oracle-green-multiseed	headbutt-depth@1,2,3,5,8	new_cmds.c:398-404	Without a target or FIGHTING victim, C emits Headbutt who? with its authored terminator.
do_headbutt	headbutt	headbutt.missing-target	D1	command	oracle-green-multiseed	headbutt-depth@1,2,3,5,8	new_cmds.c:393-404	A visible-room lookup miss falls through to the same Headbutt who? branch.
do_headbutt	headbutt	headbutt.one-argument	D2	command	oracle-green-multiseed	headbutt-depth@1,2,3,5,8	interpreter.c:1265-1283; new_cmds.c:393-405	C one_argument consumes only the first target word and ignores trailing words before the attack path.
do_headbutt	headbutt	headbutt.fighting-fallback	D2	command	unit-green	TestCmdHeadbuttFallsBackToFightingTarget	new_cmds.c:396-404	With no parsed target, C uses FIGHTING(ch); the focused command test proves the fallback reaches the victim instead of Headbutt who?.
do_headbutt	headbutt	headbutt.self-target	D2	command	oracle-green	headbutt-self-depth	new_cmds.c:405-408	C resolves the actor and emits You bang your head into the nearest wall...; the old Go contemplation line was a confirmed divergence.
do_headbutt	headbutt	headbutt.immortal-target	D2	command	oracle-green	headbutt-immortal-depth	new_cmds.c:410-419	A mortal targeting a non-NPC immortal receives both C direct lines and is thrown to POS_SITTING without damage().
do_headbutt	headbutt	headbutt.skill-message-miss	D3	shared	delegated	combat-swing	new_cmds.c:437-440; fight.c:1023-1092; lib/misc/messages:286-300	The zero-damage miss routes through the shared skill_message and combat audience pipeline; the dedicated unit draw/message tests pin set 141.
do_headbutt	headbutt	headbutt.skill-message-hit	D3	shared	unit-green	TestDoHeadbutt_Hit_ReroutesThroughSkillMessage	new_cmds.c:441-457; fight.c:1023-1092; lib/misc/messages:286-300	The focused result test pins the C set-141 routing metadata; live opener audience and variant proof is recorded separately.
do_headbutt	headbutt	headbutt.opener-outcome	D3	command	oracle-green-multiseed	combat-headbutt-opener@1,2,3,5,8	new_cmds.c:422-459; fight.c:1023-1092; lib/misc/messages:286-300	The opener vehicle proves hit/miss message variants, victim/room audiences, flat level damage, the hit-side sitting state, and three-pulse wait behavior across seeds.
do_headbutt	headbutt	headbutt.hp-gate	D2	command	unit-green	TestDoHeadbutt_HPGateRefuses	new_cmds.c:429-433	The fatal-recoil guard refuses before the roll outcome is applied.
do_headbutt	headbutt	headbutt.flat-level-damage	D4	state	unit-green	TestDoHeadbutt_DamageIsFlatLevel	new_cmds.c:438-440	Successful damage is GET_LEVEL(ch), not a skill-scaled invention.
do_headbutt	headbutt	headbutt.recoil-no-helm	D4	state	unit-green	TestDoHeadbutt_SelfRecoilNoHelm	new_cmds.c:443-445	A successful player hit costs GET_LEVEL/4 HP without a head item.
do_headbutt	headbutt	headbutt.recoil-helm	D4	state	unit-green	TestDoHeadbutt_SelfRecoilWithHelm	new_cmds.c:439-442	A successful player hit costs GET_LEVEL/3 HP when WEAR_HEAD is occupied.
do_headbutt	headbutt	headbutt.nobash-auto-success	D4	state	unit-green	TestDoHeadbutt_NobashMobAutoSucceeds	new_cmds.c:428	MOB_NOBASH sets percent to zero for headbutt, the C quirk that forces success.
do_headbutt	headbutt	headbutt.target-sits	D4	state	unit-green	TestDoHeadbutt_TargetSitsOnHit	new_cmds.c:448-452	A successful hit sits a victim above POS_STUNNED; it does not stun the target.
do_headbutt	headbutt	headbutt.wait-hit-miss	D4	state	unit-green	TestDoHeadbutt_WaitStateAlwaysThree	new_cmds.c:459	WAIT_STATE(PULSE_VIOLENCE*3) is applied after both the hit and miss branches.
do_headbutt	headbutt	headbutt.improve-twice	D4	state	unit-green	TestDoHeadbutt_ImprovesSkillTwice	new_cmds.c:450-457	Player success calls improve_skill twice after damage/skill_message.
do_headbutt	headbutt	headbutt.miss-draw-order	D5	command	unit-green	TestDoHeadbutt_MissDrawCountAndOrder	new_cmds.c:422; fight.c:1023-1092	The miss stream is number(1,121), then skill_message dice, with no improvement draws.
do_headbutt	headbutt	headbutt.hit-draw-order	D5	command	unit-green	TestDoHeadbutt_HitDrawSequenceIncludesImproveSkill	new_cmds.c:422; new_cmds.c:450-457; fight.c:1023-1092	The hit stream is number(1,121), skill_message dice, then two improve_skill draw sequences.
do_headbutt	headbutt	headbutt.descriptorless	D5	command	excluded	-	new_cmds.c:378	The !ch->desc && !subcmd early return is unreachable from a descriptor-issued registered player command.
do_headbutt	pulse/fight	headbutt.mob-subcmd	D5	npc-call	delegated	mob.fighter-headbutt	new_cmds.c:378-460; spec_procs.c:524	The registered player row calls subcmd=0; the separate subcmd=1 native fighter path is owned by the existing special-procedure manifest.
