handler	command	case_id	depth	scope	status	proof	c_site	notes
do_wizutil	pardon	pardon.entry-gate	D1	command	unit-green	TestPardonRegistrationUsesCEntryGate	interpreter.c:601; act.wizard.c:2077-2085	The registered pardon row is POS_DEAD at level 1, then the handler applies its own LVL_IMMORT/PLR_CHOSEN gate (R1/R2/R5e).
do_wizutil	pardon	pardon.low-level-authorization	D1	command	oracle-green-multiseed	pardon-gates-depth@1,2,3,5,8	act.wizard.c:2083-2085	An ordinary level-1 non-chosen caller receives the exact Huh?!? inner authorization response before argument parsing (R1/R2/R3/R5e).
do_wizutil	pardon	pardon.chosen-low-level	D1	command	unit-green	TestCmdPardonMatchesCInnerAuthorization	act.wizard.c:2083-2085	A low-level caller carrying PLR_CHOSEN is admitted through the C inner guard and can reach the pardon switch (R1/R5e).
do_wizutil	pardon	pardon.no-argument	D1	command	oracle-green-multiseed	pardon-depth@1,2,3,5,8	act.wizard.c:2088-2089	An authorized caller with no target receives Yes, but for whom?!? (R1/R3/R5e).
do_wizutil	pardon	pardon.target-not-found	D1	command	oracle-green-multiseed	pardon-depth@1,2,3,5,8	act.wizard.c:2089-2091; handler.c:1303-1332	A missing visible-world player reaches the exact There is no such player. response (R1/R3/R5e).
do_wizutil	pardon	pardon.visible-npc-target	D2	command	oracle-green-multiseed	pardon-depth@1,2,3,5,8	act.wizard.c:2091-2093; handler.c:1276-1300	A visible trainee mob is rejected before SCMD_PARDON with C's exact mob response (R1/R3/R5e).
do_wizutil	pardon	pardon.higher-immortal	D2	state	unit-green	TestCmdPardonUsesCOneArgumentAndHigherImmortalGuard	act.wizard.c:2094-2095	A target above both the actor and LVL_IMMORT is refused without flag mutation (R1/R5e).
do_wizutil	pardon	pardon.non-outlaw	D2	command	oracle-green-multiseed	pardon-depth@1,2,3,5,8	act.wizard.c:2112-2115	An already unflagged target emits Your victim is not flagged. and returns before save or success bytes (R1/R3/R5e).
do_wizutil	pardon	pardon.success-actor	D2	command	oracle-green-multiseed	pardon-depth@1,2,3,5,8	act.wizard.c:2116-2122	A flagged target produces the exact Pardoned. acknowledgement to the actor (R1/R3/R5e).
do_wizutil	pardon	pardon.success-victim	D3	audience	oracle-green-multiseed	pardon-depth@1,2,3,5,8	act.wizard.c:2117-2119	The remote target receives You have been pardoned by the Gods! through the victim descriptor (R1/R3/R5e).
do_wizutil	pardon	pardon.one-argument	D2	command	oracle-green-multiseed	pardon-depth@1,2,3,5,8	interpreter.c:1265-1283; act.wizard.c:2088-2091	C one_argument skips the leading fill word and ignores trailing words; the full argument remainder is preserved to the existing parser (R1/R2/R3/R5e).
do_wizutil	pardon	pardon.case-insensitive	D2	command	oracle-green-multiseed	pardon-depth@1,2,3,5,8	handler.c:1303-1319	Global visible-player lookup resolves the lower-case target spelling exactly as C str_cmp/get_player_vis does (R1/R3/R5e).
do_wizutil	pardon	pardon.self-target	D3	audience	oracle-green-multiseed	pardon-depth@1,2,3,5,8	handler.c:1276-1303; act.wizard.c:2112-2119	The C self alias resolves the actor; actor and victim sends therefore concatenate both success messages on one descriptor (R1/R2/R3/R5e).
do_wizutil	pardon	pardon.shared-target-gates	D2	shared	delegated	mute.target-gates	act.wizard.c:2088-2110; handler.c:1276-1332	The shared visible world target resolution, NPC rejection, and higher-immortal guard are already owned by the do_wizutil mute boundary; this slice proves pardon's call boundary and switch (R5b/R5c).
