handler	command	case_id	depth	scope	status	proof	c_site	notes
do_diagnose	diagnose	diagnose.entry-gate	D1	command	unit-green	TestDiagnoseRegistrationUsesCEntryGate	interpreter.c:412; comm.c:910-947	The registered diagnose/diag/glance entry shares C's POS_RESTING gate; the focused registry test pins all three names (R1/R2/R5e).
do_diagnose	diagnose	diagnose.no-argument	D1	command	oracle-green-multiseed	diagnose-depth@1,2,3,5,8	act.informative.c:2437-2455	With no explicit target and no FIGHTING pointer, C emits only Diagnose who? (R1/R3/R5e).
do_diagnose	diagnose	diagnose.mob-target	D2	command	oracle-green-multiseed	diagnose-depth@1,2,3,5,8	act.informative.c:2439-2447; act.informative.c:354-385	A visible horse resolves through get_char_room_vis and receives the capitalized full-health diagnostic line (R1/R3/R5e).
do_diagnose	diagnose	diagnose.trailing-arguments	D1	command	oracle-green-multiseed	diagnose-depth@1,2,3,5,8	interpreter.c:1265-1283; act.informative.c:2437-2447	one_argument consumes only the first token, so trailing words do not alter the diagnostic target (R1/R2/R3/R5e).
do_diagnose	diagnose	diagnose.case-folded-target	D1	command	oracle-green-multiseed	diagnose-depth@1,2,3,5,8	interpreter.c:1265-1283; handler.c:1276-1300	C lowercases one_argument before its visible room lookup; uppercase HORSE resolves identically (R1/R3/R5e).
do_diagnose	diagnose	diagnose.not-found	D1	command	oracle-green-multiseed	diagnose-depth@1,2,3,5,8	act.informative.c:2439-2445	An explicit target miss emits the exact NOPERSON line and returns before diag_char_to_char (R1/R3/R5e).
do_diagnose	diagnose	diagnose.diag-alias	D1	command	oracle-green-multiseed	diagnose-depth@1,2,3,5,8	interpreter.c:412; act.informative.c:2433-2455	The Go alias diag reaches the same do_diagnose behavior as C's table-prefix resolution (R1/R2/R3/R5e).
do_diagnose	diagnose	diagnose.glance-alias	D1	command	oracle-green-multiseed	diagnose-depth@1,2,3,5,8	interpreter.c:466; act.informative.c:2433-2455	The explicit C glance row shares do_diagnose and emits the same target diagnostic (R1/R2/R3/R5e).
do_diagnose	diagnose	diagnose.position-gate	D1	command	oracle-green-multiseed	diagnose-depth@1,2,3,5,8	interpreter.c:412; comm.c:910-947	A sleeping actor is rejected by the POS_RESTING dispatcher gate before target lookup (R1/R2/R3/R5e).
do_diagnose	diagnose	diagnose.player-target	D2	command	oracle-green-multiseed	diagnose-player-depth@1,2,3,5,8	act.informative.c:2439-2447; act.informative.c:354-385	A visible player target receives the exact full-health condition line with PERS/CAP formatting (R1/R3/R5e).
do_diagnose	diagnose	diagnose.private-output	D3	audience	oracle-green-multiseed	diagnose-player-depth@1,2,3,5,8	act.informative.c:354-385	diag_char_to_char uses send_to_char only: target and same-room observer receive no bytes (R1/R3/R5e).
do_diagnose	diagnose	diagnose.player-trailing-arguments	D1	command	oracle-green-multiseed	diagnose-player-depth@1,2,3,5,8	interpreter.c:1265-1283; act.informative.c:2437-2447	The player target remains selected when trailing argument words follow the first token (R1/R2/R3/R5e).
do_diagnose	diagnose	diagnose.player-aliases	D1	command	oracle-green-multiseed	diagnose-player-depth@1,2,3,5,8	interpreter.c:412,466; act.informative.c:2433-2455	diag and glance preserve the same private player-target output as diagnose (R1/R2/R3/R5e).
do_diagnose	diagnose	diagnose.condition-thresholds	D2	command	unit-green	TestDiagConditionMatchesCThresholds	act.informative.c:354-385	The focused test covers every inclusive percentage boundary plus C's max-hit<=0 negative-percent branch (R1/R3/R5e).
do_diagnose	diagnose	diagnose.fighting-fallback-private	D3	state	unit-green	TestDoDiagnoseUsesFightingFallbackAndPrivateOutput	act.informative.c:2449-2454; act.informative.c:354-385	With an empty argument, FIGHTING(ch) supplies the target; the result remains a single private diagnostic (R1/R3/R5e).
