handler	command	case_id	depth	scope	status	proof	c_site	notes
do_circle	circle	circle.no-skill	D2	command	unit-green	TestDoCircle_NoSkill	interpreter.c:378; new_cmds.c:2443-2446	GET_SKILL is checked only after target, self, busy, weapon, and mounted gates; the exact no-skill text is emitted by the game path.
do_circle	circle	circle.no-arg	D1	command	oracle-green	circle-depth	new_cmds.c:2396-2404	No argument with no FIGHTING target reaches the exact Circle who? refusal.
do_circle	circle	circle.target-missing	D1	command	oracle-green	circle-depth	new_cmds.c:2396-2404	A missing target reaches Circle who? with no invented lookup text.
do_circle	circle	circle.fighting-target-fallback	D2	command	unit-green	TestCmdCircle_FightingTargetFallback	new_cmds.c:2396-2404	An empty argument while fighting resolves FIGHTING(ch) before the target refusal and reaches the weapon gate.
do_circle	circle	circle.self	D2	command	oracle-green	circle-depth	new_cmds.c:2405-2409	Self-target resolves before weapon and skill gates and emits the exact self-stab refusal.
do_circle	circle	circle.one-argument	D1	command	oracle-green	circle-depth	interpreter.c:1265-1279; new_cmds.c:2396	one_argument skips the fill word, lowercases the first target token, and ignores trailing words.
do_circle	circle	circle.no-weapon	D2	command	unit-green	TestDoCircle_NoWeapon	new_cmds.c:2417-2420	A valid target without WEAR_WIELD reaches the exact wield requirement.
do_circle	circle	circle.wrong-weapon	D2	command	unit-green	TestDoCircle_WrongWeaponType	new_cmds.c:2421-2425	Only a wielded object whose value 3 is TYPE_PIERCE-TYPE_HIT (11) passes the weapon gate.
do_circle	circle	circle.mounted	D2	command	unit-green	TestDoCircle_WhileMounted	new_cmds.c:2427-2431	Mounted callers are refused before the skill roll and receive Dismount first!.
do_circle	circle	circle.aware	D3	command	oracle-green-multiseed	circle-aware-depth@1,2,3,5,8	new_cmds.c:2433-2441	An awake MOB_AWARE victim emits the three notice acts; an idle victim immediately executes hit(vict,ch), while an already-fighting victim skips that retaliation.
do_circle	circle	circle.roll-miss	D5	state	oracle-green-multiseed	circle-depth@1,2,3,5,8	new_cmds.c:2450-2461; fight.c:1023-1092; lib/misc/messages:1220-1234	The opener matrix reaches the C circle probability/to-hit miss path, set-173 miss bytes, combat enrollment, and pulse aftermath.
do_circle	circle	circle.success	D5	state	oracle-green-multiseed	circle-depth@1,2,3,5,8	new_cmds.c:2450-2465; fight.c:1763-1888; lib/misc/messages:1220-1234	The legal dagger opener proves the two-stage roll, C hit formula, set-173 hit bytes, wielded $p, improvement, enrollment, and cooldown across five seeds.
do_circle	circle	circle.fighting-victim-miss	D4	state	unit-green	TestDoCircle_MissPullsAggro	new_cmds.c:2457-2461	A failed circle stops an existing victim engagement, orders the synchronous retaliation before set-173, then starts the circler's combat path.
do_circle	circle	circle.hit-formula	D4	state	unit-green	TestDoCircle_HitIncludesStrToDam	fight.c:1839-1873	Successful circle damage includes str_app.todam, damroll, weapon dice, the integer victim-position multiplier, and backstab_mult(level)/3.
do_circle	circle	circle.draw-order	D5	state	unit-green	TestSendSkillResult_CircleSuccess_DrawOrderMatchesC	new_cmds.c:2450-2465; fight.c:1815-1873; lib/misc/messages:1220-1234	The shared stream is circle percent → hit d20 → weapon dice → set-173 dice → improve draws, with no StartCombat draw.
damage	circle	circle.corpse-type	D4	shared	unit-green	TestDoSpellDamageCircleUsesCircleCorpseType	fight.c:338-353	Circle damage uses SKILL_CIRCLE (173), preserving the C hacked-up bloody corpse category through the shared death pipeline.
do_circle	damage	circle.shared-damage-gates	D5	shared	delegated	combat-entry	fight.c:1314-1718	Peaceful/newbie/shopkeeper/follower/death behavior remains in the verified shared damage and combat-entry matrix; circle only selects the confirmed skill number and formula.
