handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	grope	grope.entry-gate	D1	command	unit-green	TestGropeRegistrationUsesCEntryGate	interpreter.c:479; act.social.c:102-117	The registered C row is POS_RESTING with minimum level 0; focused proof pins hide=5, no social level gate, and the authored eight-field grope record.
do_action	grope	grope.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:479; comm.c:910-947	The shared POS_RESTING dispatcher rejection is owned by the existing fade position-gate vehicle.
do_action	grope	grope.no-argument	D2	command	oracle-green-multiseed	grope-depth@1,2,3,5,8	act.social.c:119-130; lib/misc/socials:345-353	No argument emits the exact Whom do you wish to grope?? actor prompt and the authored # no-argument room branch.
do_action	grope	grope.target-success	D3	audience	oracle-green-multiseed	grope-depth@1,2,3,5,8	act.social.c:132-147; lib/misc/socials:345-353	A visible awake target reaches the authored actor, victim, and TO_NOTVICT observer lines.
do_action	grope	grope.target-audience	D3	audience	oracle-green-multiseed	grope-depth@1,2,3,5,8	act.social.c:145-147; comm.c:2392-2555	The awake peer receives the exact hidden social observer line while the actor is excluded from TO_NOTVICT.
do_action	grope	grope.one-argument	D2	command	oracle-green-multiseed	grope-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:121-132	C one_argument skips leading fill words and ignores trailing words before visible target lookup.
do_action	grope	grope.self-target	D2	audience	oracle-green-multiseed	grope-depth@1,2,3,5,8	act.social.c:135-139; lib/misc/socials:345-353	A self target reaches the authored YUCK actor and hidden room branches.
do_action	grope	grope.target-not-found	D1	command	oracle-green-multiseed	grope-depth@1,2,3,5,8	act.social.c:132-134; lib/misc/socials:345-353	A missing visible-room target receives the exact Try someone who's here. line.
do_action	grope	grope.sleeping-target	D3	audience	oracle-green-multiseed	grope-depth@1,2,3,5,8	act.social.c:140-147; lib/misc/socials:345-353	A sleeping target fails the record's minimum victim position 5 and receives C's generic proper-position actor line; no social audience bytes are emitted.
do_action	grope	grope.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-117	The shared PLR_NOSHOUT emote refusal is owned by the existing dance social matrix.
do_action	grope	grope.visibility	D3	shared	delegated	socials-depth	act.social.c:132-147; comm.c:2392-2555	Target lookup and the hide=5 actor/victim/room audiences use the shared visibility and Act behavior.
