handler	command	case_id	depth	scope	status	proof	c_site	notes
do_wizutil	mute	mute.entry-gate	D1	command	unit-green	TestMuteRegistrationUsesCEntryGate	interpreter.c:559; act.wizard.c:2077-2140	The C mute row is available from level 1 at POS_DEAD; the focused registration test pins the authoritative gate (R1/R2/R5e).
do_wizutil	mute	mute.no-argument	D2	command	oracle-green-multiseed	mute-depth@1,2,3,5,8	act.wizard.c:2087-2089	The authorized actor reaches the exact do_wizutil no-target prompt after the command row and inner auth guard (R1/R3/R5e).
do_wizutil	mute	mute.target-not-found	D2	command	oracle-green-multiseed	mute-depth@1,2,3,5,8	act.wizard.c:2090-2091	A visible authorized actor with an unresolved target receives the exact player-miss bytes (R1/R3/R5e).
do_wizutil	mute	mute.visible-npc-target	D2	command	oracle-green-multiseed	mute-depth@1,2,3,5,8	act.wizard.c:2092-2093; handler.c:1276-1300	A visible mob resolves before the sub-command switch and reaches the shared NPC rejection (R1/R3/R5e).
do_wizutil	mute	mute.higher-immortal-target	D2	command	unit-green	TestCmdMuteRejectsHigherImmortal	act.wizard.c:2094-2095	The focused test covers the level comparison and verifies that the higher immortal is not toggled (R1/R5e).
do_wizutil	mute	mute.toggle-on	D3	state	unit-green	TestCmdMuteMatchesDoWizutilTargetBranches	act.wizard.c:2130-2137; utils.h:159,243	The first SCMD_SQUELCH operation sets PLR_NOSHOUT and reports ON (R1/R5e).
do_wizutil	mute	mute.toggle-off	D3	state	unit-green	TestCmdMuteMatchesDoWizutilTargetBranches	act.wizard.c:2130-2137; utils.h:159,243	The second SCMD_SQUELCH operation clears PLR_NOSHOUT and reports OFF (R1/R5e).
do_wizutil	mute	mute.toggle-state	D3	state	unit-green	TestCmdMuteMatchesDoWizutilTargetBranches	act.wizard.c:2130-2137; utils.h:159,243	SCMD_SQUELCH toggles PLR_NOSHOUT and returns the new ON/OFF state; paired tests verify both transitions (R1/R5e).
do_wizutil	mute	mute.actor-acknowledgement	D3	audience	oracle-green-multiseed	mute-depth@1,2,3,5,8	act.wizard.c:2130-2137	The successful branch emits only the actor's exact (GC) acknowledgement; the co-located peer remains silent (R1/R3/R5e).
do_wizutil	mute	mute.one-argument	D2	command	oracle-green-multiseed	mute-depth@1,2,3,5,8	interpreter.c:1265-1283; act.wizard.c:2087-2091	C one_argument consumes only the first target token; trailing words do not change the target or bytes (R1/R2/R5e).
do_wizutil	mute	mute.command-prefix	D2	command	oracle-green-multiseed	mute-depth@1,2,3,5,8	interpreter.c:909-912,559	The unique `mut` prefix resolves to the mute row in source-table order and reaches the same toggle path (R1/R2/R3/R5e).
do_wizutil	mute	mute.low-level-authorization	D2	command	oracle-green-multiseed	mute-low-depth@1,2,3,5,8	act.wizard.c:2083-2085	A normal level-1 caller reaches do_wizutil but fails the LVL_IMMORT/PLR_CHOSEN guard before argument or target lookup (R1/R2/R3/R5e).
do_wizutil	mute	mute.low-level-authorization-with-target	D2	command	oracle-green-multiseed	mute-low-depth@1,2,3,5,8	act.wizard.c:2083-2085	The same inner guard wins even when a target token is supplied; C emits no target lookup bytes (R1/R2/R3/R5e).
do_wizutil	mute	mute.low-level-prefix	D2	command	oracle-green-multiseed	mute-low-depth@1,2,3,5,8	interpreter.c:909-912,559; act.wizard.c:2083-2085	A mortal's unique `mut` prefix resolves to mute, then fails the same inner authorization guard (R1/R2/R3/R5e).
