handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	piss	piss.entry-gate	D1	command	unit-green	TestPissRegistrationUsesCEntryGate	interpreter.c:608; comm.c:910-947	The registered C row is POS_RESTING with no command minimum level; the focused test pins the command gate and exact piss record metadata (R1/R2/R5e).
do_action	piss	piss.position-gate	D1	command	delegated	fade.position-gate	interpreter.c:608; comm.c:910-947	The shared POS_RESTING command rejection is already proven by the social position-gate vehicle (R5b/R5c).
do_action	piss	piss.noshout	D1	command	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT refusal runs before target parsing and is owned by the social boundary (R5b/R5c).
do_action	piss	piss.no-argument	D2	command	oracle-green-multiseed	piss-depth@1,2,3,5,8	act.social.c:102-127; lib/misc/socials:1073-1081	The no-argument record emits the exact actor and room audience lines for the authored piss social (R1/R3/R5e).
do_action	piss	piss.target-success	D3	audience	oracle-green-multiseed	piss-depth@1,2,3,5,8	act.social.c:128-151; lib/misc/socials:1073-1081	A visible player target reaches the actor, non-victim room, and victim branches with the authored piss messages (R1/R3/R5e).
do_action	piss	piss.mob-target	D3	audience	oracle-green-multiseed	piss-depth@1,2,3,5,8	handler.c:1276-1300; lib/misc/socials:1073-1081	The generic mob is resolved through its authored keyword namelist and follows the same target social path (R1/R2/R3/R5e).
do_action	piss	piss.self-target	D2	audience	oracle-green-multiseed	piss-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:1073-1081	The named self target emits the exact char_auto and others_auto piss lines (R1/R3/R5e).
do_action	piss	piss.self-alias	D2	audience	oracle-green-multiseed	piss-depth@1,2,3,5,8	handler.c:1276-1285; lib/misc/socials:1073-1081	The C self alias resolves the actor and follows the same self-target branch (R1/R2/R3/R5e).
do_action	piss	piss.target-not-found	D1	command	oracle-green-multiseed	piss-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:1073-1081	An unresolved target emits the record-specific no-one-by-that-name line (R1/R3/R5e).
do_action	piss	piss.one-argument	D2	command	oracle-green-multiseed	piss-depth@1,2,3,5,8	interpreter.c:853-867,1265-1283; act.social.c:114-121	Leading fill words are skipped and trailing input is ignored by C one_argument (R1/R2/R3/R5e).
do_action	piss	piss.visibility	D3	shared	delegated	socials-depth	act.social.c:102-151; comm.c:2392-2555	The shared CAN_SEE target lookup and hide-invisible Act audience behavior are owned by the social matrix (R5b/R5c).
