handler	command	case_id	depth	scope	status	proof	c_site	notes
do_invis	invis	invis.entry-gate	D1	command	unit-green	TestInvisRegistrationUsesCEntryGate	interpreter.c:519; act.wizard.c:1663-1688	The registered C row requires LVL_IMMORT at POS_DEAD; the focused test pins both the authoritative gate and Go entry (R2/R5e).
do_invis	invis	invis.toggle-on	D2	command	oracle-green-multiseed	invis-depth@1,2,3,5,8	act.wizard.c:1670-1674	No argument with an old invisibility level of zero calls perform_immort_invis at the actor's level and emits the exact level acknowledgement (R1/R3/R5e).
do_invis	invis	invis.toggle-off	D2	command	oracle-green-multiseed	invis-depth@1,2,3,5,8	act.wizard.c:1670-1674	No argument while wizinvis calls perform_immort_vis and emits the exact fully-visible acknowledgement (R1/R3/R5e).
do_invis	invis	invis.numeric-level	D2	command	oracle-green-multiseed	invis-depth@1,2,3,5,8	act.wizard.c:1676-1687	A positive first token uses C atoi and sets the requested level when it is within the actor's level (R1/R3/R5e).
do_invis	invis	invis.above-own-level	D1	command	oracle-green-multiseed	invis-depth@1,2,3,5,8	act.wizard.c:1678-1679	A numeric level above GET_LEVEL(ch) emits only C's exact rejection and leaves the prior invisibility level unchanged (R1/R3/R5e).
do_invis	invis	invis.zero-level-visible	D2	command	oracle-green-multiseed	invis-depth@1,2,3,5,8	act.wizard.c:1680-1681	Zero routes through perform_immort_vis and reaches the exact visible/already-visible branch (R1/R3/R5e).
do_invis	invis	invis.negative-level-visible	D2	command	oracle-green-multiseed	invis-depth@1,2,3,5,8	act.wizard.c:1680-1681	A negative first token is accepted by C atoi and routes through the level-below-one visible path (R1/R3/R5e).
do_invis	invis	invis.invalid-number-atoi	D2	command	oracle-green-multiseed	invis-depth@1,2,3,5,8	act.wizard.c:1676-1681	A nonnumeric first token becomes zero under C atoi and follows the visible path; no invented parse error is emitted (R1/R4/R5e).
do_invis	invis	invis.peer-below-level-crossing	D3	audience	oracle-green-multiseed	invis-depth@1,2,3,5,8	act.wizard.c:1641-1654	A peer below the new level receives the exact gone notification when the threshold crosses upward, and the same peer receives the exact standing-beside-you notification when it crosses downward (R1/R3/R5e).
do_invis	invis	invis.appear-audience	D3	audience	oracle-green-multiseed	invis-depth@1,2,3,5,8	fight.c:108-121; comm.c:2392-2555	The shared appear path clears wizinvis/visibility state and sends the immortal actor's exact strange-presence room line to the peer (R1/R3/R5e; shared ownership R5b/R5c).
do_invis	invis	invis.level-prompt	D4	state	unit-green	TestInvisPromptIncludesCLevel	comm.c:1062-1065	The actor prompt exposes the current iN wizinvis level after every accepted level change, preserving state and ordering (R1/R3/R5e).
do_invis	invis	invis.peer-at-level-no-crossing	D3	audience	oracle-green-multiseed	invis-threshold-depth@1,2,3,5,8	act.wizard.c:1641-1654	A peer whose level equals the new invisibility level does not receive a crossing notification (R1/R3/R5e).
do_invis	invis	invis.peer-above-level-no-crossing	D3	audience	oracle-green-multiseed	invis-threshold-depth@1,2,3,5,8	act.wizard.c:1641-1654	A peer above both old and new levels receives neither crossing notification, preserving C's strict comparisons (R1/R3/R5e).
