handler	command	case_id	depth	scope	status	proof	c_site	notes
do_race_say	rsay	rsay.entry-gate	D1	command	unit-green	TestRaceSayRegistrationUsesCEntryGate	interpreter.c:667; act.comm.c:635-646	The registered C row permits every level at POS_RESTING; the focused test pins the command-surface gate (R1/R2/R5e).
do_race_say	rsay	rsay.position-gate	D1	command	delegated	fade.position-gate	interpreter.c:667; comm.c:910-947	The shared POS_RESTING dispatcher rejection is already proven by the social position-gate vehicle (R5b/R5c).
do_race_say	rsay	rsay.stupid-gate	D1	command	unit-green	TestRaceSayUsesCControlBytesAndGateOrder	act.comm.c:647-653	The wisdom/intelligence refusal runs before empty-argument handling and preserves C CRLF bytes (R1/R5e).
do_race_say	rsay	rsay.noshout	D1	command	oracle-green	rsay-noshout	act.comm.c:654-658	PLR_NOSHOUT blocks race-say before argument parsing with C's exact actor-only refusal (R1/R2/R5e).
do_race_say	rsay	rsay.no-argument	D1	command	oracle-green-multiseed	rsay-depth@1,2,3,5,8	act.comm.c:659-676	An empty argument reaches the exact LFCR prompt after the C control gates (R1/R3/R5e).
do_race_say	rsay	rsay.human-translation	D3	audience	oracle-green-multiseed	rsay-depth@1,2,3,5,8	act.comm.c:661-676; act.comm.c:553-634	Human speech uses the complete C speak_human substitution table for differing-race mortal listeners (R1/R3/R5e).
do_race_say	rsay	rsay.same-race-original	D3	audience	oracle-green-multiseed	rsay-depth@1,2,3,5,8	act.comm.c:677-728	A same-race peer receives the original text with the exact C race label and punctuation verb (R1/R3/R5e).
do_race_say	rsay	rsay.other-race-translated	D3	audience	oracle-green-multiseed	rsay-depth@1,2,3,5,8	act.comm.c:677-706	A differing-race mortal peer receives only the translated text and exact audience template (R1/R3/R5e).
do_race_say	rsay	rsay.immortal-original	D3	audience	oracle-green-multiseed	rsay-immortal-depth@1,2,3,5,8	act.comm.c:677-728	A differing-race peer at LVL_IMMORT bypasses translation and receives the original race-tagged text (R1/R3/R5e).
do_race_say	rsay	rsay.sleeping-recipient	D3	audience	oracle-green-multiseed	rsay-sleeping-depth@1,2,3,5,8	act.comm.c:677-728	AWAKE suppresses the differing-race translated line for a sleeping peer (R1/R3/R5e).
do_race_say	rsay	rsay.punctuation-verbs	D2	audience	oracle-green-multiseed	rsay-depth@1,2,3,5,8	act.comm.c:677-728	The final raw argument byte selects exclaims, asks, states, or says while preserving internal spacing (R1/R3/R5e).
do_race_say	rsay	rsay.norepeat	D2	command	oracle-green-multiseed	rsay-depth@1,2,3,5,8	act.comm.c:729-751	PRF_NOREPEAT changes only the actor's confirmation to C's exact Ok LFCR bytes; room audiences remain unchanged (R1/R3/R5e).
do_race_say	rsay	rsay.raw-internal-spacing	D2	command	oracle-green-multiseed	rsay-depth@1,2,3,5,8	interpreter.c:1265-1283; act.comm.c:659-728	The raw post-command remainder preserves repeated internal spaces in both original and translated outputs (R1/R2/R5e).
do_race_say	rsay	rsay.player-race-tables	D3	audience	unit-green	TestRaceSayUsesCPlayerRaceLanguageTables	act.comm.c:55-634	The focused golden test pins all seven player-race substitution tables against C; no NPC-only language table is invented (R1/R4/R5e).
