# Generated by cmd/dp-string-census (make string-census-update). Do not edit by hand.
# Go sink arguments whose value the extractor could not resolve to literals.
# Leads for tightening the sink table, not ratchet failures.
# columns: expression	file:line	sink
defenderName	pkg/combat/engine.go:968	.SendMessage
attackerName	pkg/combat/engine.go:971	.SendMessage
defenderName	pkg/combat/engine.go:993	.SendMessage
attackerName	pkg/combat/engine.go:994	.SendMessage
exp	pkg/combat/fight_core.go:553	.SendMessage
gold	pkg/combat/fight_core.go:579	.SendMessage
share	pkg/combat/fight_core.go:917	.SendMessage
message	pkg/game/act_informative.go:247	.SendMessage
mount	pkg/game/act_movement.go:337	Act
mount	pkg/game/act_movement.go:377	Act
msg	pkg/game/act_movement.go:377	Act
mount	pkg/game/act_movement.go:384	Act
mount	pkg/game/act_movement.go:394	Act
ext	pkg/game/act_movement.go:546	movementSendToChar
roomFormat	pkg/game/act_movement.go:741	Act
roomFormat	pkg/game/act_movement.go:750	Act
ext	pkg/game/act_movement.go:750	Act
backName	pkg/game/act_movement.go:766	.SendMessage
message	pkg/game/act_social.go:64	Act
social	pkg/game/act_social.go:67	Act
message	pkg/game/act_social.go:67	Act
message	pkg/game/act_social.go:78	Act
social	pkg/game/act_social.go:81	Act
message	pkg/game/act_social.go:81	Act
message	pkg/game/act_social.go:94	.SendMessage
message	pkg/game/act_social.go:105	.SendMessage
social	pkg/game/act_social.go:108	Act
message	pkg/game/act_social.go:108	Act
target	pkg/game/act_social.go:115	Act
target	pkg/game/act_social.go:122	Act
message	pkg/game/act_social.go:122	Act
social	pkg/game/act_social.go:126	Act
target	pkg/game/act_social.go:126	Act
message	pkg/game/act_social.go:126	Act
social	pkg/game/act_social.go:130	Act
target	pkg/game/act_social.go:130	Act
message	pkg/game/act_social.go:130	Act
target	pkg/game/act_social.go:166	.SendMessage
target	pkg/game/act_social.go:192	Act
insultFormat	pkg/game/act_social.go:192	Act
target	pkg/game/act_social.go:195	Act
msg	pkg/game/affect_update.go:71	.SendMessage
direction	pkg/game/ai.go:166	.SendMessage
items	pkg/game/attitude_loot.go:33	Act
corpse	pkg/game/attitude_loot.go:33	Act
items	pkg/game/attitude_loot.go:44	Act
items	pkg/game/attitude_loot.go:65	Act
where	pkg/game/attitude_loot.go:65	Act
c	pkg/game/clan_info.go:18	.SendMessage
rankName	pkg/game/clan_info.go:30	.SendMessage
msg	pkg/game/clan_info.go:111	.SendMessage
msg	pkg/game/clan_info.go:144	.SendMessage
p	pkg/game/clan_membership.go:32	.SendMessage
p	pkg/game/clan_membership.go:49	.SendMessage
rankName	pkg/game/clan_membership.go:283	.SendMessage
rankName	pkg/game/clan_membership.go:313	.SendMessage
rankName	pkg/game/clan_membership.go:334	.SendMessage
c	pkg/game/clan_settings.go:73	.SendMessage
c	pkg/game/clan_settings.go:75	.SendMessage
i	pkg/game/clan_settings.go:265	.SendMessage
message	pkg/game/combat_helpers.go:43	.SendMessage
guard	pkg/game/combat_wire.go:295	Act
victim	pkg/game/combat_wire.go:295	Act
guard	pkg/game/combat_wire.go:297	Act
victim	pkg/game/combat_wire.go:297	Act
victim	pkg/game/combat_wire.go:299	sendToChar
spec	pkg/game/comm_channel.go:103	communicationSend
spec	pkg/game/comm_channel.go:111	communicationSend
spec	pkg/game/comm_channel.go:119	communicationSend
spec	pkg/game/comm_channel.go:125	communicationSend
channel	pkg/game/comm_channel.go:137	.channelSend
spec	pkg/game/comm_channel.go:137	.channelSend
channel	pkg/game/comm_channel.go:155	.channelAct
spec	pkg/game/comm_channel.go:155	.channelAct
argument	pkg/game/comm_channel.go:191	.SendMessage
arg	pkg/game/comm_channel.go:208	.SendMessage
