handler	command	case_id	depth	scope	status	proof	c_site	notes
do_flesh_alter	alter	alter.no-skill	D1	command	oracle-green	flesh-alter-gates	new_cmds.c:1898-1902	Known-skill gate is reached after the POS_FIGHTING dispatcher gate and emits C's exact no-skill line.
do_flesh_alter	flesh	flesh.no-skill	D1	command	oracle-green	flesh-alter-gates	interpreter.c:446; new_cmds.c:1898-1902	The second registration shares do_flesh_alter and reaches the same no-skill branch.
do_flesh_alter	alter	alter.success-unequips-wielded	D3	command	oracle-green-multiseed	flesh-alter-depth	new_cmds.c:1912-1930; act.item.c:1673-1677	Known-skill success with a wielded dagger emits stop-using plus the level-1 weapon name and removes the item; seeds 1,2,3,5,8 agree.
do_flesh_alter	alter	alter.room-audience-message	D3	state	unit-green	TestDoFleshAlterToggleAndUnequip	new_cmds.c:1927-1938	Focused state test pins the ordered TO_ROOM text for the wielded-item and transformed-hand messages; the passive live observer remained silent and is not claimed here.
do_flesh_alter	alter	alter.toggle-off	D4	state	oracle-green-multiseed	flesh-alter-depth	new_cmds.c:1915-1921; new_cmds.c:1751-1756	The success toggle clears AFF_FLESH_ALTER, reverses hitroll/damroll, and emits both actor lines; seeds 1,2,3,5,8 agree.
do_flesh_alter	flesh	flesh.success-bare-handed	D3	command	oracle-green-multiseed	flesh-alter-depth	interpreter.c:446; new_cmds.c:1922-1938	Alias registration reaches the same bare-handed success branch with room topology preserved; seeds 1,2,3,5,8 agree.
do_flesh_alter	alter	alter.concentration-failure	D2	command	oracle-green-multiseed	flesh-alter-failure	new_cmds.c:1905-1910	Skill 75 reaches the fighting-dependent failure branch and matches the loss-of-concentration line across seeds 1,2,3,5,8.
do_flesh_alter	alter	alter.weapon-level-bands	D4	state	unit-green	TestFleshAlterWeaponBands	new_cmds.c:1828-1870	Focused table test pins every flesh_alter_weapon level band and the default scythe.
do_flesh_alter	alter	alter.stats-and-affect	D4	state	unit-green	TestDoFleshAlterToggleAndUnequip	new_cmds.c:1751-1756; 1886-1938	Focused state test covers the affect bit, base hitroll/damroll deltas, exact actor strings, and wielded-item return to inventory.
do_flesh_alter	alter	alter.failure-wait-improve	D5	state	unit-green	TestDoFleshAlterFailureWaitAndImprovement	new_cmds.c:1905-1910; act.other.c:1704-1730	Focused failure test pins no state mutation, two-round wait, and one deferred improve_skill call.
