handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	nibble	nibble.entry-gate	D1	command	unit-green	TestNibbleRegistrationUsesCEntryGate	interpreter.c:567; act.social.c:102-151; lib/misc/socials:520-529	The C row permits every level at POS_RESTING; the focused test pins the command gate, zero social hide/victim metadata, and all eight authored messages (R1/R2/R5e).
do_action	nibble	nibble.position-gate	D1	command	delegated	fade.position-gate	interpreter.c:567; comm.c:910-947	The shared POS_RESTING dispatcher rejection is owned by the existing social position-gate vehicle (R2/R5b/R5c).
do_action	nibble	nibble.no-argument	D2	audience	oracle-green-multiseed	nibble-depth@1,2,3,5,8	act.social.c:102-127; lib/misc/socials:520-529	The no-target record emits the exact Nibble on who? actor prompt and its authored # room branch (R1/R3/R5e).
do_action	nibble	nibble.target-success	D3	audience	oracle-green-multiseed	nibble-depth@1,2,3,5,8	act.social.c:145-151; lib/misc/socials:520-529	A visible target reaches the authored actor, non-victim room, and victim ear messages (R1/R3/R5e).
do_action	nibble	nibble.target-audience	D3	audience	oracle-green-multiseed	nibble-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:520-529	Distinct target and observer peers prove TO_VICT and TO_NOTVICT exclusion topology with hide=0 (R1/R3/R5e).
do_action	nibble	nibble.argument-first-token	D2	command	oracle-green-multiseed	nibble-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121	C one_argument skips fill words, selects Nibtarget, and ignores trailing words before visible lookup (R1/R2/R3/R5e).
do_action	nibble	nibble.self-target	D2	command	oracle-green-multiseed	nibble-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:520-529	Self-targeting emits the exact OWN ear actor line and authored self room line (R1/R3/R5e).
do_action	nibble	nibble.target-not-found	D1	command	oracle-green-multiseed	nibble-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:520-529	An unresolved visible-room target emits only the exact dreaming refusal (R1/R3/R5e).
do_action	nibble	nibble.sleeping-target	D3	audience	oracle-green-multiseed	nibble-sleeping-depth@1,2,3,5,8	act.social.c:140-151; comm.c:2392-2555; lib/misc/socials:520-529	The zero victim-position minimum admits a sleeping target; TO_SLEEP preserves the actor message while plain TO_VICT suppresses sleeper bytes (R1/R3/R5e).
do_action	nibble	nibble.noshout	D1	shared	delegated	dance-noshout	act.social.c:102-118; interpreter.c:567	The shared PLR_NOSHOUT emote refusal is owned by the existing dance social matrix (R1/R5b/R5c).
do_action	nibble	nibble.visibility	D3	shared	delegated	socials-depth	act.social.c:114-151; comm.c:2392-2555	Visible target lookup and actor/room/victim visibility use the shared social matrix (R1/R5b/R5c).
